Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,P2
6,0,0,0,P2
6.5,0,0,0,P2
7,0,0,0,P2
7.5,0,0,0,P2
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,P2
14,0,0,0,P2
14.5,0,0,0,C
15,0,0,0,C
15.5,0,0,0,C
16,0,0,0,
16.5,0,0,0,
17,0,0,0,H-0-10-5:
17.5,0,0,0,H-0-10-5:
18,0,0,0,H-0-10-5:
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,H-1-10-5:
20,0,0,0,H-1-10-5:
20.5,0,0,0,H-1-10-5:
21,0,0,0,H-3-5-2:B
21.5,0,0,0,H-3-5-2:B
22,0,0,0,L
22.5,0,0,0,L
23,0,0,0,L
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,H-2-12-3.246837:
26.5,0,0,0,H-2-12-3.246837:
27,0,0,0,H-2-12-3.246837:
27.5,0,0,0,H-2-9-3.035056:P3
28,0,0,0,H-2-9-3.035056:P3
28.5,0,0,0,P1
29,0,0,0,P1
29.5,0,0,0,P1
30,0,0,0,H-0-8-3.897394:C
30.5,0,0,0,H-0-8-3.897394:C
31,0,0,0,H-1-10-4.814013:
31.5,0,0,0,H-1-10-4.814013:
32,0,0,0,H-1-10-4.814013:
32.5,0,0,0,H-0-11-5.075571:C
33,0,0,0,H-0-11-5.075571:C
33.5,0,0,0,H-0-6-3.446362:C
34,0,0,0,H-0-6-3.446362:C
34.5,0,0,0,H-0-6-3.446362:C
35,0,0,0,H-1-9-4.539354:
35.5,0,0,0,H-1-9-4.539354:
36,0,0,0,N
36.5,0,0,0,N
37,0,0,0,N
37.5,0,0,0,H-0-12.75699-5.458688:P2
38,0,0,0,H-0-12.75699-5.458688:P2
38.5,0,0,0,H-0-16.99233-3.088468:
39,0,0,0,H-0-16.99233-3.088468:
39.5,0,0,0,H-0-16.99233-3.088468:
40,0,0,0,H-2-12.43339-3.273609:
40.5,0,0,0,H-2-12.43339-3.273609:
41,0,0,0,H-1-15.07143-3.702978:
41.5,0,0,0,H-1-15.07143-3.702978:
42,0,0,0,H-1-15.07143-3.702978:
42.5,0,0,0,H-1-15.8263-2.096049:C
43,0,0,0,H-1-15.8263-2.096049:C
43.5,0,0,0,H-1-4.388121-3.07586:
44,0,0,0,H-1-4.388121-3.07586:
44.5,0,0,0,H-1-4.388121-3.07586:
45,0,0,0,H-0-11.72458-5.066326:
45.5,0,0,0,H-0-11.72458-5.066326:
46,0,0,0,H-1-3.448112-3.473286:
46.5,0,0,0,H-1-3.448112-3.473286:
47,0,0,0,H-1-3.448112-3.473286:
47.5,0,0,0,H-2-11.31141-2.841585:P1
48,0,0,0,H-2-11.31141-2.841585:P1
48.5,0,0,0,H-0-10.98487-2.458851:CP3
49,0,0,0,H-0-10.98487-2.458851:CP3
49.5,0,0,0,H-0-10.98487-2.458851:CP3
50,0,0,0,X
50.5,0,0,0,X
51,0,0,0,H-3-20-4.746993:
51.5,0,0,0,H-3-20-4.746993:
52,0,0,0,H-3-20-4.746993:
52.5,0,0,0,H-2-8-3.398486:
53,0,0,0,H-2-8-3.398486:
53.5,0,0,0,H-3-20-3.336579:P1
54,0,0,0,H-3-20-3.336579:P1
54.5,0,0,0,H-3-20-3.336579:P1
55,0,0,0,H-1-10-5.070378:
55.5,0,0,0,H-1-10-5.070378:
56,0,0,0,H-1-10-5.070378:
56.5,0,0,0,H-0-14-5.394295:
57,0,0,0,H-0-14-5.394295:
57.5,0,0,0,H-2-10-3.147839:
58,0,0,0,H-2-10-3.147839:
58.5,0,0,0,H-2-10-3.147839:
59,0,0,0,H-3-20-2.700921:
59.5,0,0,0,H-3-20-2.700921:
60,0,0,0,H-2-8-2.927298:
60.5,0,0,0,H-2-8-2.927298:
61,0,0,0,H-2-8-2.927298:
61.5,0,0,0,H-2-9-3.240963:
62,0,0,0,H-2-9-3.240963:
62.5,0,0,0,H-2-8-3.424359:
63,0,0,0,H-2-8-3.424359:
63.5,0,0,0,H-2-8-3.424359:
64,0,0,0,N
64.5,0,0,0,N
65,0,0,0,H-3-5.717535-2.277013:P1
65.5,0,0,0,H-3-5.717535-2.277013:P1
66,0,0,0,H-3-5.717535-2.277013:P1
66.5,0,0,0,H-2-9.115407-2.701275:CP2
67,0,0,0,H-2-9.115407-2.701275:CP2
67.5,0,0,0,H-2-4.924095-3.499009:
68,0,0,0,H-2-4.924095-3.499009:
68.5,0,0,0,H-2-4.924095-3.499009:
69,0,0,0,H-2-6.077357-2.701963:
69.5,0,0,0,H-2-6.077357-2.701963:
70,0,0,0,H-0-7.191529-5.646492:P2
70.5,0,0,0,H-0-7.191529-5.646492:P2
71,0,0,0,H-0-7.191529-5.646492:P2
71.5,0,0,0,H-3-5.476421-4.726308:C
72,0,0,0,H-3-5.476421-4.726308:C
72.5,0,0,0,H-0-8.120938-4.248127:
73,0,0,0,H-0-8.120938-4.248127:
73.5,0,0,0,H-0-8.120938-4.248127:
74,0,0,0,H-3-16.73501-2.954803:P1
74.5,0,0,0,H-3-16.73501-2.954803:P1
75,0,0,0,H-0-13.66949-2.65497:
75.5,0,0,0,H-0-13.66949-2.65497:
76,0,0,0,H-0-13.66949-2.65497:
76.5,0,0,0,H-1-8.27979-2.111415:
77,0,0,0,H-1-8.27979-2.111415:
77.5,0,0,0,X
78,0,0,0,X
78.5,0,0,0,X
79,0,0,0,H-0-9-5.449146:
79.5,0,0,0,H-0-9-5.449146:
80,0,0,0,H-0-11-2.535829:P3
80.5,0,0,0,H-0-11-2.535829:P3
81,0,0,0,H-0-11-2.535829:P3
81.5,0,0,0,H-1-14-5.07238:
82,0,0,0,H-1-14-5.07238:
82.5,0,0,0,H-3-20-2.086152:B
83,0,0,0,H-3-2
