Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,15,0,0,P3
6.5,38,0,0,P3
7,50,0,0,P3
7.5,62,0,0,P3
8,68,0,0,P3
8.5,72,0,0,P3
9,74,0,0,
9.5,75,0,0,
10,75,0,0,
10.5,74,0,0,
11,74,0,0,
11.5,73,0,0,
12,71,0,0,
12.5,70,0,0,
13,67,0,0,
13.5,65,0,0,
14,63,0,0,
14.5,61,0,0,
15,59,0,5,
15.5,59,0,5,P3
16,58,0,5,P3
16.5,55,0,5,P3
17,51,0,5,P3
17.5,46,0,15,P3
18,39,0,15,P3
18.5,25,0,15,C
19,14,0,15,C
19.5,8,0,15,C
20,5,0,15,C
20.5,2,0,15,C
21,1,0,15,C
21.5,0,0,15,C
22,0,0,15,C
22.5,0,0,15,C
23,0,0,15,C
23.5,0,0,5,C
24,0,0,5,C
24.5,0,0,5,C
25,0,0,5,C
25.5,0,0,5,C
26,0,0,5,C
26.5,0,0,5,C
27,0,0,5,C
27.5,0,0,5,C
28,0,0,5,C
28.5,0,0,5,C
29,0,0,5,C
29.5,0,0,5,C
30,0,0,5,C
30.5,0,0,5,C
31,0,0,5,C
31.5,0,0,5,C
32,0,0,5,C
32.5,0,0,5,C
33,0,0,5,C
33.5,0,0,5,C
34,0,0,5,C
34.5,0,0,5,C
35,0,0,5,C
35.5,0,0,5,C
36,0,0,5,C
36.5,0,0,5,C
37,
