Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,0,0,0,C
9,0,0,0,C
9.5,0,0,0,C
10,0,0,0,C
10.5,0,0,0,C
11,0,0,0,C
11.5,0,0,0,C
12,0,0,0,C
12.5,0,0,0,C
13,0,0,0,C
13.5,0,0,0,C
14,0,0,0,C
14.5,0,0,0,C
15,0,0,0,C
15.5,0,0,0,C
16,0,0,0,C
16.5,0,0,0,C
17,0,0,0,C
17.5,0,0,0,C
18,0,0,0,C
18.5,0,0,0,C
19,0,0,0,C
19.5,0,0,0,P2
20,0,0,0,P2
20.5,0,0,0,P2
21,0,0,0,P2
21.5,0,0,0,P2
22,0,0,0,
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,P2
26.5,0,0,0,P2
27,0,0,0,P2
27.5,0,0,0,C
28,0,0,0,C
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,
30,0,0,0,H-0-10-5:
30.5,0,0,0,H-0-10-5:
31,0,0,0,
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,H-1-10-5:
33,0,0,0,H-1-10-5:
33.5,0,0,0,H-3-5-2:B
34,0,0,0,H-3-5-2:B
34.5,0,0,0,H-3-5-2:B
35,0,0,0,L
35.5,0,0,0,L
36,0,0,0,
36.5,0
