Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,P1
8,0,0,0,P1
8.5,0,0,0,P1
9,0,0,0,P1
9.5,0,0,0,P1
10,0,0,0,P1
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,
14,0,0,0,P1
14.5,0,0,0,P1
15,0,0,0,P1
15.5,0,0,0,C
16,0,0,0,C
16.5,0,0,0,
17,0,0,0,
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,
19,0,0,0,H-0-10-5:
19.5,0,0,0,H-0-10-5:
20,0,0,0,H-0-10-5:
20.5,0,0,0,H-0-10-5:
21,0,0,0,H-0-10-5:
21.5,0,0,0,H-0-10-5:
22,0,0,0,
22.5,0,0,0,
23,0,0,0,H-1-10-5:
23.5,0,0,0,H-1-10-5:
24,0,0,0,H-1-10-5:
24.5,0,0,0,H-3-5-2:B
25,0,0,0,H-3-5-2:B
25.5,0,0,0,H-3-5-2:B
26,0,0,0,L
26.5,0,0,0,L
27,0,0,0,
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,P3
30,0,0,0,P3
30.5,0,0,0,P3
31,0,0,0,C
31.5,0,0,0,C
32,0,0,0,
32.5,0,0,0,
33,0,0,0,
33.5,0,0,0,H-1-10-5:
34,0,0,0,H-1-10-5:
34.5,0,0,0,
35,0,0,0,
35.5,0,0,0,
36,0,0,0,H-3-10-5:
36.5,0,0,0,H-3-10-5:
37,0,0,0,H-0-5-2:B
37.5,0,0,0,H-0-5-2:B
38,0,0,0,H-0-5-2:B
38.5,0,0,0,L
39,0,0,0,L
39.5,0,0,0,
40,0,0,0,
40.5,0,0,0,
41,0,0,0,
41.5,0,0,0,
42,0,0,0,H-3-20-5.060417:
42.5,0,0,0,H-3-20-5.060417:
43,0,0,0,H-3-20-5.060417:
43.5,0,0,0,H-1-12-4.474209:
44,0,0,0,H-1-12-4.474209:
44.5,0,0,0,H-1-10-4.238203:C
45,0,0,0,H-1-10-4.238203:C
45.5,0,0,0,H-1-10-4.238203:C
46,0,0,0,H-1-11-2.65064:C
46.5,0,0,0,H-1-11-2.65064:C
47,0,0,0,H-1-11-2.65064:C
47.5,0,0,0,H-1-11-2.65064:C
48,0,0,0,H-1-11-2.65064:C
48.5,0,0,0,H-1-11-2.65064:C
49,0,0,0,H-1-11-2.65064:C
49.5,0,0,0,H-1-11-2.65064:C
50,0,0,0,H-1-11-2.65064:C
50.5,0,0,0,H-1-11-2.65064:C
51,0,0,0,H-1-11-2.65064:C
51.5,0,0,0,H-1-11-2.65064:C
52,0,0,0,H-0-10-2.224321:
52.5,0,0,0,H-0-10-2.224321:
53,0,0,0,H-0-10-2.224321:
53.5,0,0,0,H-0-10-2.224321:
54,0,0,0,H-0-10-2.224321:
54.5,0,0,0,H-0-10-5.39391:BP2
55,0,0,0,H-0-10-5.39391:BP2
55.5,0,0,0,H-3-20-5.341095:C
56,0,0,0,H-3-20-5.341095:C
56.5,0,0,0,H-3-20-5.341095:C
57,0,0,0,H-3-20-5.341095:C
57.5,0,0,0,H-3-20-5.341095:C
58,0,0,0,H-0-13-5.951389:
58.5,0,0,0,H-0-13-5.951389:
59,0,0,0,H-0-13-5.951389:
59.5,0,0,0,H-0-13-5.951389:
60,0,0,0,H-0-13-5.951389:
60.5,0,0,0,H-0-13-5.951389:
61,0,0,0,H-0-13-5.951389:
61.5,0,0,0,H-0-13-5.951389:
62,0,0,0,H-0-13-5.951389:
62.5,0,0,0,H-0-13-5.951389:
63,0,0,0,N
63.5,0,0,0,H-0-13-5.951389:
64,0,0,0,H-0-13-5.951389:
64.5,0,0,0,H-0-13-5.951389:
65,0,0,0,H-0-13-5.951389:
65.5,0,0,0,H-3-20-5.341095:C
66,0,0,0,H-3-20-5.341095:C
66.5,0,0,0,H-0-10-5.39391:BP2
67,0,0,0,H-0-10-5.39391:BP2
67.5,0,0,0,H-0-10-5.39391:BP2
68,0,0,0,H-3-20-5.341095:C
68.5,0,0,0,H-3-20-5.341095:C
69,0,0,0,H-0-13-5.951389:
69.5,0,0,0,H-0-13-5.951389:
70,0,0,0,H-0-13-5.951389:
70.5,0,0,0,N
71,0,0,0,N
71.5,0,0,0,H-1-3.021345-2.563148:
72,0,0,0,H-1-3.021345-2.563148:
72.5,0,0,0,H-1-3.021345-2.563148:
73,0,0,0,
73.5,0,0,0,
74,0,0,0,H-3-11.09256-4.885524:
74.5,0,0,0,H-3-11.09256-4.885524:
75,0,0,0,H-3-11.09256-4.885524:
75.5,0,0,0,H-3-15.59478-5.300556:
76,0,0,0,H-3-15.59478-5.300556:
76.5,0,0,0,
77,0,0,0,
77.5,0,0,0,
78,0,0,0,
78.5,0,0,0,
79,0,0,0,H-0-6.250047-2.534258:
79.5,0,0,0,H-0-6.250047-2.534258:
80,0,0,0,H-0-6.250047-2.534258:
80.5,0,0,0,
81,0,0,0,
81.5,0,0,0,
82,0,0,0,
82.5,0,0,0,
83,0,0,0,H-0-11.01819-4.12078:
83.5,0,0,0,H-0-11.01819-4.12078:
84,0,0,0,H-0-11.01819-4.12078:
84.5,0,0,0,X
85,0,0,0,X
85.5,0,0,0,H-3-20-3.72481:
86,0,0,0,H-3-20-3.72481:
86.5,0,0,0,H-3-20-3.72481:
87,0,0,0,H-1-8-2.725593:
87.5,0,0,0,H-1-8-2.725593:
88,0,0,0,H-2-9-2.887097:
88.5,0,0,0,H-2-9-2.887097:
89,0,0,0,H-2-9-2.887097:
89.5,0,0,0,H-3-20-3.32364:
90,0,0,0,H-3-20-3.32364:
90.5,0,0,0,H-0-8-5.407243:B
91,0,0,0,H-0-8-5.407243:B
91.5,0,0,0,H-0-8-5.407243:B
92,0,0,0,H-1-13-2.455724:
92.5,0,0,0,H-1-13-2.455724:
93,0,0,0,H-2-14-3.452666:C
93.5,0,0,0,H-2-14-3.452666:C
94,0,0,0,H-2-14-3.452666:C
94.5,0,0,0,H-3-20-2.233222:
95,0,0,0,H-3-20-2.233222:
95.5,0,0,0,H-2-7-2.503731
