Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,P3
4.5,0,0,0,P3
5,0,0,0,P3
5.5,0,0,0,
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,P3
10,0,0,0,P3
10.5,0,0,0,C
11,0,0,0,C
11.5,0,0,0,C
12,0,0,0,
12.5,0,0,0,
13,0,0,0,H-0-10-5:
13.5,0,0,0,H-0-10-5:
14,0,0,0,H-0-10-5:
14.5,0,0,0,
15,0,0,0,
15.5,0,0,0,
16,0,0,0,H-1-10-5:
16.5,0,0,0,H-1-10-5:
17,0,0,0,H-3-5-2:B
17.5,0,0,0,H-3-5-2:B
18,0,0,0,H-3-5-2:B
18.5,0,0,0,L
19,0,0,0,L
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,
21,0,0,0,
21.5,0,0,0,
22,0,0,0,P2
22.5,0,0,0,P2
23,0,0,0,P2
23.5,0,0,0,C
24,0,0,0,C
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,H-1-10-5:
26.5,0,0,0,H-1-10-5:
27,0,0,0,
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,H-3-10-5:
29,0,0,0,H-3-10-5:
29.5,0,0,0,H-0-5-2:B
30,0,0,0,H-0-5-2:B
30.5,0,0,0,H-0-5-2:B
31,0,0,0,L
31.5,0,0,0,L
32,0,0,0,
32.5,0,0,0,
33,0,0,0,
33.5,0,0,0,
34,0,0,0,
34.5,0,0,0,H-2-17-2.629516:
35,0,0,0,H-2-17-2.629516:
35.5,0,0,0,H-2-17-2.629516:
36,0,0,0,H-1-7-4.510068:C
36.5,0,0,0,H-1-7-4.510068:C
37,0,0,0,H-3-20-2.618087:
37.5,0,0,0,H-3-20-2.618087:
38,0,0,0,H-3-20-2.618087:
38.5,0,0,0,
39,0,0,0,
39.5,0,0,0,H-0-13-4.240404:C
40,0,0,0,H-0-13-4.240404:C
40.5,0,0,0,H-0-13-4.240404:C
41,0,0,0,H-1-3-2.294656:BC
41.5,0,0,0,H-1-3-2.294656:BC
42,0,0,0,H-1-3-2.294656:BC
42.5,0,0,0,H-3-20-2.654506:
43,0,0,0,H-3-20-2.654506:
43.5,0,0,0,H-3-20-2.654506:
44,0,0,0,H-3-20-2.654506:
44.5,0,0,0,H-3-20-2.654506:
45,0,0,0,H-3-20-2.654506:
45.5,0,0,0,H-3-20-2.654506:
46,0,0,0,H-3-20-2.654506:
46.5,0,0,0,H-3-20-2.654506:
47,0,0,0,H-3-20-2.654506:
47.5,0,0,0,H-3-20-2.654506:
48,0,0,0,H-3-20-2.654506:
48.5,0,0,0,H-3-20-2.654506:
49,0,0,0,H-3-20-2.654506:
49.5,0,0,0,H-3-20-2.654506:
50,0,0,0,H-3-20-2.654506:
50.5,0,0,0,H-3-20-2.654506:
51,0,0,0,H-3-20-2.654506:
51.5,0,0,0,H-3-20-2.654506:
52,0,0,0,H-3-20-2.654506:
52.5,0,0,0,H-3-20-2.654506:
53,0,0,0,H-3-20-2.654506:
53.5,0,0,0,H-3-20-2.654506:
54,0,0,0,H-3-20-2.654506:
54.5,0,0,0,H-3-20-2.654506:
55,0,0,0,H-3-20-2.654506:
55.5,0,0,0,H-3-20-2.654506:
56,0,0,0,H-3-20-2.654506:
56.5,0,0,0,H-3-20-2.654506:
57,0,0,0,H-3-20-2.654506:
57.5,0,0,0,H-3-20-2.654506:
58,0,0,0,H-3-20-2.654506:
58.5,0,0,0,H-3-20-2.654506:
59,0,0,0,H-3-20-2.654506:
59.5,0,0,0,H-3-20-2.654506:
60,0,0,0,H-3-20-2.654506:
60.5,0,0,0,H-3-20-2.654506:
61,0,0,0,H-3-20-2.654506:
61.5,0,0,0,H-3-20-2.654506:
62,0,0,0,H-3-20-2.654506:
62.5,0,0,0,H-3-20-2.654506:
63,0,0,0,H-3-20-2.654506:
63.5,0,0,0,H-3-20-2.654506:
64,0,0,0,H-3-20-2.654506:
64.5,0,0,0,H-3-20-2.654506:
65,0,0,0,H-3-20-2.654506:
65.5,0,0,0,H-3-20-2.654506:
66,0,0,0,H-3-20-2.654506:
66.5,0,0,0,H-3-20-2.654506:
67,0,0,0,H-3-20-2.654506:
67.5,0,0,0,H-3-20-2.654506:
68,0,0,0,H-3-20-2.654506:
68.5,0,0,0,H-3-20-2.654506:
69,0,0,0,H-3-20-2.654506:
69.5,0,0,0,H-3-20-2.654506:
70,0,0,0,H-3-20-2.654506:
70.5,0,0,0,H-3-20-2.654506:
71,0,0,0,H-3-20-2.654506:
71.5,0,0,0,H-3-20-2.654506:
72,0,0,0,H-3-20-2.654506:
72.5,0,0,0,H-3-20-2.654506:
73,0,0,0,H-2-11-3.255899:C
73.5,0,0,0,H-2-11-3.255899:C
74,0,0,0,H-2-11-3.255899:C
74.5,0,0,0,H-2-11-3.255899:C
75,0,0,0,H-2-11-3.255899:C
75.5,0,0,0,N
76,0,0,0,N
76.5,0,0,0,N
77,0,0,0,N
77.5,0,0,0,N
78,0,0,0,H-2-13.83656-2.88709:P2
78.5,0,0,0,H-2-13.83656-2.88709:P2
79,0,0,0,H-2-13.83656-2.88709:P2
79.5,0,0,0,H-2-13.83656-2.88709:P2
80,0,0,0,H-2-13.83656-2.88709:P2
80.5,0,0,0,H-2-13.83656-2.88709:P2
81,0,0,0,H-2-12.29013-3.207518:
81.5,0,0,0,H-2-12.29013-3.207518:
82,0,0,0,H-2-12.29013-3.207518:
82.5,0,0,0,H-2-12.29013-3.207518:
83,0,0,0,H-2-12.29013-3.207518:
83.5,0,0,0,H-2-12.29013-3.207518:
84,0,0,0,H-2-13.83656-2.88709:P2
84.5,0,0,0,H-2-13.83656-2.88709:P2
85,0,0,0,H-2-13.83656-2.88709:P2
85.5,0,0,0,H-2-12.29013-3.207518:
86,0,0,0,H-2-12.29013-3.207518:
86.5,0,0,0,H-0-4.720335-4.057131:
87,0,0,0,H-0-4.720335-4.057131:
87.5,0,0,0,H-0-4.720335-4.057131:
88,0,0,0,H-2-3.861385-3.047181:C
88.5,0,0,0,H-2-3
