Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,P2
2.5,0,0,0,P2
3,0,0,0,P2
3.5,0,0,0,
4,0,0,0,
4.5,0,0,0,
5,0,0,0,
5.5,0,0,0,
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,P2
8,0,0,0,P2
8.5,0,0,0,C
9,0,0,0,C
9.5,0,0,0,C
10,0,0,0,
10.5,0,0,0,
11,0,0,0,H-0-10-5:
11.5,0,0,0,H-0-10-5:
12,0,0,0,H-0-10-5:
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,H-1-10-5:
14,0,0,0,H-1-10-5:
14.5,0,0,0,H-1-10-5:
15,0,0,0,H-3-5-2:B
15.5,0,0,0,H-3-5-2:B
16,0,0,0,L
16.5,0,0,0,L
17,0,0,0,L
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,
20,0,0,0,H-3-20-4.018164:
20.5,0,0,0,H-3-20-4.018164:
21,0,0,0,H-0-12-5.594279:B
21.5,0,0,0,H-0-12-5.594279:B
22,0,0,0,H-0-12-5.594279:B
22.5,0,0,0,H-2-7-3.424869:
23,0,0,0,H-2-7-3.424869:
23.5,0,0,0,H-0-9-4.958505:
24,0,0,0,H-0-9-4.958505:
24.5,0,0,0,H-0-9-4.958505:
25,0,0,0,H-1-16-3.080282:
25.5,0,0,0,H-1-16-3.080282:
26,0,0,0,H-3-20-3.945158:P2
26.5,0,0,0,H-3-20-3.945158:P2
27,0,0,0,H-3-20-3.945158:P2
27.5,0,0,0,H-1-11-4.545862:
28,0,0,0,H-1-11-4.545862:
28.5,0,0,0,H-1-11-4.545862:
29,0,0,0,H-0-8-2.653094:
29.5,0,0,0,H-0-8-2.653094:
30,0,0,0,H-0-8-2.653094:
30.5,0,0,0,N
31,0,0,0,N
31.5,0,0,0,H-3-6.051782-4.51087:
32,0,0,0,H-3-6.051782-4.51087:
32.5,0,0,0,H-3-6.051782-4.51087:
33,0,0,0,
33.5,0,0,0,
34,0,0,0,H-0-7.063081-3.064299:
34.5,0,0,0,H-0-7.063081-3.064299:
35,0,0,0,H-0-7.063081-3.064299:
35.5,0,0,0,
36,0,0,0,
36.5,0,0,0,
37,0,0,0,
37.5,0,0,0,
38,0,0,0,
38.5,0,0,0,
39,0,0,0,
39.5,0,0,0,H-3-16.02815-4.900599:
40,0,0,0,H-3-16.02815-4.900599:
40.5,0,0,0,H-1-14.00617-2.216722:
41,0,0,0,H-1-14.00617-2.216722:
41.5,0,0,0,H-1-14.00617-2.216722:
42,0,0,0,
42.5,0,0,0,
43,0,0,0,
43.5,0,0,0,
44,0,0,0,
44.5,0,0,0,X
45,0,0,0,X
45.5,0,0,0,C
46,0,0,0,C
46.5,0,0,0,C
47,0,0,0,H-2-15-2.84709:
47.5,0,0,0,H-2-15-2.84709:
48,0,0,0,H-3-20-4.704278:
48.5,0,0,0,H-3-20-4.704278:
49,0,0,0,H-3-20-4.704278:
49.5,0,0,0,
50,0,0,0,
50.5,0,0,0,H-3-20-4.924018:
51,0,0,0,H-3-20-4.924018:
51.5,0,0,0,H-3-20-4.924018:
52,0,0,0,H-2-10-2.965656:
52.5,0,0,0,H-2-10-2.965656:
53,0,0,0,H-0-8-5.365509:C
53.5,0,0,0,H-0-8-5.365509:C
54,0,0,0,H-0-8-5.365509:C
54.5,0,0,0,H-1-12-4.181448:
55,0,0,0,H-1-12-4.181448:
55.5,0,0,0,H-0-8-2.860885:C
56,0,0,0,H-0-8-2.860885:C
56.5,0,0,0,H-0-8-2.860885:C
57,0,0,0,H-1-10-2.130819:BC
57.5,0,0,0,H-1-10-2.130819:BC
58,0,0,0,N
58.5,0,0,0,N
59,0,0,0,N
59.5,0,0,0,H-1-10.51715-3.078036:
60,0,0,0,H-1-10.51715-3.078036:
60.5,0,0,0,H-2-6.370078-3.000174:P3
61,0,0,0,H-2-6.370078-3.000174:P3
61.5,0,0,0,H-2-6.370078-3.000174:P3
62,0,0,0,H-3-5.501953-5.009957:C
62.5,0,0,0,H-3-5.501953-5.009957:C
63,0,0,0,H-3-5.501953-5.009957:C
63.5,0,0,0,H-3-5.569391-5.535347:
64,0,0,0,H-3-5.569391-5.535347:
64.5,0,0,0,H-0-6.548034-3.987227:
65,0,0,0,H-0-6.548034-3.987227:
65.5,0,0,0,H-0-6.548034-3.987227:
66,0,0,0,H-0-14.72867-4.205576:
66.5,0,0,0,H-0-14.72867-4.205576:
67,0,0,0,H-1-7.952567-2.046686:
67.5,0,0,0,H-1-7.952567-2.046686:
68,0,0,0,H-1-7.952567-2.046686:
68.
