Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,P2
3.5,0,0,0,P2
4,0,0,0,P2
4.5,0,0,0,P2
5,0,0,0,P2
5.5,0,0,0,
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,P2
13.5,0,0,0,P2
14,0,0,0,P2
14.5,0,0,0,C
15,0,0,0,C
15.5,0,0,0,C
16,0,0,0,
16.5,0,0,0,
17,0,0,0,
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,H-0-10-5:
19,0,0,0,H-0-10-5:
19.5,0,0,0,H-0-10-5:
20,0,0,0,
20.5,0,0,0,
21,0,0,0,
21.5,0,0,0,
22,0,0,0,H-1-10-5:
22.5,0,0,0,H-1-10-5:
23,0,0,0,H-1-10-5:
23.5,0,0,0,H-3-5-2:B
24,0,0,0,H-3-5-2:B
24.5,0,0,0,L
25,0,0,0,L
25.5,0,0,0,L
26,0,0,0,
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,H-0-8-3.302263:C
29,0,0,0,H-0-8-3.302263:C
29.5,0,0,0,H-3-20-3.045312:
30,0,0,0,H-3-20-3.045312:
30.5,0,0,0,H-3-20-3.045312:
31,0,0,0,H-1-7-5.48566:
31.5,0,0,0,H-1-7-5.48566:
32,0,0,0,H-1-7-3.155809:
32.5,0,0,0,H-1-7-3.155809:
33,0,0,0,H-1-7-3.155809:
33.5,0,0,0,H-2-10-2.599165:BP2
34,0,0,0,H-2-10-2.599165:BP2
34.5,0,0,0,H-1-13-5.784745:
35,0,0,0,H-1-13-5.784745:
35.5,0,0,0,H-1-13-5.784745:
36,0,0,0,H-1-13-5.784745:
36.5,0,0,0,H-1-13-5.784745:
37,0,0,0,H-1-13-5.784745:
37.5,0,0,0,H-1-13-5.784745:
38,0,0,0,H-1-13-5.784745:
38.5,0,0,0,H-1-13-5.784745:
39,0,0,0,H-1-13-5.784745:
39.5,0,0,0,H-1-6-2.127959:B
40,0,0,0,H-1-6-2.127959:B
40.5,0,0,0,H-1-6-2.127959:B
41,0,0,0,H-1-6-2.127959:B
41.5,0,0,0,H-1-6-2.127959:B
42,0,0,0,H-1-6-2.127959:B
42.5,0,0,0,H-1-6-2.127959:B
43,0,0,0,H-1-6-2.127959:B
43.5,0,0,0,H-1-6-2.127959:B
44,0,0,0,H-1-6-2.127959:B
44.5,0,0,0,H-1-13-5.784745:
45,0,0,0,H-1-13-5.784745:
45.5,0,0,0,H-1-13-5.784745:
46,0,0,0,H-1-13-5.784745:
46.5,0,0,0,H-1-13-5.784745:
47,0,0,0,H-1-13-5.784745:
47.5,0,0,0,H-1-13-5.784745:
48,0,0,0,H-1-13-5.784745:
48.5,0,0,0,H-1-13-5.784745:
49,0,0,0,H-1-13-5.784745:
49.5,0,0,0,H-1-13-5.784745:
50,0,0,0,H-1-13-5.784745:
50.5,0,0,0,H-1-13-5.784745:
51,0,0,0,H-1-13-5.784745:
51.5,0,0,0,H-1-13-5.784745:
52,0,0,0,H-1-13-5.784745:
52.5,0,0,0,H-1-13-5.784745:
53,0,0,0,H-1-13-5.784745:
53.5,0,0,0,H-1-13-5.784745:
54,0,0,0,H-1-13-5.784745:
54.5,0,0,0,H-1-6-2.127959:B
55,0,0,0,H-1-6-2.127959:B
55.5,0,0,0,H-1-6-2.127959:B
56,0,0,0,H-1-6-2.127959:B
56.5,0,0,0,H-2-15-3.118696:C
57,0,0,0,H-2-15-3.118696:C
57.5,0,0,0,N
58,0,0,0,N
58.5,0,0,0,N
59,0,0,0,H-3-8.003722-2.614667:
59.5,0,0,0,H-3-8.003722-2.614667:
60,0,0,0,H-2-6.736651-3.223626:
60.5,0,0,0,H-2-6.736651-3.223626:
61,0,0,0,H-2-6.736651-3.223626:
61.5,0,0,0,H-2-4.292046-2.816273:
62,0,0,0,H-2-4.292046-2.816273:
62.5,0,0,0,H-0-10.53666-3.158379:C
63,0,0,0,H-0-10.53666-3.158379:C
63.5,0,0,0,H-0-10.53666-3.158379:C
64,0,0,0,H-2-9.362681-2.915243:CP3
64.5,0,0,0,H-2-9.362681-2.915243:CP3
65,0,0,0,H-2-9.362681-2.915243:CP3
65.5,0,0,0,H-2-9.362681-2.915243:CP3
66,0,0,0,H-2-9.362681-2.915243:CP3
66.5,0,0,0,H-2-9.362681-2.915243:CP3
67,0,0,0,H-2-9.362681-2.915243:CP3
67.5,0,0,0,H-2-9.362681-2.915243:CP3
68,0,0,0,H-2-9.362681-2.915243:CP3
68.5,0,0,0,H-2-9.362681-2.915243:CP3
69,0,0,0,H-2-9.362681-2.915243:CP3
69.5,0,0,0,H-2-9.362681-2.915243:CP3
70,0,0,0,H-2-9.362681-2.915243:CP3
70.5,0,0,0,H-2-9.362681-2.915243:CP3
71,0,0,0,H-1-8.569003-3.193219:
71.5,0,0,0,H-1-8.569003-3.193219:
72,0,0,0,H-1-8.569003-3.193219:
72.5,0,0,0,H-0-17.31444-3.11218:
73,0,0,0,H-0-17.31444-3.11218:
73.5,0,0,0,H-0-17.31444-3.11218:
74,0,0,0,H-1-11.75905-4.71165:
74.5,0,0,0,H-1-11.75905-4.71165:
75,0,0,0,H-2-11.60843-3.142126:
75.5,0,0,0,H-2-11.60843-3.142126:
76,0,0,0,H-2-11.60843-3.142126:
76.5,0,0,0,H-2-2.60269-3.194324:C
77,0,0,0,
77.5,0,0,0,X
78,0,0,0,X
78.5,0,0,0,X
79,0,0,0,H-1-15-3.247512:C
79.5,0,0,0,H-1-15-3.247512:C
80,0,0,0,H-0-8-3.108359:
80.5,0,0,0,H-0-8-3.108359:
81,0,0,0,H-0-8-3.108359:
81.5,0,0,0,H-3-20-3.643449:B
82,0,0,0,H-3-20-3.643449:B
82.5,0,0,0,H-0-13-3.003469:
83,0,0,0,H-0-13-3.003469:
83.5,0,0,0,H-0-13-3.003469:
84,0,0,0,H-0-11-4.220347:
84.5,0,0,0,H-0-11-4.220347:
85,0,0,0,H-3-20-2.33082:
85.5,0,0,0,H-3-20-2.33082:
86,0,0,0,H-3-20-2.33082:
86.5,0,0,0,H-2-12-2.709981:BC
87,0,0,0,H-2-12-2.709981:BC
87.5,0,0,0,H-1-13-4.505413:
88,0,0,0,H-1-13-4.505413:
88.5,0,0,0,H-1-13-4.505413:
89,0,0,0,H-3-20-2.560778:
89.5,0,0,0,H-3-20-2.560778:
90,0,0,0,H-2-9-2.926247:
90.5,0,0,0,H-2-9-2.926247:
91,0,0,0,H-2-9-2.926247:
91.5,0,0,0,N
92,0,0,0,N
92.5,0,0,0,H-0-16.67933-2.22981:
93,0,0,0,H-0-16.67933-2.22981:
93.5,0,0,0,H-0-16.67933-2.22981:
94,0,0,0,
94.5,0,0,0,
95,0,0,0,
95.5,0,0,0,
96,0,0,0,
96.5,0,0,0,H-3-7.782907-2.877757:
97,0,0,0,H-3-7.782907-2.877757:
97.5,0,0,0,
98,0,0,0,
98.5,0,0,0,
99,0,0,0,
99.5,0,0,0,
100,0,0,0,H-0-10.66843-3.530971:
100.5,0,0,0,H-0-10.66843-3.530971:
101,0,0,0,H-0-10.66843-3.530971:
101.5,0,0,0,H-1-15.20629-4.29632:
102,0,0,0,H-1-15.20629-4.29632:
102.5,0,0,0,H-2-12.00798-2.962111:
103,0,0,0,H-2-12.00798-2.962111:
103.5,0,0,0,H-2-12.00798-2.962111:
104,0,0,0,
104.5,0,0,0,
105,0,0,0,
