Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,P3
3,0,0,0,P3
3.5,0,0,0,P3
4,0,0,0,
4.5,0,0,0,
5,0,0,0,
5.5,0,0,0,
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,P3
8.5,0,0,0,P3
9,0,0,0,C
9.5,0,0,0,C
10,0,0,0,C
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,H-0-10-5:
12,0,0,0,H-0-10-5:
12.5,0,0,0,H-0-10-5:
13,0,0,0,
13.5,0,0,0,
14,0,0,0,H-1-10-5:
14.5,0,0,0,H-1-10-5:
15,0,0,0,H-1-10-5:
15.5,0,0,0,H-3-5-2:B
16,0,0,0,H-3-5-2:B
16.5,0,0,0,L
17,0,0,0,L
17.5,0,0,0,L
18,0,0,0,
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,P2
21,0,0,0,P2
21.5,0,0,0,C
22,0,0,0,C
22.5,0,0,0,C
23,0,0,0,
23.5,0,0,0,
24,0,0,0,H-1-10-5:
24.5,0,0,0,H-1-10-5:
25,0,0,0,H-1-10-5:
25.5,0,0,0,
26,0,0,0,
26.5,0,0,0,H-3-10-5:
27,0,0,0,H-3-10-5:
27.5,0,0,0,H-3-10-5:
28,0,0,0,H-0-5-2:B
28.5,0,0,0,H-0-5-2:B
29,0,0,0,L
29.5,0,0,0,L
30,0,0,0,L
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,
33,0,0,0,H-0-12-2.734799:
33.5,0,0,0,H-0-12-2.734799:
34,0,0,0,H-0-12-2.734799:
34.5,0,0,0,H-0-7-2.249886:
35,0,0,0,H-0-7-2.249886:
35.5,0,0,0,H-0-14-5.688547:P2C
36,0,0,0,H-0-14-5.688547:P2C
36.5,0,0,0,H-0-14-5.688547:P2C
37,0,0,0,H-1-8-2.827024:
37.5,0,0,0,H-1-8-2.827024:
38,0,0,0,H-2-9-3.185811:P3C
38.5,0,0,0,H-2-9-3.185811:P3C
39,0,0,0,H-2-9-3.185811:P3C
39.5,0,0,0,H-3-20-2.744266:
40,0,0,0,H-3-20-2.744266:
40.5,0,0,0,H-0-16-2.588538:
41,0,0,0,H-0-16-2.588538:
41.5,0,0,0,H-0-16-2.588538:
42,0,0,0,H-0-12-2.435766:
42.5,0,0,0,H-0-12-2.435766:
43,0,0,0,N
43.5,0,0,0,N
44,0,0,0,N
44.5,0,0,0,H-0-17.0744-5.033082:C
45,0,0,0,H-0-17.0744-5.033082:C
45.5,0,0,0,H-0-16.39592-4.496863:
46,0,0,0,H-0-16.39592-4.496863:
46.5,0,0,0,H-0-16.39592-4.496863:
47,0,0,0,H-3-12.45718-5.659844:C
47.5,0,0,0,H-3-12.45718-5.659844:C
48,0,0,0,H-1-14.12363-5.736188:C
48.5,0,0,0,H-1-14.12363-5.736188:C
49,0,0,0,H-1-14.12363-5.736188:C
49.5,0,0,0,H-2-2.352016-2.583438:
50,0,0,0,H-2-2.352016-2.583438:
50.5,0,0,0,H-0-3.697668-5.616033:
51,
