Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,0,0,0,C
9,0,0,0,C
9.5,0,0,0,C
10,0,0,0,C
10.5,0,0,0,C
11,0,0,0,C
11.5,0,0,0,C
12,0,0,0,C
12.5,0,0,0,C
13,0,0,0,C
13.5,0,0,0,C
14,0,0,0,C
14.5,0,0,0,C
15,0,0,0,C
15.5,0,0,0,C
16,0,0,0,C
16.5,0,0,0,P1
17,0,0,0,P1
17.5,0,0,0,P1
18,0,0,0,P1
18.5,0,0,0,P1
19,0,0,0,P1
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,
21,0,0,0,
21.5,0,0,0,
22,0,0,0,
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,P1
25,0,0,0,P1
25.5,0,0,0,P1
26,0,0,0,C
26.5,0,0,0,C
27,0,0,0,
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,H-0-10-5:
29,0,0,0,H-0-10-5:
29.5,0,0,0,H-0-10-5:
30,0,0,0,H-0-10-5:
30.5,0,0,0,H-0-10-5:
31,0,0,0,
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,
33,0,0,0,
33.5,0,0,0,
34,0,0,0,H-1-10-5:
34.5,0,0,0,H-1-10-5:
35,0,0,0,H-1-10-5:
35.5,0,0,0,H-3-5-2:B
36,0,0,0,H-3-5-2:B
36.5,0,0,0,L
37,0,0,0,L
37.5,0,0,0,L
38,0,0,0,
38.5,0,0,0,
39,0,0,0,
39.5,0,0,0,
40,0,0,0,
40.5,0,0,0,H-1-15-3.105635:B
41,0,0,0,H-1-15-3.105635:B
41.5,0,0,0,H-3-20-4.965358:
42,0,0,0,H-3-20-4.965358:
42.5,0,0,0,H-3-20-4.965358:
43,0,0,0,H-0-13-5.847328:
43.5,0,0,0,H-0-13-5.847328:
44,0,0,0,H-2-8-3.428068:
44.5,0,0,0,H-2-8-3.428068:
45,0,0,0,H-2-8-3.428068:
45.5,0,0,0,H-0-4-5.699474:C
46,0,0,0,H-0-4-5.699474:C
46.5,0,0,0,H-3-20-4.532633:
47,0,0,0,H-3-20-4.532633:
47.5,0,0,0,H-3-20-4.532633:
48,0,0,0,H-2-6-3.415568:
48.5,0,0,0,H-2-6-3.415568:
49,0,0,0,H-2-15-3.488582:P3
49.5,0,0,0,H-2-15-3.488582:P3
50,0,0,0,H-2-15-3.488582:P3
50.5,0,0,0,H-2-15-3.488582:P3
51,0,0,0,H-2-15-3.488582:P3
51.5,0,0,0,H-2-15-3.488582:P3
52,0,0,0,H-2-15-3.488582:P3
52.5,0,0,0,H-2-15-3.488582:P3
53,0,0,0,H-2-15-3.488582:P3
53.5,0,0,0,H-2-15-3.488582:P3
54,0,0,0,H-2-15-3.488582:P3
54.5,0,0,0,H-2-15-3.488582:P3
55,0,0,0,H-2-15-3.488582:P3
55.5,0,0,0,H-2-15-3.488582:P3
56,0,0,0,H-2-15-3.488582:P3
56.5,0,0,0,H-2-15-3.488582:P3
57,0,0,0,H-2-15-3.488582:P3
57.5,0,0,0,H-2-15-3.488582:P3
58,0,0,0,H-2-15-3.488582:P3
58.5,0,0,0,H-2-15-3.488582:P3
59,0,0,0,H-2-15-3.488582:P3
59.5,0,0,0,H-2-15-3.488582:P3
60,0,0,0,H-2-15-3.488582:P3
60.5,0,0,0,H-2-15-3.488582:P3
61,0,0,0,H-2-15-3.488582:P3
61.5,0,0,0,H-2-15-3.488582:P3
62,0,0,0,H-2-15-3.488582:P3
62.5,0,0,0,H-2-15-3.488582:P3
63,0,0,0,H-2-15-3.488582:P3
63.5,0,0,0,H-2-15-3.488582:P3
64,0,0,0,H-2-15-3.488582:P3
64.5,0,0,0,H-2-15-3.488582:P3
65,0,0,0,H-2-15-3.488582:P3
65.5,0,0,0,H-2-15-3.488582:P3
66,0,0,0,H-2-15-3.488582:P3
66.5,0,0,0,H-2-15-3.488582:P3
67,0,0,0,H-2-15-3.488582:P3
67.5,0,0,0,N
68,0,0,0,N
68.5,0,0,0,N
69,0,0,0,H-2-15.8832-3.409899:P1
69.5,0,0,0,H-2-15.8832-3.409899:P1
70,0,0,0,H-2-15.8832-3.409899:P1
70.5,0,0,0,H-1-14.2801-3.417466:
71,0,0,0,H-1-14.2801-3.417466:
71.5,0,0,0,H-0-16.56712-2.56512:P2
72,0,0,0,H-0-16.56712-2.56512:P2
72.5,0,0,0,H-0-16.56712-2.56512:P2
73,0,0,0,H-2-6.645152-2.763165:P3
