Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,0,0,0,C
9,0,0,0,C
9.5,0,0,0,C
10,0,0,0,C
10.5,0,0,0,C
11,0,0,0,C
11.5,0,0,0,C
12,0,0,0,C
12.5,0,0,0,C
13,0,0,0,C
13.5,0,0,0,C
14,0,0,0,C
14.5,0,0,0,C
15,0,0,0,C
15.5,0,0,0,P2
16,0,0,0,P2
16.5,0,0,0,P2
17,0,0,0,P2
17.5,0,0,0,P2
18,0,0,0,P2
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,
21,0,0,0,
21.5,0,0,0,
22,0,0,0,
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,P2
26.5,0,0,0,P2
27,0,0,0,P2
27.5,0,0,0,C
28,0,0,0,C
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,
30,0,0,0,H-0-10-5:
30.5,0,0,0,H-0-10-5:
31,0,0,0,
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,H-1-10-5:
33,0,0,0,H-1-10-5:
33.5,0,0,0,H-3-5-2:B
34,0,0,0,H-3-5-2:B
34.5,0,0,0,H-3-5-2:B
35,0,0,0,L
35.5,0,0,0,L
36,0,0,0,
36.5,0,0,0,
37,0,0,0,
37.5,0,0,0,
38,0,0,0,
38.5,0,0,0,H-3-20-5.342714:C
39,0,0,0,H-3-20-5.342714:C
39.5,0,0,0,H-3-20-5.342714:C
40,0,0,0,H-2-8-2.645153:
40.5,0,0,0,H-2-8-2.645153:
41,0,0,0,
41.5,0,0,0,
42,0,0,0,
42.5,0,0,0,H-3-20-5.83637:
43,0,0,0,H-3-20-5.83637:
43.5,0,0,0,H-3-20-4.803871:
44,0,0,0,H-3-20-4.803871:
44.5,0,0,0,H-3-20-4.803871:
45,0,0,0,H-1-9-5.04401:
45.5,0,0,0,H-1-9-5.04401:
46,0,0,0,H-3-20-2.487524:C
46.5,0,0,0,H-3-20-2.487524:C
47,0,0,0,H-3-20-2.487524:C
47.5,0,0,0,
48,0,0,0,
48.5,0,0,0,N
49,0,0,0,N
49.5,0,0,0,N
50,0,0,0,H-1-10.13287-5.95617:P1
50.5,0,0,0,H-1-10.13287-5.95617:P1
51,0,0,0,H-1-10.13287-5.95617:P1
51.5,0,0,0,H-2-9.178374-3.103675:CP3
52,0,0,0,H-2-9.178374-3.103675:CP3
52.5,0,0,0,H-1-7.470819-4.824716:P2
53,0,0,0,H-1-7.470819-4.824716:P2
53.5,0,0,0,H-1-7.470819-4.824716:P2
54,0,0,0,H-1-10.98908-4.510469:
54.5,0,0,0,H-1-10.98908-4.510469:
55,0,0,0,H-3-16.18623-2.726061:C
55.5,0,0,0,H-3-16.18623-2.726061:C
56,0,0,0,H-3-16.18623-2.726061:C
56.5,0,0,0,
