Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,P3
4,0,0,0,P3
4.5,0,0,0,P3
5,0,0,0,P3
5.5,0,0,0,P3
6,0,0,0,P3
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,P3
15,0,0,0,P3
15.5,0,0,0,P3
16,0,0,0,P3
16.5,0,0,0,P3
17,0,0,0,P3
17.5,0,0,0,P3
18,0,0,0,P3
18.5,0,0,0,P3
19,0,0,0,P3
19.5,0,0,0,P3
20,0,0,0,P3
20.5,0,0,0,P3
21,0,0,0,C
21.5,0,0,0,C
22,0,0,0,C
22.5,0,0,0,C
23,0,0,0,C
23.5,0,0,0,C
24,0,0,0,C
24.5,0,0,0,C
25,0,0,0,C
25.5,0,0,0,C
26,0,0,0,C
26.5,0,0,0,C
27,0,0,0,C
27.5,0,0,0,C
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,
33,0,0,0,
33.5,0,0,0,
34,0,0,0,
34.5,0,0,0,
35,0,0,0,
35.5,0,0,0,
36,0,0,0,
36.5,0,0,0,H-0-10-5:
37,0,0,0,H-0-10-5:
37.5,0,0,0,H-0-10-5:
38,0,0,0,H-0-10-5:
38.5,0,0,0,H-0-10-5:
39,0,0,0,H-0-10-5:
39.5,0,0,0,H-0-10-5:
40,0,0,0,H-0-10-5:
40.5,0,0,0,H-0-10-5:
41,0,0,0,H-0-10-5:
41.5,0,0,0,H-0-10-5:
42,0,0,0,H-0-10-5:
42.5,0,0,0,H-0-10-5:
43,0,0,0,H-0-10-5:
43.5,0,0,0,H-0-10-5:
44,0,0,0,H-0-10-5:
44.5,0,0,0,H-0-10-5:
45,0,0,0,H-0-10-5:
45.5,0,0,0,H-0-10-5:
46,0,0,0,H-0-10-5:
46.5,0,0,0,H-0-10-5:
47,0,0,0,
47.5,0,0,0,
48,0,0,0,
48.5,0,0,0,
49,0,0,0,
49.5,0,0,0,
50,0,0,0,
50.5,0,0,0,
51,0,0,0,
51.5,0,0,0,
52,0,0,0,
52.5,0,0,0,
53,0,0,0,
53.5,0,0,0,
54,0,0,0,
54.5,0,0,0,
55,0,0,0,
55.5,0,0,0,
56,0,0,0,
56.5,0,0,0,
57,0,0,0,
57.5,0,0,0,
58,0,0,0,
58.5,0,0,0,
59,0,0,0,
59.5,0,0,0,H-1-10-5:
60,0,0,0,H-1-10-5:
60.5,0,0,0,H-1-10-5:
61,0,0,0,H-1-10-5:
61.5,0,0,0,H-1-10-5:
62,0,0,0,H-1-10-5:
62.5,0,0,0,H-1-10-5:
63,0,0,0,H-1-10-5:
63.5,0,0,0,H-1-10-5:
64,0,0,0,H-1-10-5:
64.5,0,0,0,H-1-10-5:
65,0,0,0,H-1-10-5:
65.5,0,0,0,H-1-10-5:
66,0,0,0,H-1-10-5:
66.5,0,0,0,H-1-10-5:
67,0,0,0,H-1-10-5:
67.5,0,0,0,H-1-1
