Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,P2
7.5,0,0,0,P2
8,0,0,0,P2
8.5,0,0,0,P2
9,0,0,0,P2
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,
15,0,0,0,
15.5,0,0,0,
16,0,0,0,
16.5,0,0,0,
17,0,0,0,P2
17.5,0,0,0,P2
18,0,0,0,P2
18.5,0,0,0,C
19,0,0,0,C
19.5,0,0,0,C
20,0,0,0,
20.5,0,0,0,
21,0,0,0,H-0-10-5:
21.5,0,0,0,H-0-10-5:
22,0,0,0,H-0-10-5:
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,H-1-10-5:
24,0,0,0,H-1-10-5:
24.5,0,0,0,H-1-10-5:
25,0,0,0,H-3-5-2:B
25.5,0,0,0,H-3-5-2:B
26,0,0,0,H-3-5-2:B
26.5,0,0,0,L
27,0,0,0,L
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,
30,0,0,0,H-2-9-3.463754:
30.5,0,0,0,H-2-9-3.463754:
31,0,0,0,H-2-9-3.463754:
31.5,0,0,0,H-1-8-2.201741:
32,0,0,0,H-1-8-2.201741:
32.5,0,0,0,H-1-13-5.489965:
33,0,0,0,H-1-13-5.489965:
33.5,0,0,0,H-1-13-5.489965:
34,0,0,0,H-1-9-3.59069:
34.5,0,0,0,H-1-9-3.59069:
35,0,0,0,H-3-20-5.853812:
35.5,0,0,0,H-3-20-5.853812:
36,0,0,0,H-3-20-5.853812:
36.5,0,0,0,H-2-8-2.889348:P3
37,0,0,0,H-2-8-2.889348:P3
37.5,0,0,0,
38,0,0,0,
38.5,0,0,0,
39,0,0,0,H-3-20-5.931123:BC
39.5,0,0,0,H-3-20-5.931123:BC
40,0,0,0,N
40.5,0,0,0,N
41,0,0,0,N
41.5,0,0,0,H-3-14.18528-3.939911:
42,0,0,0,H-3-14.18528-3.939911:
42.5,0,0,0,H-1-17.32972-4.746209:
43,0,0,0,H-1-17.32972-4.746209:
43.5,0,0,0,H-1-17.32972-4.746209:
44,0,0,0,H-0-2.362814-5.90103:
44.5,0,0,0,H-0-2.362814-5.90103:
45,0,0,0,H-3-13.82784-3.314734:P3
45.5,0,0,0,H-3-13.82784-3.314734:P3
46,0,0,0,H-3-13.82784-3.314734:P3
46.5,0,0,0,H-2-10.27894-2.651927:C
47,0,0,0,H-2-10.27894-2.651927:C
47.5,0,0,0,H-3-10.61028-4.905831:C
48,0,0,0,H-3-10.61028-4.905831:C
48.5,0,0,0,H-3-10.61028-4.905831:C
49,0,0,0,H-3-2.045368-2.603108:
49.5,0,0,0,H-3-2.045368-2.603108:
50,0,0,0,H-3-4.436041-4.421762:C
50.5,0,0,0,H-3-4.43604
