Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,0,0,0,C
9,0,0,0,C
9.5,0,0,0,C
10,0,0,0,C
10.5,0,0,0,C
11,0,0,0,P2
11.5,0,0,0,P2
12,0,0,0,P2
12.5,0,0,0,P2
13,0,0,0,P2
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,
15,0,0,0,
15.5,0,0,0,
16,0,0,0,
16.5,0,0,0,
17,0,0,0,P2
17.5,0,0,0,P2
18,0,0,0,P2
18.5,0,0,0,C
19,0,0,0,C
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,
21,0,0,0,H-0-10-5:
21.5,0,0,0,H-0-10-5:
22,0,0,0,
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,H-1-10-5:
24,0,0,0,H-1-10-5:
24.5,0,0,0,H-3-5-2:B
25,0,0,0,H-3-5-2:B
25.5,0,0,0,H-3-5-2:B
26,0,0,0,L
26.5,0,0,0,L
27,0,0,0,
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,H-3-20-4.851539:C
30,0,0,0,H-3-20-4.851539:C
30.5,0,0,0,H-3-20-4.851539:C
31,0,0,0,H-0-7-5.666994:
31.5,0,0,0,H-0-7-5.666994:
32,0,0,0,H-0-13-2.213749:
32.5,0,0,0,H-0-13-2.213749:
33,0,0,0,H-0-13-2.213749:
33.5,0,0,0,H-3-20-2.458153:B
34,0,0,0,H-3-20-2.458153:B
34.5,0,0,0,H-2-10-3.466507:
35,0,0,0,H-2-10-3.466507:
35.5,0,0,0,H-2-10-3.466507:
36,0,0,0,H-2-12-3.030672:
36.5,0,0,0,H-2-12-3.030672:
37,0,0,0,H-2-7-2.945896:C
37.5,0,0,0,H-2-7-2.945896:C
38,0,0,0,H-2-7-2.945896:C
38.5,0,0,0,H-3-20-4.335451:C
39,0,0,0,H-3-20-4.335451:C
39.5,0,0,0,N
40,0,0,0,N
40.5,0,0,0,N
41,0,0,0,H-3-9.223895-4.593915:
41.5,0,0,0,H-3-9.223895-4.593915:
42,0,0,0,H-3-9.223895-4.593915:
42.5,0,0,0,H-2-6.306056-3.273779:C
43,0,0,0,H-2-6.306056-3.273779:C
43.5,0,0,0,H-1-10.45533-5.918419:P3
44,0,0,0,H-1-10.45533-5.918419:P3
44.5,0,0,0,H-1-10.45533-5.918419:P3
45,0,0,0,H-2-17.35633-3.275057:
45.5,0,0,0,H-2-17.35633-3.275057:
46,0,0,0,H-2-10.55514-2.70665:
46.5,0,0,0,H-2-10.55514-2.70665:
47,0,0,0,H-2-10.55514-2.70665:
47.5,0,0,0,H-3-14.38354-2.91119:P3
48,0,0,0,H-3-14.38354-2.91119:P3
48.5,0,0,0,H-2-16.76718-2.758033:
49,0,0,0,H-2-16.76718-2.758033:
49.5,0,0,0,H-2-16.76718-2.758033:
50,0,0,0,H-3-9.752412-4.730902:
50.5,0,0,0,H-3-9.752412-4.730902:
51,0,0,0,H-1-11.28178-2.691955:
51.5,0,0,0,H-1-11.28178-2.691955:
52,0,0,0,H-1-11.28178-2.691955:
52.5,0,0,0,
53,0,0,0,H-0-9.668412-2.545786:
53.5,0,0,0,X
54,0,0,0,X
54.5,0,0,0,X
55,0,0,0,H-2-12-3.109148:C
55.5,0,0,0,H-2-12-3.109148:C
56,0,0,0,H-2-12-3.109148:C
56.5,0,0,0,H-2-12-3.109148:C
57,0,0,0,H-2-12-3.109148:C
57.5,0,0,0,H-3-20-3.226846:
58,0,0,0,H-3-20-3.226846:
58.5,0,0,0,H-3-20-3.226846:
59,0,0,0,H-3-20-3.226846:
59.5,0,0,0,H-3-20-3.226846:
60,0,0,0,H-3-20-3.226846:
60.5,0,0,0,H-3-20-3.226846:
61,0,0,0,H-3-20-3.226846:
61.5,0,0,0,H-3-20-3.226846:
62,0,0,0,H-3-20-3.226846:
62.5,0,0,0,H-3-20-3.226846:
63,0,0,0,H-1-8-4.70601:C
63.5,0,0,0,H-3-20-3.226846:
64,0,0,0,H-3-20-3.226846:
64.5,0,0,0,H-3-20-3.226846:
65,0,0,0,H-1-8-4.70601:C
65.5,0,0,0,H-1-8-4.70601:C
66,0,0,0,H-3-20-3.226846:
66.5,0,0,0,H-3-20-3.226846:
67,0,0,0,H-1-8-4.70601:C
67.5,0,0,0,H-1-8-4.70601:C
68,0,0,0,H-1-8-4.70601:C
68.5,0,0,0,H-3-20-5.480836:
69,0,0,0,H-3-20-5.480836:
69.5,0,0,0,H-0-5-5.996347:P2C
70,0,0,0,H-0-5-5.996347:P2C
70.5,0,0,0,H-0-5-5.996347:P2C
71,0,0,0,H-1-13-3.105779:C
71.5,0,0,0,H-1-13-3.105779:C
72,0,0,0,H-3-20-2.032594:C
72.5,0,0,0,H-3-20-2.032594:C
73,0,0,0,H-3-20-2.032594:C
73.5,0,0,0,H-3-20-2.557418:
74,0,0,0,H-3-20-2.557418:
74.5,0,0,0,H-2-13-2.993067:
75,0,0,0,H-2-13-2.993067:
75.5,0,0,0,H-2-13-2.993067:
76,0,0,0,H-1-11-3.516331:
76.5,0,0,0,H-1-11-3.516331:
77,0,0,0,N
77.5,0,0,0,N
78,0,0,0,N
78.5,0,0,0,H-3-9.096744-3.134183:C
79,0,0,0,H-3-9.096744-3.134183:C
79.5,0,0,0,H-1-7.79441-4.780906:P3
80,0,0,0,H-1-7.79441-4.780906:P3
80.5,0,0,0,H-1-7.79441-4.780906:P3
81,0,0,0,H-0-5.197483-2.896902:C
81.5,0,0,0,H-0-5.197483-2.896902:C
82,0,0,0,H-0-17.20363-2.383058:
82.5,0,0,0,H-0-17.20363-2.383058:
83,0,0,0,H-0-17.20363-2.383058:
83.5,0,0,0,H-3-4.197531-5.577165:C
84,0,0,0,H-3-4.197531-5.577165:C
84.5,0,0,0,H-0-15.44388-5.724872:C
85,0,0,0,H-0-15.44388-5.724872:C
85.5,0,0,0,H-0-15.44388-5.724872:C
86,0,0,0,H-0-5.843618-4.186543:
86.5,0,0,0,H-0-5.843618-4.186543:
87,0,0,0,H-0-5.449049-2.426748:
87.5,0,0,0,H-0-5.449049-2.426748:
88,0,0,0,H-0-5.449049-2.426748:
88.5,0,0,0,H-0-4.448784-5.888362:C
89,0,0,0,H-0-4.448784-5.888362:C
89.5,0,0,0,H-0-4.448784-5.888362:C
90,0,0,0,H-1-6.534009-5.243358:
90.5,0,0,0,H-1-6.534009-5.243358:
91,0,0,0,X
91.5,0,0,0,X
92,0,0,0,X
92.5,0,0,0,H-1-10-4.314852:
93,0,0,0,H-1-10-4.314852:
93.5,0,0,0,H-0-5-4.91984:
94,0,0,0,H-0-5-4.91984:
94.5,0,0,0,H-0-5-4.91984:
95,0,0,0,H-1-13-3.319214:B
95.5,0,0,0,H-1-13-3.319214:B
96,0,0,0,H-0-8-4.837539:
96.5,0,0,0,H-0-8-4.837539:
97,0,0,0,H-0-8-4.837539:
97.5,0,0,0,H-2-11-2.555732:
98,0,0,0,H-2-11-2.555732:
98.5,0,0,0,H-0-6-4.806659:
99,0,0,0,H-0-6-4.806659:
99.5,0,0,0,H-0-6-4.806659:
100,0,0,0,H-0-11-3.662962:C
100.5,0,0,0,H-0-11-3.662962:C
101,0,0,0,H-2-14-2.58563:
101.5,0,0,0,H-2-14-2.58563:
102,0,0,0,H-2-14-2.58563:
102.5,0,0,0,H-3-20-4.4231:
103,0,0,0,H-3-20-4.4231:
103.5,0,0,0,H-2-
