Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,P2
8.5,0,0,0,P2
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,P2
13.5,0,0,0,P2
14,0,0,0,C
14.5,0,0,0,C
15,0,0,0,C
15.5,0,0,0,
16,0,0,0,
16.5,0,0,0,H-0-10-5:
17,0,0,0,H-0-10-5:
17.5,0,0,0,H-0-10-5:
18,0,0,0,
18.5,0,0,0,
19,0,0,0,H-1-10-5:
19.5,0,0,0,H-1-10-5:
20,0,0,0,H-1-10-5:
20.5,0,0,0,H-3-5-2:B
21,0,0,0,H-3-5-2:B
21.5,0,0,0,H-3-5-2:B
22,0,0,0,L
22.5,0,0,0,L
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,H-2-9-2.964129:BC
26,0,0,0,H-2-9-2.964129:BC
26.5,0,0,0,H-2-9-2.964129:BC
27,0,0,0,H-1-10-3.570941:P3
27.5,0,0,0,H-1-10-3.570941:P3
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,H-2-10-2.905373:
30,0,0,0,H-2-10-2.905373:
30.5,0,0,0,H-3-20-3.28029:
31,0,0,0,H-3-20-3.28029:
31.5,0,0,0,H-3-20-3.28029:
32,0,0,0,H-0-15-3.664182:
32.5,0,0,0,H-0-15-3.664182:
33,0,0,0,H-1-7-5.837081:B
33.5,0,0,0,H-1-7-5.837081:B
34,0,0,0,H-1-7-5.837081:B
34.5,0,0,0,H-1-10-4.074737:C
35,0,0,0,H-1-10-4.074737:C
35.5,0,0,0,N
36,0,0,0,N
36.5,0,0,0,N
37,0,0,0,H-2-5.750122-2.954194:
37.5,0,0,0,H-2-5.750122-2.954194:
38,0,0,0,H-1-16.73254-2.661981:C
38.5,0,0,0,H-1-16.73254-2.661981:C
39,0,0,0,H-1-16.73254-2.661981:C
39.5,0,0,0,H-1-13.84744-4.941133:
40,0,0,0,H-1-13.84744-4.941133:
40.5,0,0,0,H-1-13.84744-4.941133:
41,0,0,0,H-1-13.84744-4.941133:
41.5,0,0,0,H-1-13.84744-4.941133:
42,0,0,0,H-1-13.84744-4.941133:
42.5,0,0,0,H-1-13.84744-4.941133:
43,0,0,0,H-1-13.84744-4.941133:
43.5,0,0,0,H-1-13.84744-4.941133:
44,0,0,0,H-1-15.45891-4.616448:
44.5,0,0,0,H-1-15.45891-4.616448:
45,0,0,0,H-1-15.45891-4.616448:
45.5,0,0,0,H-0-5.700096-2.941319:P3
46,0,0,0,H-0-5.700096-2.941319:P3
46.5,0,0,0,H-1-11.4291-3.201357:
47,0,0,0,H-1-11.4291-3.201357:
47.5,0,0,0,H-1-11.4291-3.201357:
48,0,0,0,H-3-6.193397-5.364057:
48.5,0,0,0,H-3-6.193397-5.364057:
49,0,0,0,H-2-15.75415-3.363157:C
49.5,0,0,0,H-2-15.75415-3.363157:C
50,0,0,0,H-2-15.75415-3.363157:C
50.5,0,0,0,H-0-4.867651-4.34865:
51,0,0,0,H-0-4.867651-4.34865:
51.5,0,0,0,H-0-4.867651-4.34865:
52,0,0,0,H-3-11.9678-5.868803:C
52.5,0,0,0,
53,0,0,0,X
53.5,0,0,0,X
54,0,0,0,X
54.5,0,0,0,H-3-20-5.721238:
55,0,0,0,H-3-20-5.721238:
55.5,0,0,0,H-2-13-2.753897:
56,0,0,0,H-2-13-2.753897:
56.5,0,0,0,H-2-13-2.753897:
57,0,0,0,H-0-8-3.632442:
57.5,0,0,0,H-0-8-3.632442:
58,0,0,0,H-1-5-4.549016:
58.5,0,0,0,H-1-5-4.549016:
59,0,0,0,H-1-5-4.549016:
59.5,0,0,0,H-0-13-5.061661:P3
60,0,0,0,H-0-13-5.061661:P3
60.5,0,0,0,H-1-10-4.791582:
61,0,0,0,H-1-10-4.791582:
61.5,0,0,0,H-1-10-4.791582:
62,0,0,0,H-3-20-3.527009:
62.5,0,0,0,H-3-20-3.527009:
63,0,0,0,H-1-16-3.847437:C
63.5,0,0,0,H-1-16-3.847437:C
64,0,0,0,H-1-16-3.847437:C
64.5,0,0,0,H-3-20-4.493999:
65,0,0,0,H-3-20-4.493999:
65.5,0,0,0,H-3-20-4.226183:B
66,0,0,0,H-3-20-
