Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,P2
2,0,0,0,P2
2.5,0,0,0,P2
3,0,0,0,P2
3.5,0,0,0,P2
4,0,0,0,P2
4.5,0,0,0,P2
5,0,0,0,P2
5.5,0,0,0,P2
6,0,0,0,P2
6.5,0,0,0,P2
7,0,0,0,P2
7.5,0,0,0,P2
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,
15,0,0,0,
15.5,0,0,0,
16,0,0,0,
16.5,0,0,0,
17,0,0,0,
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,
21,0,0,0,
21.5,0,0,0,
22,0,0,0,
22.5,0,0,0,P2
23,0,0,0,P2
23.5,0,0,0,P2
24,0,0,0,P2
24.5,0,0,0,P2
25,0,0,0,P2
25.5,0,0,0,P2
26,0,0,0,P2
26.5,0,0,0,P2
27,0,0,0,P2
27.5,0,0,0,P2
28,0,0,0,P2
28.5,0,0,0,P2
29,0,0,0,P2
29.5,0,0,0,P2
30,0,0,0,P2
30.5,0,0,0,P2
31,0,0,0,P2
31.5,0,0,0,P2
32,0,0,0,C
32.5,0,0,0,C
33,0,0,0,C
33.5,0,0,0,C
34,0,0,0,C
34.5,0,0,0,C
35,0,0,0,C
35.5,0,0,0,C
36,0,0,0,C
36.5,0,0,0,C
37,0,0,0,C
37.5,0,0,0,C
38,0,0,0,C
38.5,0,0,0,C
39,0,0,0,C
39.5,0,0,0,C
40,0,0,0,C
40.5,0,0,0,C
41,0,0,0,C
41.5,0,0,0,C
42,0,0,0,C
42.5,0,0,0,C
43,0,0,0,C
43.5,0,0,0,C
44,0,0,0,C
44.5,0,0,0,
45,0,0,0,
45.5,0,0,0,
46,0,0,0,
46.5,0,0,0,
47,0,0,0,
47.5,0,0,0,
48,0,0,0,
48.5,0,0,0,
49,0,0,0,
49.5,0,0,0,
50,0,0,0,
50.5,0,0,0,
51,0,0,0,
51.5,0,0,0,
52,0,0,0,
52.5,0,0,0,
53,0,0,0,
53.5,0,0,0,
54,0,0,0,
54.5,0,0,0,
55,0,0,0,
55.5,0,0,0,
56,0,0,0,
56.5,0,0,0,
57,0,0,0,
57.5,0,0,0,
58,0,0,0,
58.5,0,0,0,
59,0,0,0,
59.5,0,0,0,
60,0,0,0,
60.5,0,0,0,H-0-10-5:
61,0,0,0,H-0-10-5:
61.5,0,0,0,H-0-10-5:
62,0,0,0,H-0-10-5:
62.5,0,0,0,H-0-10-5:
63,0,0,0,H-0-10-5:
63.5,0,0,0,H-0-10-5:
64,0,0,0,H-0-10-5:
64.5,0,0,0,H-0-10-5:
65,0,0,0,H-0-10-5:
65.5,0,0,0,
66,0,0,0,
66.5,0,0,0,
67,0,0,0,
67.5,0,0,0,
68,0,0,0,H-1-10-5:
68.5,0,0,0,H-1-10-5:
69,0,0,0,H-1-10-5:
69.5,0,0,0,H-1-10-5:
70,0,0,0,H-1-10-5:
70.5,0,0,0,H-3-5-2:B
71,0,0,0,H-3-5-2:B
71.5,0,0,0,H-3-5-2:B
72,0,0,0,H-3-5-2:B
72.5,0,0,0,H-3-5-2:B
73,
