Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,19,0,0,C
5,48,0,0,C
5.5,67,0,0,C
6,80,0,0,C
6.5,89,0,0,C
7,95,0,0,P3
7.5,99,0,0,P3
8,102,0,0,P3
8.5,103,0,0,
9,103,0,0,
9.5,103,0,0,
10,104,0,0,
10.5,104,0,0,
11,105,0,0,
11.5,106,0,0,
12,107,0,0,
12.5,108,0,0,
13,109,0,0,P3
13.5,110,0,0,P3
14,110,0,0,P3
14.5,110,0,0,C
15,110,0,5,C
15.5,110,0,5,
16,109,0,5,
16.5,108,0,5,
17,108,0,5,H-0-10-5:
17.5,108,0,5,H-0-10-5:
18,108,0,15,H-0-10-5:
18.5,109,0,5,
19,109,0,5,
19.5,109,0,5,
20,108,0,5,H-1-10-5:
20.5,107,0,5,H-1-10-5:
21,106,0,5,H-1-10-5:
21.5,105,0,5,H-3-5-2:B
22,104,0,5,H-3-5-2:B
22.5,104,0,5,H-3-5-2:B
23,104,172,5,L
23.5,105,172,5,L
24,105,172,15,
24.5,105,172,5,
25,104,180,5,
25.5,104,180,5,
26,103,180,5,
26.5,103,180,5,
27,104,181,1,H-0-11-4.070887:C
27.5,104,181,1,H-0-11-4.070887:C
28,104,181,1,H-0-11-4.070887:C
28.5,104,181,1,H-1-13-3.81602:
29,105,171,1,H-1-13-3.81602:
29.5,105,171,1,H-1-13-3.81602:
30,105,171,1,H-1-13-4.782865:P3
30.5,105,171,1,H-1-13-4.782865:P3
31,104,173,1,H-1-13-4.782865:P3
31.5,103,173,1,H-3-20-2.397471:
32,101,173,1,H-3-20-2.397471:
32.5,99,173,1,H-3-20-2.397471:
33,97,154,1,H-3-20-3.113465:B
33.5,95,154,1,H-3-20-3.113465:B
34,93,154,1,H-3-20-3.113465:B
34.5,92,154,1,H-3-20-2.804487:B
35,92,154,1,H-3-20-2.804487:B
35.5,92,154,1,H-3-20-2.804487:B
36,92,154,1,H-2-9-2.991159:P2
36.5,90,154,1,H-2-9-2.991159:P2
37,88,150,5,H-2-9-2.991159:P2
37.5,88,150,15,H-2-9-2.991159:P2
38,90,150,15,H-3-20-5.051544:P2C
38.5,90,150,5,H-3-20-5.051544:P2C
39,89,150,5,H-3-20-5.051544:P2C
39.5,89,150,5,N
40,90,150,5,N
40.5,92,150,5,N
41,93,155,5,N
41.5,93,155,5,H-2-13.1738-2.607755:C
42,93,155,5,H-2-13.1738-2.607755:C
42.5,96,155,5,H-2-13.1738-2.607755:C
43,97,164,5,H-2-17.71607-2.77836:CP3
43.5,97,164,5,H-2-17.71607-2.77836:CP3
44,98,164,15,H-2-17.71607-2.77836:CP3
44.5,98,164,5,H-1-2.023043-2.720922:
45,98,164,5,H-1-2.023043-2.720922:
45.5,97,164,5,H-1-2.023043-2.720922:
46,99,164,5,H-1-12.5971-3.72447:
46.5,102,164,5,H-1-12.5971-3.72447:
47,102,153,15,H-1-12.5971-3.72447:
47.5,101,153,1,H-2-7.908452-3.42122:P2
48,100,153,1,H-2-7.908452-3.42122:P2
48.5,100,138,1,H-2-7.908452-3.42122:P2
49,101,138,1,H-1-8.105115-2.079221:C
49.5,103,138,1,H-1-8.105115-2.079221:C
50,105,138,1,H-1-8.105115-2.079221:C
50.5,106,138,1,H-3-11.83278-5.953898:P1
51,106,137,1,H-3-11.83278-5.953898:P1
51.5,105,137,1,H-3-11.83278-5.953898:P1
52,103,137,1,H-2-10.47774-2.529706:
52.5,101,137,1,H-2-10.47774-2.529706:
53,99,143,1,H-2-10.47774-2.529706:
53.5,96,143,1,H-2-13.90149-2.830466:
54,96,143,1,H-2-13.90149-2.830466:
54.5,96,149,1,H-2-13.90149-2.830466:
55,97,149,1,H-3-5.519995-3.528269:P2
55.5,99,149,1,H-3-5.519995-3.528269:P2
56,100,149,1,H-3-5.519995-3.528269:P2
56.5,102,146,1,X
57,103,146,1,X
57.5,103,146,5,X
58,104,146,5,H-0-12-5.8399:
58.5,104,150,5,H-0-12-5.8399:
59,103,150,15,H-0-12-5.8399:
59.5,102,150,15,H-1-10-5.447251:
60,100,150,5,H-1-10-5.447251:
60.5,99,150,15,H-1-10-5.447251:
61,98,150,15,H-2-7-3.161355:
61.5,100,150,5,H-2-7-3.161355:
62,99,150,5,H-2-7-3.161355:
62.5,98,150,5,H-0-10-4.036629:
63,100,150,5,H-0-10-4.036629:
63.5,101,150,5,H-0-10-4.036629:
64,102,150,5,H-3-20-2.789317:
64.5,103,150,5,H-3-20-2.789317:
65,103,150,5,H-3-20-2.789317:
65.5,103,150,5,H-1-10-2.770059:B
66,104,150,5,H-1-10-2.770059:B
66.5,104,150,5,H-1-10-2.770059:B
67,104,150,5,H-2-14-2.865066:B
67.5,103,150,5,H-2-14-2.865066:B
68,102,150,5,H-2-14-2.865066:B
68.5,101,150,5,H-2-8-3.34396:
69,99,150,5,H-2-8-3.34396:
69.5,100,150,5,H-2-8-3.34396:
70,102,150,5,C
70.5,104,139,5,C
71,105,139,5,C
71.5,105,139,5,H-0-15-3.603726:B
72,105,139,5,H-0-15-3.603726:B
72.5,105,135,5,H-0-15-3.603726:B
73,106,135,5,N
73.5,107,135,5,N
74,107,135,5,N
74.5,106,134,5,H-0-9.908456-3.133417:
75,106,134,5,H-0-9.908456-3.133417:
75.5,105,134,5,H-2-17.85591-2.644738:C
76,104,134,5,H-2-17.85591-2.644738:C
76.5,104,134,15,H-2-17.85591-2.644738:C
77,105,132,1,H-0-9.800105-3.522544:C
77.5,105,132,1,H-0-9.800105-3.522544:C
78,106,132,1,H-0-9.800105-3.522544:C
78.5,106,132,1,H-1-12.23636-2.750442:
79,107,132,1,H-1-12.23636-2.750442:
79.5,107,132,1,H-1-12.23636-2.750442:
80,108,132,1,H-3-11.19727-3.496846:P1
80.5,110,132,1,H-3-11.19727-3.496846:P1
81,113,128,1,H-3-11.19727-3.496846:P1
81.5,115,128,1,H-0-8.425321-4.557626:
82,115,128,1,H-0-8.425321-4.557626:
82.5,114,140,1,H-1-9.65784-5.049272:C
83,112,140,1,H-1-9.65784-5.049272:C
83.5,110,140,1,H-1-9.65784-5.049272:C
84,107,140,1,H-2-14.54346-2.948457:
84.5,105,162,1,H-2-14.54346-2.948457:
85,104,162,1,H-2-14.54346-2.948457:
85.5,103,162,1,H-0-6.374932-2.317932:C
86,104,162,1,H-0-6.374932-2.317932:C
86.5,106,162,1,H-0-6.374932-2.317932:C
87,109,162,5,H-3-14.63123-3.09707:
87.5,110,162,15,H-3-14.63123-3.09707:
88,110,162,15,H-3-14.63123-3.09707:
88.5,108,152,15,X
89,106,152,5,X
89.5,105,152,5,X
90,106,152,5,H-3-20-4.339816:
90.5,107,149,5,H-3-20-4.339816:
91,108,149,15,H-3-20-5.603506:C
91.5,108,149,5,H-3-20-5.603506:C
92,107,149,15,H-3-20-5.603506:C
92.5,107,155,5,
93,108,155,5,
93.5,108,155,15,
94,107,155,15,H-0-8-5.567052:
94.5,105,160,5,H-0-8-5.567052:
95,104,160,15,H-0-8-5.567052:
95.5,104,160,5,H-0-15-2.668753:
96,103,160,5,H-0-15-2.668753:
96.5,102,160,5,H-0-15-2.668753:
97,103,160,1,H-2-13-2.779205:
97.5,105,160,1,H-2-13-2.779205:
98,106,160,1,H-2-13-2.779205:
98.5,108,171,1,H-3-20-4.092065:P3
99,110,171,1,H-3-20-4.092065:P3
99.5,111,171,1,H-3-20-4.092065:P3
100,111,171,1,H-1-9-5.527113:P1
100.5,112,163,1,H-1-9-5.527113:P1
101,112,163,1,H-0-6-4.627551:C
101.5,112,163,1,H-0-6-4.627551:C
