Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,P1
3,0,0,0,P1
3.5,0,0,0,P1
4,0,0,0,P1
4.5,0,0,0,
5,0,0,0,
5.5,0,0,0,
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,P1
9,0,0,0,P1
9.5,0,0,0,C
10,0,0,0,C
10.5,0,0,0,C
11,0,0,0,
11.5,0,0,0,
12,0,0,0,H-0-10-5:
12.5,0,0,0,H-0-10-5:
13,0,0,0,H-0-10-5:
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,H-1-10-5:
15,0,0,0,H-1-10-5:
15.5,0,0,0,H-1-10-5:
16,0,0,0,H-3-5-2:B
16.5,0,0,0,H-3-5-2:B
17,0,0,0,L
17.5,0,0,0,L
18,0,0,0,L
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,
21,0,0,0,H-1-6-4.787852:
21.5,0,0,0,H-1-6-4.787852:
22,0,0,0,H-3-20-3.698339:P1C
22.5,0,0,0,H-3-20-3.698339:P1C
23,0,0,0,H-3-20-3.698339:P1C
23.5,0,0,0,H-1-12-4.401176:BC
24,0,0,0,H-1-12-4.401176:BC
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,H-3-20-3.576945:C
26.5,0,0,0,H-3-20-3.576945:C
27,0,0,0,H-0-13-2.799397:
27.5,0,0,0,H-0-13-2.799397:
28,0,0,0,H-0-13-2.799397:
28.5,0,0,0,H-0-11-5.029537:
29,0,0,0,H-0-11-5.029537:
29.5,0,0,0,H-3-20-5.649042:P3
30,0,0,0,H-3-20-5.649042:P3
30.5,0,0,0,H-3-20-5.649042:P3
31,0,0,0,N
31.5,0,0,0,N
32,0,0,0,H-1-12.26369-3.517715:
32.5,0,0,0,H-1-12.26369-3.517715:
33,0,0,0,H-1-12.26369-3.517715:
33.5,0,0,0,H-0-4.077667-2.013007:CP2
34,0,0,0,H-0-4.077667-2.013007:CP2
34.5,0,0,0,H-0-4.077667-2.013007:CP2
35,0,0,0,H-2-9.432698-3.450948:
35.5,0,0,0,H-2-9.432698-3.450948:
36,0,0,0,H-0-16.45658-5.566467:
36.5,0,0,0,H-0-16.45658-5.566467:
37,0,0,0,H-0-16.45658-5.566467:
37.5,0,0,0,H-1-16.15199-2.336904:
38,0,0,0,H-1-16.15199-2.336904:
38.5,0,0,0,H-0-15.22127-2.290998:C
39,0,0,0,H-0-15.22127-2.290998:C
39.5,0,0,0,H-0-15.22127-2.290998:C
40,0,0,0,H-1-8.79642-5.976549:
40.5,0,0,0,H-1-8.79642-5.976549:
41,0,0,0,H-3-7.113248-3.980316:
41.5,0,0,0,H-3-7.113248-3.980316:
42,0,0,0,H-3-7.113248-3.980316:
42.5,0,0,0,H-2-4.148836-3.21919:P2
43,0,0,0,H-2-4.148836-3.21919:P2
43.5,0,0,0,H-2-8.093692-3.487926:CP2
44,0,0,0,H-2-8.093692-3.487926:CP2
44.5,0,0,0,H-2-8.093692-3.487926:CP2
45,0,0,0,X
45.5,0,0,0,X
46,0,0,0,H-2-7-3.305179:
46.5,0,0,0,H-2-7-3.305179:
47,0,0,0,H-2-7-3.305179:
47.5,0,0,0,H-3-20-3.868808:
48,0,0,0,H-3-20-3.868808:
48.5,0,0,0,H-1-12-2.314889:P1C
49,0,0,0,H-1-12-2.314889:P1C
49.5,0,0,0,H-1-12-2.314889:P1C
50,0,0,0,H-2-13-2.504877:
50.5,0,0,0,H-2-13-2.504877:
51,0,0,0,H-3-20-4.629595:C
51.5,0,0,0,H-3-20-4.629595:C
52,0,0,0,H-3-20-4.629595:C
52.5,0,0,0,H-3-20-3.413708:
53,0,0,0,H-3-20-3.413708:
53.5,0,0,0,H-2-12-2.982542:
54,0,0,0,H-2-12-2.982542:
54.5,0,0,0,H-2-12-2.982542:
55,0,0,0,H-3-20-5.701089:BC
55.5,0,0,0,H-3-20-5.701089:BC
56,0,0,0,H-3-20-2.447158:C
56.5,0,0,0,H-3-20-2.447158:C
57,0,0,0,H-3-20-2.447158:C
57.5,0,0,0,H-3-20-5.924511:C
58,0,0,0,H-3-20-5.924511:C
58.5,0,0,0,H-3-20-5.924511:C
59,0,0,0,N
59.5,0,0,0,N
60,0,0,0,H-0-4.536366-5.667802:CP3
60.5,0,0,0,H-0-4.536366-5.667802:CP3
61,0,0,0,H-0-4.536366-5.667802:CP3
61.5,0,0,0,H-3-6.477073-5.919454:P1
62,0,0,0,H-3-6.477073-5.919454:P1
62.5,0,0,
