Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,0,0,0,C
9,0,0,0,C
9.5,0,0,0,C
10,0,0,0,C
10.5,0,0,0,C
11,0,0,0,C
11.5,0,0,0,C
12,0,0,0,C
12.5,0,0,0,C
13,0,0,0,C
13.5,0,0,0,C
14,0,0,0,C
14.5,0,0,0,C
15,0,0,0,C
15.5,0,0,0,C
16,0,0,0,C
16.5,0,0,0,C
17,0,0,0,C
17.5,0,0,0,C
18,0,0,0,C
18.5,0,0,0,C
19,0,0,0,C
19.5,0,0,0,C
20,0,0,0,C
20.5,0,0,0,C
21,0,0,0,C
21.5,0,0,0,C
22,0,0,0,C
22.5,0,0,0,C
23,0,0,0,C
23.5,0,0,0,C
24,0,0,0,C
24.5,0,0,0,C
25,0,0,0,C
25.5,0,0,0,C
26,0,0,0,C
26.5,0,0,0,C
27,0,0,0,C
27.5,0,0,0,C
28,0,0,0,C
28.5,0,0,0,C
29,0,0,0,C
29.5,0,0,0,C
30,0,0,0,C
30.5,0,0,0,C
31,0,0,0,C
31.5,0,0,0,C
32,0,0,0,C
32.5,0,0,0,C
33,0,0,0,C
33.5,0,0,0,C
34,0,0,0,C
34.5,0,0,0,C
35,0,0,0,C
35.5,0,0,0,C
36,0,0,0,C
36.5,0,0,0,C
37,0,0,0,C
37.5,0,0,0,C
38,0,0,0,C
38.5,0,0,0,C
39,0,0,0,C
39.5,0,0,0,C
40,0,0,0,C
40.5,0,0,0,C
41,0,0,0,C
41.5,0,0,0,C
42,0,0,0,C
42.5,0,0,0,C
43,0,0,0,C
43.5,0,0,0,C
44,0,0,0,C
44.5,0,0,0,C
45,0,0,0,C
45.5,0,0,0,C
46,0,0,0,C
46.5,0,0,0,C
47,0,0,0,C
47.5,0,0,0,C
48,0,0,0,C
48.5,0,0,0,C
49,0,0,0,C
49.5,0,0,0,C
50,0,0,0,C
50.5,0,0,0,C
51,0,0,0,C
51.5,0,0,0,C
52,0,0,0,C
52.5,0,0,0,C
53,0,0,0,C
53.5,0,0,0,C
54,0,0,0,C
54.5,0,0,0,C
55,0,0,0,C
55.5,0,0,0,C
56,0,0,0,C
56.5,0,0,0,C
57,0,0,0,C
57.5,0,0,0,C
58,0,0,0,C
58.5,0,0,0,C
59,0,0,0,C
59.5,0,0,0,C
60,0,0,0,C
60.5,0,0,0,C
61,0,0,0,C
61.5,0,0,0,C
62,0,0,0,C
62.5,0,0,0,C
63,0,0,0,C
63.5,0,0,0,C
64,0,0,0,C
64.5,0,0,0,C
65,0,0,0,C
65.5,0,0,0,C
66,0,0,0,C
66.5,0,0,0,C
67,0,0,0,C
67.5,0,0,0,C
68,0,0,0,C
68.5,0,0,0,C
69,0,0,0,C
69.5,0,0,0,C
70,0,0,0,C
70.5,0,0,0,C
71,0,0,0,C
71.5,0,0,0,C
72,0,0,0,C
72.5,0,0,0,C
73,0,0,0,C
73.5,0,0,0,C
74,0,0,0,C
74.5,0,0,0,C
75,0,0,0,C
75.5,0,0,0,C
76,0,0,0,C
76.5,0,0,0,C
77,0,0,0,C
77.5,0,0,0,C