Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,0,0,0,C
9,0,0,0,C
9.5,0,0,0,C
10,0,0,0,C
10.5,0,0,0,C
11,0,0,0,C
11.5,0,0,0,C
12,0,0,0,C
12.5,0,0,0,C
13,0,0,0,C
13.5,0,0,0,C
14,0,0,0,C
14.5,0,0,0,C
15,0,0,0,P3
15.5,0,0,0,P3
16,0,0,0,P3
16.5,0,0,0,P3
17,0,0,0,P3
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,
21,0,0,0,
21.5,0,0,0,P3
22,0,0,0,P3
22.5,0,0,0,C
23,0,0,0,C
23.5,0,0,0,C
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,H-0-10-5:
26,0,0,0,H-0-10-5:
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,
28,0,0,0,H-1-10-5:
28.5,0,0,0,H-1-10-5:
29,0,0,0,H-3-5-2:B
29.5,0,0,0,H-3-5-2:B
30,0,0,0,H-3-5-2:B
30.5,0,0,0,L
31,0,0,0,L
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,
33,0,0,0,
33.5,0,0,0,
34,0,0,0,H-1-11-3.022235:C
34.5,0,0,0,H-1-11-3.022235:C
35,0,0,0,H-1-11-3.022235:C
35.5,0,0,0,H-3-20-2.194071:BC
36,0,0,0,H-3-20-2.194071:BC
36.5,0,0,0,H-2-11-2.772892:B
37,0,0,0,H-2-11-2.772892:B
37.5,0,0,0,H-2-11-2.772892:B
38,0,0,0,C
38.5,0,0,0,C
39,0,0,0,C
39.5,0,0,0,C
40,0,0,0,H-2-14-2.805978:
40.5,0,0,0,H-2-14-2.805978:
41,0,0,0,H-2-14-2.805978:
41.5,0,0,0,H-2-14-2.805978:
42,0,0,0,H-2-14-2.805978:
42.5,0,0,0,H-0-11-3.961252:
43,0,0,0,H-0-11-3.961252:
43.5,0,0,0,H-0-11-3.961252:
44,0,0,0,H-0-11-3.961252:
44.5,0,0,0,H-0-11-3.961252:
45,0,0,0,H-0-11-3.961252:
45.5,0,0,0,H-0-11-3.961252:
46,0,0,0,H-0-11-3.961252:
46.5,0,0,0,H-0-11-3.961252:
47,0,0,0,H-0-11-3.961252:
47.5,0,0,0,H-0-11-3.961252:
48,0,0,0,H-0-11-3.961252:
48.5,0,0,0,H-0-11-3.961252:
49,0,0,0,H-0-11-3.961252:
49.5,0,0,0,H-0-11-3.961252:
50,0,0,0,H-0-11-3.961252:
50.5,0,0,0,H-0-11-3.961252:
51,0,0,0,H-0-11-3.961252:
51.5,0,0,0,H-0-11-3.961252:
52,0,0,0,H-0-11-3.961252:
52.5,0,0,0,H-2-11-2.543134:
53,0,0,0,H-0-11-3.961252:
53.5,0,0,0,H-0-11-3.961252:
54,0,0,0,H-0-11-3.961252:
54.5,0,0,0,H-2-11-2.543134:
55,0,0,0,H-2-11-2.543134:
55.5,0,0,0,H-2-10-3.403786:
56,0,0,0,H-2-10-3.403786:
56.5,0,0,0,H-2-10-3.403786:
57,0,0,0,N
57.5,0,0,0,N
58,0,0,0,
58.5,0,0,0,
59,0,0,0,
59.5,0,0,0,
60,0,0,0,
60.5,0,0,0,
61,0,0,0,
61.5,0,0,0,
62,0,0,0,
62.5,0,0,0,
63,0,0,0,
63.5,0,0,0,
64,0,0,0,
64.5,0,0,0,H-2-6.360406-3.284062:
65,0,0,0,H-2-6.360406-3.284062:
65.5,0,0,0,
66,0,0,0,
66.5,0,0,0,
67,0,0,0,
67.5,0,0,0,
68,0,0,0,
68.5,0,0,0,
69,0,0,0,
69.5,0,0,0,
70,0,0,0,
70.5,0,0,0,
71,0,0,0,X
71.5,0,0,0,X
72,0,0,0,H-2-14-3.023942:
72.5,0,0,0,H-2-14-3.023942:
73,0,0,0,H-2-14-3.023942:
73.5,0,0,0,H-3-20-4.775671:
74,0,0,0,H-3-20-4.775671:
74.5,0,0,0,H-2-7-2.838299:BC
75,0,0,0,H-2-7-2.838299:BC
75.5,0,0,0,H-2-7-2.838299:BC
76,0,0,0,H-0-15-3.24642:C
76.5,0,0,0,H-0-15-3.24642:C
77,0,0,0,H-0-11-3.353621:
77.5,0,0,0,H-0-11-3.353621:
78,0,0,0,H-0-11-3.353621:
78.5,0,0,0,H-2-13-2.89918:C
79,0,0,0,H-2-13-2.89918:C
79.5,0,0,0,H-0-12-4.872676:
80,0,0,0,H-0-12-4.872676:
80.5,0,0,0,H-0-12-4.872676:
81,0,0,0,H-0-12-4.872676:
81.5,0,0,0,H-1-9-5.791217:
82,0,0,0,H-1-9-5.791217:
82.5,0,0,0,H-1-9-5.791217:
83,0,0,0,H-1-9-5.791217:
83.5,0,0,0,H-1-9-5.791217:
84,0,0,0,H-1-9-5.791217:
84.5,0,0,0,H-1-9-5.791217:
85,0,0,0,H-1-9-5.791217:
85.5,0,0,0,H-1-9-5.791217:
86,0,0,0,H-1-9-5.791217:
86.5,0,0,0,H-1-9-5.791217:
87,0,0,0,H-1-9-5.791217:
87.5,0,0,0,H-1-9-5.791217:
88,0,0,0,H-1-9-5.791217:
88.5,0,0,0,H-1-9-5.791217:
89,0,0,0,H-1-9-5.791217:
89.5,0,0,0,H-1-9-5.791217:
90,0,0,0,H-1-9-5.791217:
90.5,0,0,0,H-0-8-2.32379:B
91,0,0,0,H-0-8-2.32379:B
91.5,0,0,0,H-0-8-2.32379:B
92,0,0,0,H-0-8-2.32379:B
92.5,0,0,0,H-0-8-2.32379:B
93,0,0,0,H-0-8-2.32379:B
93.5,0,0,0,H-0-8-2.32379:B
94,0,0,0,H-0-8-2.32379:B
94.5,0,0,0,H-0-8-2.32379:B
95,0,0,0,H-0-8-2.32379:B
95.5,0,0,0,
96,0,0,0,
96.5,0,0,0,
97,0,0,0,
97.5,0,0,0,
98,0,0,0,
98.5,0,0,0,
99,0,0,0,
99.5,0,0,0,
100,0,0,0,
100.5,0,0,0,
101,0,0,0,
101.5,0,0,0,
102,0,0,0,
102.5,0,0,0,
103,0,0,0,
103.5,0,0,0,
104,0,0,0,
104.5,0,0,0,
105,0,0,0,
105.5,0,0,0,
106,0,0,0,
106.5,0,0,0,
107,0,0,0,
107.5,0,0,0,
108,0,0,0,N
108.5,0,0,0,N
109,0,0,0,N
109.5,0,0,0,N
110,0,0,0,N
110.5,0,0,0,N
111,0,0,0,N
111.5,0,0,0,N
112,0,0,0,N
112.5,0,0,0,N
113,0,0,0,N
113.5,0,0,0,N
114,0,0,0,N
114.5,0,0,0,N
115,0,0,0,N
115.5,0,0,0,N
116,0,0,0,N
116.5,0,0,0,N
117,0,0,0,H-3-17.45312-5.423329:
117.5,0,0,0,H-3-17.45312-5.423329:
118,0,0,0,H-3-17.45312-5.423329:
118.5,0,0,0,H-3-17.45312-5.423329:
119,0,0,0,H-3-17.45312-5.423329:
119.5,0,0,0,H-2-4.277063-3.051257:
120,0,0,0,H-2-4.277063-3.051257:
120.5,0,0,0,H-2-4.277063-3.051257:
121,0,0,0,H-2-4.277063-3.051257:
121.5,0,0,0,H-2-4.277063-3.051257:
122,0,0,0,H-2-4.277063-3.051257:
122.5,0,0,0,H-2-4.277063-3.051257:
123,0,0,0,H-2-4.277063-3.051257:
123.5,0,0,0,H-2-4.277063-3.051257:
124,0,0,0,H-2-4.277063-3.051257:
124.5,0,0,0,H-3-17.45312-5.423329:
