Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,P2
7,0,0,0,P2
7.5,0,0,0,P2
8,0,0,0,P2
8.5,0,0,0,P2
9,0,0,0,P2
9.5,0,0,0,P2
10,0,0,0,P2
10.5,0,0,0,P2
11,0,0,0,P2
11.5,0,0,0,P2
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,
15,0,0,0,
15.5,0,0,0,
16,0,0,0,
16.5,0,0,0,
17,0,0,0,
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,
21,0,0,0,
21.5,0,0,0,
22,0,0,0,
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,
33,0,0,0,
33.5,0,0,0,
34,0,0,0,
34.5,0,0,0,
35,0,0,0,
35.5,0,0,0,
36,0,0,0,
36.5,0,0,0,
37,0,0,0,
37.5,0,0,0,
38,0,0,0,
38.5,0,0,0,
39,0,0,0,
39.5,0,0,0,
40,0,0,0,
40.5,0,0,0,
41,0,0,0,P2
41.5,0,0,0,P2
42,0,0,0,P2
42.5,0,0,0,P2
43,0,0,0,P2
43.5,0,0,0,P2
44,0,0,0,P2
44.5,0,0,0,P2
45,0,0,0,P2
45.5,0,0,0,P2
46,0,0,0,P2
46.5,0,0,0,P2
47,0,0,0,P2
47.5,0,0,0,P2
48,0,0,0,P2
48.5,0,0,0,P2
49,0,0,0,P2
49.5,0,0,0,P2
50,0,0,0,P2
50.5,0,0,0,P2
51,0,0,0,P2
51.5,0,0,0,P2
52,0,0,0,P2
52.5,0,0,0,P2
53,0,0,0,P2
53.5,0,0,0,P2
54,0,0,0,P2
54.5,0,0,0,P2
55,0,0,0,P2
55.5,0,0,0,P2
56,0,0,0,P2
56.5,0,0,0,P2
57,0,0,0,P2
57.5,0,0,0,P2
58,0,0,0,P2
58.5,0,0,0,P2
59,0,0,0,P2
59.5,0,0,0,P2
60,0,0,0,P2
60.5,0,0,0,P2
61,0,0,0,P2
61.5,0,0,0,P2
62,0,0,0,P2
62.5,0,0,0,P2
63,0,0,0,P2
63.5,0,0,0,P2
64,0,0,0,P2
64.5,0,0,0,P2
65,0,0,0,P2
65.5,0,0,0,P2
66,0,0,0,P2
66.5,0,0,0,P2
67,0,0,0,P2
67.5,0,0,0,P2
68,0,0,0,P2
68.5,0,0,0,P2
69,0,0,0,P2
69.5,0,0,0,P2
70,0,0,0,P2
70.5,0,0,0,P2
71,0,0,0,P2
71.5,0,0,0,P2
72,0,0,0,P2
72.5,0,0,0,P2
73,0,0,0,P2
73.5,0,0,0,P2
74,0,0,0,P2
74.5,0,0,0,C
75,0,0,0,C
75.5,0,0,0,C
76,0,0,0,C
76.5,0,0,0,C
77,0,0,0,C
77.5,0,0,0,C
78,0,0,0,C
78.5,0,0,0,C
79,0,0,0,C
79.5,0,0,0,C
80,0,0,0,C
80.5,0,0,0,C
81,0,0,0,C
81.5,0,0,0,C
82,0,0,0,C
82.5,0,0,0,C
83,0,0,0,C
83.5,0,0,0,C
84,0,0,0,C
84.5,0,0,0,C
85,0,0,0,C
85.5,0,0,0,C
86,0,0,0,C
86.5,0,0,0,C
87,0,0,0,C
87.5,0,0,0,C
88,0,0,0,C
88.5,0,0,0,C
89,0,0,0,C
89.5,0,0,0,C
90,0,0,0,C
90.5,0,0,0,C
91,0,0,0,C
91.5,0,0,0,C
92,0,0,0,C
92.5,0,0,0,C
93,0,0,0,C
93.5,0,0,0,C
94,0,0,0,C
94.5,0,0,0,C
95,0,0,0,C
95.5,0,0,0,C
96,0,0,0,C
96.5,0,0,0,C
97,0,0,0,C
97.5,0,0,0,
98,0,0,0,
98.5,0,0,0,
99,0,0,0,
99.5,0,0,0,
100,0,0,0,H-0-10-5:
100.5,0,0,0,H-0-10-5:
101,0,0,0,H-0-10-5:
101.5,0,0,0,H-0-10-5:
102,0,0,0,H-0-10-5:
102.5,0,0,0,H-0-10-5:
103,0,0,0,
103.5,0,0,0,
104,0,0,0,
104.5,0,0,0,
105,0,0,0,
105.5,0,0,0,H-1-10-5:
106,0,0,0,H-1-10-5:
106.5,0,0,0,H-1-10-5:
107,0,0,0,H-1-10-5:
107.5,0,0,0,H-1-10-5:
108,0,0,0,H-1-10-5:
108.5,0,0,0,H-1-10-5:
109,0,0,0,H-1-10-5:
109.5,0,0,0,H-1-10-5:
110,0,0,0,H-1-10-5:
110.5,0,0,0,H-1-10-5:
111,0,0,0,H-1-10-5:
111.5,0,0,0,H-1-10-5:
112,0,0,0,H-3-5-2:B
112.5,0,0,0,H-3-5-2:B
113,0,0,0,H-3-5-2:B
113.5,0,0,0,H-3-5-2:B
114,0,0,0,H-3-5-2:B
114.5,0,0,0,H-3-5-2:B
115,0,0,0,H-3-5-2:B
115.5,0,0,0,H-3-5-2:B
116,0,0,0,H-3-5-2:B
116.5,0,0,0,H-3-5-2:B
117,0,0,0,H-3-5-2:B
117.5,0,0,0,H-3-5-2:B
118,0,0,0,H-3-5-2:B
118.5,0,0,0,H-3-5-2:B
119,0,0,0,H-3-5-2:B
119.5,0,0,0,H-3-5-2:B
120,0,0,0,H-3-5-2:B
120.5,0,0,0,H-3-5-2:B
121,0,0,0,H-3-5-2:B
121.5,0,0,0,H-3-5-2:B
122,0,0,0,H-3-5-2:B
122.5,0,0,0,H-3-5-2:B
123,0,0,0,H-3-5-2:B
123.5,0,0,0,H-3-5-2:B
124,0,0,0,H-3-5-2:B
124.5,0,0,0,H-3-5-2:B
125,0,0,0,H-3-5-2:B
125.5,0,0,0,H-3-5-2:B
126,0,0,0,H-3-5-2:B
126.5,0,0,0,H-3-5-2:B
127,0,0,0,H-3-5-2:B
127.5,0,0,0,H-3-5-2:B
128,0,0,0,H-3-5-2:B
128.5,0,0,0,H-3-5-2:B
129,0,0,0,H-3-5-2:B
129.5,0,0,0,H-3-5-2:B
130,0,0,0,H-3-5-2:B
130.5,0,0,0,H-3-5-2:B
131,0,0,0,H-3-5-2:B
131.5,0,0,0,H-3-5-2:B
132,0,0,0,H-3-5-2:B
132.5,0,0,0,H-3-5-2:B
133,0,0,0,H-3-5-2:B
133.5,0,0,0,H-3-5-2:B
134,0,0,0,H-3-5-2:B
134.5,0,0,0,H-3-5-2:B
135,0,0,0,H-3-5-2:B
135.5,0,0,0,H-3-5-2:B
136,0,0,0,H-3-5-2:B
136.5,0,0,0,H-3-5-2:B
137,0,0,0,H-3-5-2:B
137.5,0,0,0,H-3-5-2:B
138,0,0,0,H-3-5-2:B
138.5,0,0,0,H-3-5-2:B
139,0,0,0,H-3-5-2:B
139.5,0,0,0,H-3-5-2:B
140,0,0,0,H-3-5-2:B
140.5,0,0,0,H-3-5-2:B
141,0,0,0,H-3-5-2:B
141.5,0,0,0,H-3-5-2:B
142,0,0,0,H-3-5-2:B
142.5,0,0,0,H-3-5-2:B
143,0,0,0,H-3-5-2:B
143.5,0,0,0,H-3-5-2:B
144,0,0,0,H-3-5-2:B
144.5,0,0,0,H-3-5-2:B
145,0,0,0,H-3-5-2:B
