Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,0,0,0,C
9,0,0,0,C
9.5,5,0,0,P2
10,19,0,0,P2
10.5,23,0,0,P2
11,21,0,0,P2
11.5,23,0,0,P2
12,26,0,0,P2
12.5,25,0,0,P2
13,23,0,0,P2
13.5,19,0,0,P2
14,11,0,0,P2
14.5,6,0,0,P2
15,3,0,0,P2
15.5,2,0,0,P2
16,1,0,0,P2
16.5,18,0,0,P2
17,28,0,0,P2
17.5,33,0,0,P2
18,36,0,0,P2
18.5,37,0,0,
19,39,0,0,
19.5,42,0,0,
20,45,0,0,
20.5,47,0,0,
21,46,0,0,
21.5,45,0,0,
22,45,0,0,
22.5,46,0,0,
23,46,70,0,
23.5,47,70,0,
24,47,70,0,
24.5,47,70,0,
25,47,70,0,
25.5,46,70,0,
26,44,70,0,
26.5,44,70,0,
27,44,69,0,
27.5,44,69,0,
28,44,69,0,
28.5,46,69,0,P2
29,47,69,0,P2
29.5,48,69,0,P2
30,48,69,0,P2
30.5,50,69,0,P2
31,53,69,0,P2
31.5,54,69,0,P2
32,56,69,0,C
32.5,57,69,0,C
33,58,69,0,C
33.5,58,69,0,C
34,59,69,0,C
34.5,59,69,0,
35,59,70,0,
35.5,59,70,0,
36,58,70,0,
36.5,58,70,0,
37,57,70,0,H-0-10-5:
37.5,58,70,0,H-0-10-5:
38,58,70,0,H-0-10-5:
38.5,57,70,0,H-0-10-5:
39,56,71,0,H-0-10-5:
39.5,56,71,0,
40,56,71,0,
40.5,55,71,0,
41,55,72,0,
41.5,54,72,0,
42,53,72,0,
42.5,52,72,0,H-1-10-5:
43,52,0,0,H-1-10-5:
43.5,50,0,0,H-1-10-5:
44,48,0,5,H-1-10-5:
44.5,47,0,5,H-1-10-5:
45,46,0,5,H-1-10-5:
45.5,45,0,5,H-3-5-2:B
46,45,0,5,H-3-5-2:B
46.5,45,0,5,H-3-5-2:B
47,45,0,5,H-3-5-2:B
47.5,45,0,5,H-3-5-2:B
48,45,0,5,H-3-5-2:B
48.5,44,0,5,H-3-5-2:B
49,44,0,5,L
49.5,44,0,5,L
50,45,0,5,L
50.5,47,0,15,L
51,48,0,5,L
51.5,49,0,5,L
52,48,0,5,L
52.5,48,0,5,
53,47,0,5,
53.5,47,0,5,
54,47,0,5,
54.5,48,0,15,
55,49,0,5,
55.5,49,0,5,
56,48,0,5,
56.5,48,0,5,
57,48,0,5,
57.5,48,0,5,
58,49,0,5,
58.5,49,0,5,H-3-20-5.048474:
59,49,72,5,H-3-20-5.048474:
59.5,49,72,5,H-3-20-5.048474:
60,48,72,5,H-3-20-5.048474:
60.5,49,72,5,H-3-20-5.048474:
61,50,72,5,H-3-20-5.048474:
61.5,52,72,5,H-2-10-3.378312:
62,53,72,5,H-2-10-3.378312:
62.5,54,72,5,H-2-10-3.378312:
63,54,73,5,H-2-10-3.378312:
63.5,54,73,5,H-2-10-3.378312:
64,55,73,5,H-2-10-3.378312:
64.5,55,73,5,H-0-11-4.421028:
65,56,76,5,H-0-11-4.421028:
65.5,57,76,5,H-0-11-4.421028:
66,57,76,5,H-0-11-4.421028:
66.5,57,76,5,H-0-11-4.421028:
67,56,78,5,H-0-11-4.421028:
67.5,55,78,5,H-2-10-2.723078:
68,55,78,5,H-2-10-2.723078:
68.5,55,78,5,H-2-10-2.723078:
69,55,78,5,H-2-10-2.723078:
69.5,55,78,5,H-2-10-2.723078:
70,55,78,5,H-2-13-2.930456:P2
70.5,55,78,5,H-2-13-2.930456:P2
71,54,79,5,H-2-13-2.930456:P2
71.5,54,79,5,H-2-13-2.930456:P2
72,54,79,5,H-2-13-2.930456:P2
72.5,54,79,5,H-2-13-2.930456:P2
73,54,81,5,H-0-13-2.85819:
73.5,53,81,5,H-0-13-2.85819:
74,52,81,5,H-0-13-2.85819:
74.5,52,81,5,H-0-13-2.85819:
75,52,82,5,H-0-13-2.85819:
75.5,53,82,5,H-0-10-4.465407:
76,54,82,5,H-0-10-4.465407:
76.5,55,82,5,H-0-10-4.465407:
77,56,82,5,H-0-10-4.465407:
77.5,56,82,5,H-0-10-4.465407:
78,57,82,5,H-0-10-4.465407:
78.5,58,82,5,H-3-20-5.135883:
79,59,81,5,H-3-20-5.135883:
79.5,59,81,5,H-3-20-5.135883:
80,59,81,5,H-3-20-5.135883:
80.5,60,81,5,H-3-20-5.135883:
81,60,81,5,N
81.5,61,81,5,N
82,61,81,5,N
82.5,61,81,5,N
83,61,81,5,N
83.5,61,81,5,
84,61,81,5,
84.5,60,81,5,
85,60,81,5,
85.5,61,81,5,
86,61,81,5,
86.5,62,81,5,
87,62,81,5,
87.5,61,81,5,
88,61,81,5,
88.5,60,81,5,H-0-9.992326-4.581765:
89,60,81,5,H-0-9.992326-4.581765:
89.5,59,81,5,H-0-9.992326-4.581765:
90,58,81,5,H-0-9.992326-4.581765:
90.5,58,81,5,H-0-9.992326-4.581765:
91,58,81,5,H-3-16.33728-5.111251:
91.5,58,81,5,H-3-16.33728-5.111251:
92,58,81,5,H-3-16.33728-5.111251:
92.5,57,81,5,H-3-16.33728-5.111251:
93,56,81,5,H-3-16.33728-5.111251:
93.5,54,81,5,H-3-16.33728-5.111251:
94,53,81,5,H-3-8.119975-5.526493:
94.5,52,81,5,H-3-8.119975-5.526493:
95,52,81,5,H-3-8.119975-5.526493:
95.5,52,81,5,H-3-8.119975-5.526493:
96,52,81,5,H-3-8.119975-5.526493:
96.5,52,81,5,H-3-8.119975-5.526493:
97,51,82,5,
97.5,50,82,5,
98,50,82,5,
98.5,50,82,5,
99,51,82,5,
99.5,53,82,15,
100,54,82,5,
100.5,56,82,5,
101,56,82,5,
101.5,57,82,5,
102,58,82,5,
102.5,58,82,5,
103,58,82,5,
103.5,58,82,5,
104,57,82,5,
104.5,57,82,5,
105,56,81,5,H-0-6.753341-2.703495:
105.5,55,81,5,H-0-6.753341-2.703495:
106,55,81,5,H-0-6.753341-2.703495:
106.5,55,81,5,H-0-6.753341-2.703495:
107,55,81,5,H-0-6.753341-2.703495:
107.5,55,81,5,H-0-6.753341-2.703495:
108,56,81,5,H-3-9.079291-2.024656:
108.5,57,81,5,H-3-9.079291-2.024656:
109,57,79,5,H-3-9.079291-2.024656:
109.5,57,79,5,H-2-8.613362-2.992126:
110,57,79,5,H-2-8.613362-2.992126:
110.5,57,79,5,X
111,56,76,5,X
111.5,56,76,5,X
112,57,76,5,X
112.5,58,76,5,X
113,58,75,5,X
113.5,57,75,5,H-0-5-5.580703:BC
114,56,75,5,H-0-5-5.580703:BC
114.5,55,75,5,H-0-5-5.580703:BC
115,55,75,5,H-0-5-5.580703:BC
115.5,55,75,5,H-0-5-5.580703:BC
116,55,75,5,H-1-10-4.816745:
116.5,55,75,5,H-1-10-4.816745:
117,54,75,5,H-1-10-4.816745:
117.5,53,75,5,H-1-10-4.816745:
118,53,75,5,H-1-10-4.816745:
118.5,52,75,5,H-1-10-4.816745:
119,52,75,5,H-2-11-2.56127:
119.5,51,75,5,H-2-11-2.56127:
120,50,75,5,H-2-11-2.56127:
120.5,50,75,5,H-2-11-2.56127:
121,50,74,5,H-2-11-2.56127:
121.5,50,74,5,H-2-11-2.56127:
122,51,74,5,
122.5,55,74,5,
123,57,74,5,
123.5,60,74,5,
124,62,74,5,
124.5,63,74,5,H-1-15-2.423147:C
125,64,74,5,H-1-15-2.423147:C
125.5,64,74,5,H-1-15-2.423147:C
