Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,0,0,0,C
9,0,0,0,C
9.5,0,0,0,C
10,0,0,0,C
10.5,0,0,0,C
11,0,0,0,C
11.5,0,0,0,C
12,0,0,0,C
12.5,0,0,0,C
13,0,0,0,P2
13.5,0,0,0,P2
14,0,0,0,P2
14.5,0,0,0,P2
15,0,0,0,P2
15.5,0,0,0,
16,0,0,0,
16.5,0,0,0,
17,0,0,0,
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,
19,0,0,0,P2
19.5,0,0,0,P2
20,0,0,0,P2
20.5,0,0,0,C
21,0,0,0,C
21.5,0,0,0,
22,0,0,0,
22.5,0,0,0,
23,0,0,0,H-0-10-5:
23.5,0,0,0,H-0-10-5:
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,H-1-10-5:
26,0,0,0,H-1-10-5:
26.5,0,0,0,H-3-5-2:B
27,0,0,0,H-3-5-2:B
27.5,0,0,0,H-3-5-2:B
28,0,0,0,L
28.5,0,0,0,L
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,H-2-11-3.309825:B
32,0,0,0,H-2-11-3.309825:B
32.5,0,0,0,H-2-11-3.309825:B
33,0,0,0,H-3-20-2.150177:
33.5,0,0,0,H-3-20-2.150177:
34,0,0,0,H-3-20-2.212883:
34.5,0,0,0,H-3-20-2.212883:
35,0,0,0,H-3-20-2.212883:
35.5,0,0,0,H-3-20-4.687376:
36,0,0,0,H-3-20-4.687376:
36.5,0,0,0,H-0-9-5.088289:C
37,0,0,0,H-0-9-5.088289:C
37.5,0,0,0,H-0-9-5.088289:C
38,0,0,0,H-3-20-5.422311:
38.5,0,0,0,H-3-20-5.422311:
39,0,0,0,H-0-7-4.340865:C
39.5,0,0,0,H-0-7-4.340865:C
40,0,0,0,H-0-7-4.340865:C
40.5,0,0,0,H-2-11-2.953022:
41,0,0,0,H-2-11-2.953022:
41.5,0,0,0,N
42,0,0,0,N
42.5,0,0,0,N
43,0,0,0,H-1-5.811571-5.939979:C
43.5,0,0,0,H-1-5.811571-5.939979:C
44,0,0,0,H-1-5.811571-5.939979:C
44.5,0,0,0,H-1-15.65384-4.991167:
45,0,0,0,H-1-15.65384-4.991167:
45.5,0,0,0,H-2-11.77623-3.306475:
46,0,0,0,H-2-11.77623-3.306475:
46.5,0,0,0,H-2-11.77623-3.306475:
47,0,0,0,H-1-10.99178-5.053187:
47.5,0,0,0,H-1-10.99178-5.053187:
48,0,0,0,H-3-6.192151-5.931675:
48.5,0,0,0,H-3-6.192151-5.931675:
49,0,0,0,H-3-6.192151-5.931675:
49.5,0,0,0,H-0-2.363453-5.559795:C
50,0,0,0,H-0-2.363453-5.559795:C
50.5,0,0,0,H-3-9.721953-2.508061:
51,0,0,0,H-3-9.721953-2.508061:
51.5,0,0,0,H-3-9.721953-2.508061:
52,0,0,0,H-0-10.12561-3.819993:C
52.5,0,0,0,H-0-10.12561-3.819993:C
53,0,0,0,H-2-15.30871-2.756499:
53.5,0,0,0,H-2-15.30871-2.756499:
54,0,0,0,H-2-15.30871-2.756499:
54.5,0,0,0,H-2-11.45177-3.239869:
55,0,0,0,H-2-11.45177-3.239869:
55.5,0,0,0,X
56,0,0,0,X
56.5,0,0,0,X
57,0,0,0,H-3-20-4.658194:
57.5,0,0,0,H-3-20-4.658194:
58,0,0,0,H-1-8-2.282518:
58.5,0,0,0,H-1-8-2.282518:
59,0,0,0,H-1-8-2.282518:
59.5,0,0,0,H-1-11-5.219316:
60,0,0,0,H-1-11-5.219316:
60.5,0,0,0,H-1-11-5.219316:
61,0,0,0,H-2-7-3.391156:P1
61.5,0,0,0,H-2-7-3.391156:P1
62,0,0,0,H-2-8-3.471389:
62.5,0,0,0,H-2-8-3.471389:
63,0,0,0,H-2-8-3.471389:
63.5,0,0,0,H-1-13-5.094857:
64,0,0,0,H-1-13-5.094857:
64.5,0,0,0,H-0-8-4.28279:B
65,0,0,0,H-0-8-4.28279:B
65.5,0,0,0,H-0-8-4.28279:B
66,0,0,0,H-2-11-3.066181:
66.5,0,0,0,H-2-11-3.066181:
67,0,0,0,H-3-20-2.11207:C
67.5,0,0,0,H-3-20-2.11207:C
68,0,0,0,H-3-20-2.11207:C
68.5,0,0,0,H-3-20-4.804826:C
69,0,0,0,H-3-20-4.804826:C
69.5,0,0,0,N
70,0,0,0,N
70.5,0,0,0,N
71,0,0,0,
71.5,0,0,0,
72,0,0,0,
72.5,0,0,0,
73,0,0,0,
73.5,0,0,0,
74,0,0,0,
74.5,0,0,0,
75,0,0,0,
75.5,0,0,0,
76,0,0,0,
76.5,0,0,0,
77,0,0,0,H-0-5.273232-5.469081:
77.5,0,0,0,H-0-5.273232-5.469081:
78,0,0,0,H-0-5.273232-5.469081:
78.5,0,0,0,H-0-11.65025-3.712439:
79,0,0,0,H-0-11.65025-3.712439:
79.5,0,0,0,H-2-2.453222-3.068468:
80,0,0,0,H-2-2.453222-3.068468:
80.5,0,0,0,H-2-2.453222-3.068468:
81,0,0,0,
81.5,0,0,0,
82,0,0,0,H-2-17.67071-2.525996:
82.5,0,0,0,H-2-17.67071-2.525996:
83,0,0,0,H-2-17.67071-2.525996:
83.5,0,0,0,X
84,0,0,0,X
84.5,0,0,0,H-2-7-2.710921:C
85,0,0,0,H-2-7-2.710921:C
85.5,0,0,0,H-2-7-2.710921:C
86,0,0,0,H-3-20-5.062169:
86.5,0,0,0,H-3-20-5.062169:
87,0,0,0,H-1-12-5.550667:C
87.5,0,0,0,H-1-12-5.550667:C
88,0,0,0,H-1-12-5.550667:C
88.5,0,0,0,H-0-11-3.562155:C
89,0,0,0,H-0-11-3.562155:C
89.5,0,0,0,H-0-11-3.562155:C
90,0,0,0,H-2-15-2.530491:
90.5,0,0,0,H-2-15-2.530491:
91,0,0,0,H-3-20-5.993236:
91.5,0,0,0,H-
