Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,4,0,0,C
8,14,0,0,P1
8.5,23,0,0,P1
9,26,0,0,P1
9.5,29,0,0,P1
10,31,0,0,P1
10.5,32,0,0,P1
11,33,0,0,P1
11.5,32,0,0,P1
12,23,0,0,P1
12.5,13,0,0,P1
13,9,0,0,P1
13.5,4,0,0,P1
14,3,0,0,P1
14.5,20,0,0,P1
15,28,0,0,P1
15.5,33,0,0,
16,36,0,0,
16.5,38,0,0,
17,38,0,0,
17.5,38,0,0,
18,38,0,0,
18.5,37,0,0,
19,36,0,0,
19.5,36,0,0,
20,37,0,0,
20.5,37,0,0,
21,39,0,0,
21.5,41,0,0,
22,43,0,0,
22.5,44,61,0,
23,45,61,0,
23.5,46,61,0,
24,46,61,0,
24.5,45,61,0,
25,44,61,0,
25.5,44,61,0,
26,43,61,0,
26.5,44,63,0,
27,47,63,0,P1
27.5,49,63,0,P1
28,50,63,0,P1
28.5,52,63,0,P1
29,53,63,0,P1
29.5,53,63,0,P1
30,55,63,0,C
30.5,56,64,0,C
31,57,64,0,C
31.5,59,64,0,C
32,60,0,0,C
32.5,60,0,0,
33,60,0,0,
33.5,61,0,0,
34,62,0,0,
34.5,64,0,0,
35,65,0,0,H-0-10-5:
35.5,65,0,0,H-0-10-5:
36,65,0,0,H-0-10-5:
36.5,63,0,0,H-0-10-5:
37,62,0,0,H-0-10-5:
37.5,61,0,0,
38,62,0,0,
38.5,63,0,0,
39,66,0,0,
39.5,67,0,0,
40,68,0,0,H-1-10-5:
40.5,68,0,0,H-1-10-5:
41,68,0,0,H-1-10-5:
41.5,69,0,0,H-1-10-5:
42,70,0,0,H-3-5-2:B
42.5,71,0,0,H-3-5-2:B
43,73,0,0,H-3-5-2:B
43.5,74,0,0,H-3-5-2:B
44,76,0,5,L
44.5,78,0,5,L
45,79,0,5,L
45.5,80,0,5,L
46,82,0,5,
46.5,83,88,5,
47,84,88,5,
47.5,85,88,5,
48,86,88,1,
48.5,85,88,1,
49,84,0,1,
49.5,82,0,1,
50,80,0,1,H-1-10-3.340926:
50.5,78,0,1,H-1-10-3.340926:
51,76,0,1,H-1-10-3.340926:
51.5,73,0,1,H-1-8-2.188366:BP3C
52,71,0,1,H-1-8-2.188366:BP3C
52.5,71,0,1,H-1-8-2.188366:BP3C
53,70,0,1,H-1-8-2.188366:BP3C
53.5,70,0,1,H-1-8-2.188366:BP3C
54,70,0,1,H-1-10-2.234894:
54.5,69,0,1,H-1-10-2.234894:
55,69,0,1,H-1-10-2.234894:
55.5,69,0,1,H-1-10-2.234894:
56,68,0,1,H-1-5-5.938392:
56.5,68,0,1,H-1-5-5.938392:
57,67,0,1,H-1-5-5.938392:
57.5,66,0,1,H-1-5-5.938392:
58,64,0,15,H-1-5-5.938392:
58.5,63,0,5,H-1-10-5.852141:
59,60,0,5,H-1-10-5.852141:
59.5,58,0,5,H-1-10-5.852141:
60,56,0,5,H-1-10-5.852141:
60.5,54,0,5,H-1-10-5.852141:
61,53,0,5,H-0-9-3.467499:
61.5,53,0,5,H-0-9-3.467499:
62,54,0,5,H-0-9-3.467499:
62.5,54,0,5,H-0-9-3.467499:
63,53,0,5,H-0-9-3.467499:
63.5,52,0,5,H-0-9-3.467499:
64,51,0,5,H-2-5-3.070843:
64.5,53,0,5,H-2-5-3.070843:
65,56,0,5,H-2-5-3.070843:
65.5,59,0,5,H-2-5-3.070843:
66,62,0,5,H-2-5-3.070843:
66.5,68,0,5,H-1-8-4.408264:C
67,73,0,5,H-1-8-4.408264:C
67.5,77,0,5,H-1-8-4.408264:C
68,78,0,5,H-1-8-4.408264:C
68.5,79,0,5,N
69,79,0,5,N
69.5,78,0,5,N
70,79,0,5,N
70.5,82,127,15,
71,84,127,5,
71.5,86,127,5,
72,86,127,5,
72.5,87,131,5,
73,89,131,5,
73.5,94,131,5,
74,98,131,5,H-2-5.21047-3.215674:
74.5,100,133,5,H-2-5.21047-3.215674:
75,99,133,5,H-2-5.21047-3.215674:
75.5,95,133,5,
76,90,133,5,
76.5,85,134,5,
77,80,134,5,
77.5,74,134,5,
78,64,134,5,
78.5,55,147,5,
79,51,147,5,
79.5,50,147,5,
80,51,147,5,H-3-15.01838-4.835292:
80.5,52,148,5,H-3-15.01838-4.835292:
81,52,148,5,H-3-15.01838-4.835292:
81.5,52,148,5,H-3-15.01838-4.835292:
82,55,148,5,H-3-15.01838-4.835292:
82.5,57,139,5,H-3-15.01838-4.835292:
83,58,139,5,
83.5,58,139,5,
84,58,139,15,
84.5,56,139,5,
85,55,139,5,
85.5,56,139,5,
86,57,139,5,
86.5,59,137,5,
87,57,137,5,
87.5,53,137,5,
88,48,137,5,
88.5,46,136,5,
89,46,136,5,
89.5,46,136,5,
90,47,136,5,
90.5,48,131,5,
91,49,131,5,
91.5,53,131,5,H-3-14.61784-3.136699:
92,55,131,5,H-3-14.61784-3.136699:
92.5,55,127,5,H-3-14.61784-3.136699:
93,57,127,5,H-3-14.61784-3.136699:
93.5,59,127,5,H-3-14.61784-3.136699:
94,61,127,5,X
94.5,62,137,5,X
95,65,137,5,X
95.5,68,137,5,X
96,72,137,5,X
96.5,76,140,5,H-1-10-3.473725:B
97,80,140,5,H-1-10-3.473725:B
97.5,84,140,5,H-1-10-3.473725:B
98,86,140,5,H-1-10-3.473725:B
98.5,87,158,5,H-1-11-5.394739:BC
99,89,158,5,H-1-11-5.394739:BC
99.5,89,158,5,H-1-11-5.394739:BC
100,90,158,5,H-3-20-3.340006:
100.5,89,162,5,H-3-20-3.340006:
101,88,162,5,H-3-20-3.340006:
101.5,87,162,5,H-3-20-3.340006:
102,87,162,5,H-1-16-5.039355:
102.5,89,164,5,H-1-16-5.039355:
103,91,164,5,H-1-16-5.039355:
103.5,92,164,5,H-1-13-5.30504:C
104,91,164,5,H-1-13-5.30504:C
104.5,88,165,5,H-1-13-5.30504:C
105,86,165,5,H-0-12-3.202568:B
105.5,85,165,5,H-0-12-3.202568:B
106,84,165,5,H-0-12-3.202568:B
106.5,83,159,5,H-0-12-3.202568:B
107,82,159,5,H-1-8-2.078606:
107.5,80,159,5,H-1-8-2.078606:
108,79,159,5,H-1-8-2.078606:
108.5,77,162,5,H-1-8-2.078606:
109,76,162,5,H-0-14-3.4701:
109.5,75,162,5,H-0-14-3.4701:
110,74,162,5,H-0-14-3.4701:
110.5,73,151,5,H-0-14-3.4701:
111,72,151,5,H-3-20-3.943534:
111.5,73,151,5,H-3-20-3.943534:
112,74,151,5,H-3-20-3.943534:
112.5,76,151,5,H-3-20-3.943534:
113,77,151,5,H-3-20-2.871791:C
113.5,78,151,5,H-3-20-2.871791:C
114,78,151,5,H-3-20-2.871791:C
114.5,78,146,5,H-3-20-2.871791:C
115,79,146,5,N
115.5,81,146,5,N
116,85,146,5,N
116.5,88,130,15,N
117,88,130,5,H-1-7.942033-3.731723:
117.5,84,130,5,H-1-7.942033-3.731723:
118,79,130,5,H-1-7.942033-3.731723:
118.5,78,130,5,H-3-16.31487-2.28598:
119,79,130,5,H-3-16.31487-2.28598:
119.5,80,130,5,H-3-16.31487-2.28598:
120,81,130,5,H-3-16.31487-2.28598:
120.5,82,130,5,H-0-5.770336-5.5755:
121,83,130,5,H-0-5.770336-5.5755:
121.5,83,130,5,H-0-5.770336-5.5755:
122,82,130,15,H-0-5.770336-5.5755:
122.5,82,130,5,H-3-16.18922-3.265061:C
123,81,130,5,H-3-16.18922-3.265061:C
