Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,P2
5,0,0,0,P2
5.5,0,0,0,P2
6,0,0,0,P2
6.5,0,0,0,P2
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,P2
15,0,0,0,P2
15.5,0,0,0,P2
16,0,0,0,P2
16.5,0,0,0,P2
17,0,0,0,C
17.5,0,0,0,C
18,0,0,0,C
18.5,0,0,0,C
19,0,0,0,C
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,
21,0,0,0,
21.5,0,0,0,H-0-10-5:
22,0,0,0,H-0-10-5:
22.5,0,0,0,H-0-10-5:
23,0,0,0,
23.5,0,0,0,
24,0,0,0,H-1-10-5:
24.5,0,0,0,H-1-10-5:
25,0,0,0,H-1-10-5:
25.5,0,0,0,H-3-5-2:B
26,0,0,0,H-3-5-2:B
26.5,0,0,0,L
27,0,0,0,L
27.5,0,0,0,L
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,H-3-20-2.119367:
31,0,0,0,H-3-20-2.119367:
31.5,0,0,0,H-3-20-2.119367:
32,0,0,0,H-3-20-4.861164:C
32.5,0,0,0,H-3-20-4.861164:C
33,0,0,0,H-3-20-2.278061:
33.5,0,0,0,H-3-20-2.278061:
34,0,0,0,H-3-20-2.278061:
34.5,0,0,0,H-3-20-2.771925:
35,0,0,0,H-3-20-2.771925:
35.5,0,0,0,H-1-13-2.322128:P3
36,0,0,0,H-1-13-2.322128:P3
36.5,0,0,0,H-1-13-2.322128:P3
37,0,0,0,H-3-20-3.078075:
37.5,0,0,0,H-3-20-3.078075:
38,0,0,0,H-1-10-5.352472:BC
38.5,0,0,0,H-1-10-5.352472:BC
39,0,0,0,H-1-10-5.352472:BC
39.5,0,0,0,H-1-6-2.881742:
40,0,0,0,H-1-6-2.881742:
40.5,0,0,0,N
41,0,0,0,N
41.5,0,0,0,N
42,0,0,0,H-0-6.18258-2.41486:
42.5,0,0,0,H-0-6.18258-2.41486:
43,0,0,0,H-0-13.60158-5.488968:C
43.5,0,0,0,H-0-13.60158-5.488968:C
44,0,0,0,H-0-13.60158-5.488968:C
44.5,0,0,0,H-1-5.610617-4.750321:
45,0,0,0,H-1-5.610617-4.750321:
45.5,0,0,0,H-1-9.003724-3.332619:
46,0,0,0,H-1-9.003724-3.332619:
46.5,0,0,0,H-1-9.003724-3.332619:
47,0,0,0,H-3-6.883815-3.430723:
47.5,0,0,0,H-3-6.883815-3.430723:
48,0,0,0,H-3-5.468725-3.699387:P2
48.5,0,0,0,H-3-5.468725-3.699387:P2
49,0,0,0,H-3-5.468725-3.699387:P2
49.5,0,0,0,H-2-10.03334-2.739894:P2
50,0,0,0,H-2-10.03334-2.
