Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,0,0,0,C
9,0,0,0,P2
9.5,0,0,0,P2
10,0,0,0,P2
10.5,0,0,0,P2
11,0,0,0,P2
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,
15,0,0,0,
15.5,0,0,0,
16,0,0,0,
16.5,0,0,0,
17,0,0,0,
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,
19,0,0,0,P2
19.5,0,0,0,P2
20,0,0,0,P2
20.5,0,0,0,C
21,0,0,0,C
21.5,0,0,0,
22,0,0,0,
22.5,0,0,0,
23,0,0,0,H-0-10-5:
23.5,0,0,0,H-0-10-5:
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,H-1-10-5:
26,0,0,0,H-1-10-5:
26.5,0,0,0,H-3-5-2:B
27,0,0,0,H-3-5-2:B
27.5,0,0,0,H-3-5-2:B
28,0,0,0,H-3-5-2:B
28.5,0,0,0,H-3-5-2:B
29,0,0,0,H-3-5-2:B
29.5,0,0,0,H-3-5-2:B
30,0,0,0,H-3-5-2:B
30.5,0,0,0,H-3-5-2:B
31,0,0,0,H-3-5-2:B
31.5,0,0,0,H-3-5-2:B
32,0,0,0,H-3-5-2:B
32.5,0,0,0,H-3-5-2:B
33,0,0,0,H-3-5-2:B
33.5,0,0,0,L
34,0,0,0,L
34.5,0,0,0,L
35,0,0,0,
35.5,0,0,0,
36,0,0,0,
36.5,0,0,0,
37,0,0,0,
37.5,0,0,0,H-3-20-2.142205:C
38,0,0,0,H-3-20-2.142205:C
38.5,0,0,0,H-3-20-2.142205:C
39,0,0,0,H-0-9-5.485767:P3C
39.5,0,0,0,H-0-9-5.485767:P3C
40,0,0,0,H-1-9-5.257919:
40.5,0,0,0,H-1-9-5.257919:
41,0,0,0,H-1-9-5.257919:
41.5,0,0,0,H-1-13-5.525674:C
42,0,0,0,H-1-13-5.525674:C
42.5,0,0,0,H-1-13-5.525674:C
43,0,0,0,H-1-13-5.525674:C
43.5,0,0,0,H-0-12-5.272096:
44,0,0,0,H-0-12-5.272096:
44.5,0,0,0,H-0-12-5.272096:
45,0,0,0,H-1-13-5.525674:C
45.5,0,0,0,H-1-13-5.525674:C
46,0,0,0,H-1-13-5.525674:C
46.5,0,0,0,H-0-12-5.272096:
47,0,0,0,H-0-12-5.272096:
47.5,0,0,0,H-0-12-5.272096:
48,0,0,0,H-2-14-2.663575:P2
48.5,0,0,0,H-2-14-2.663575:P2
49,0,0,0,H-1-16-2.382364:
49.5,0,0,0,H-1-16-2.382364:
50,0,0,0,H-1-16-2.382364:
50.5,0,0,0,H-3-20-2.874791:BP3C
51,0,0,0,H-3-20-2.874791:BP3C
51.5,0,0,0,H-3-20-2.874791:BP3C
52,0,0,0,N
52.5,0,0,0,N
53,0,0,0,H-0-7.576627-5.695308:
53.5,0,0,0,H-0-7.576627-5.69
