Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,P3
4,0,0,0,P3
4.5,0,0,0,P3
5,0,0,0,P3
5.5,0,0,0,P3
6,0,0,0,P3
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,P3
13,0,0,0,P3
13.5,0,0,0,C
14,0,0,0,C
14.5,0,0,0,C
15,0,0,0,
15.5,0,0,0,
16,0,0,0,H-0-10-5:
16.5,0,0,0,H-0-10-5:
17,0,0,0,H-0-10-5:
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,H-1-10-5:
19,0,0,0,H-1-10-5:
19.5,0,0,0,H-1-10-5:
20,0,0,0,H-3-5-2:B
20.5,0,0,0,H-3-5-2:B
21,0,0,0,L
21.5,0,0,0,L
22,0,0,0,L
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,H-3-20-3.90536:
25.5,0,0,0,H-3-20-3.90536:
26,0,0,0,H-2-9-2.927989:
26.5,0,0,0,H-2-9-2.927989:
27,0,0,0,H-2-9-2.927989:
27.5,0,0,0,H-2-10-3.343066:
28,0,0,0,H-2-10-3.343066:
28.5,0,0,0,H-2-6-3.458408:P2C
29,0,0,0,H-2-6-3.458408:P2C
29.5,0,0,0,H-2-6-3.458408:P2C
30,0,0,0,H-3-20-2.515041:
30.5,0,0,0,H-3-20-2.515041:
31,0,0,0,H-2-15-3.186951:
31.5,0,0,0,H-2-15-3.186951:
32,0,0,0,H-2-15-3.186951:
32.5,0,0,0,H-2-9-2.551029:C
33,0,0,0,H-2-9-2.551029:C
33.5,0,0,0,H-1-10-2.704512:
34,0,0,0,H-1-10-2.704512:
34.5,0,0,0,H-1-10-2.704512:
35,0,0,0,N
35.5,0,0,0,N
36,0,0,0,H-1-14.43092-3.68186:
36.5,0,0,0,H-1-14.43092-3.68186:
37,0,0,0,H-1-14.43092-3.68186:
37.5,0,0,0,H-1-6.549605-2.225367:
38,0,0,0,H-1-6.549605-2.225367:
38.5,0,0,0,H-1-6.549605-2.225367:
39,0,0,0,H-1-6.549605-2.225367:
39.5,0,0,0,H-1-6.549605-2.225367:
40,0,0,0,H-1-6.549605-2.225367:
40.5,0,0,0,H-1-6.549605-2.225367:
41,0,0,0,H-1-6.549605-2.225367:
41.5,0,0,0,H-1-6.549605-2.225367:
42,0,0,0,H-1-6.549605-2.225367:
42.5,0,0,0,H-1-6.549605-2.225367:
43,0,0,0,H-1-6.549605-2.225367:
43.5,0,0,0,H-1-6.549605-2.225367:
44,0,0,0,H-1-8.246846-2.43941:P2
44.5,0,0,0,H-1-8.246846-2.43941:P2
45,0,0,0,H-1-8.246846-2.43941:P2
45.5,0,0,0,H-1-8.246846-2.43941:P2
46,0,0,0,H-1-8.246846-2.43941:P2
46.5,0,0,0,H-1-8.246846-2.43941:P2
47,0,0,0,H-1-8.246846-2.43941:P2
47.5,0,0,0,H-1-8.246846-2.43941:P2
48,0,0,0,H-1-8.246846-2.43941:P2
48.5,0,0,0,H-1-8.246846-2.43941:P2
49,0,0,0,H-1-8.246846-2.43941:P2
49.5,0,0,0,H-1-8.246846-2.43941:P2
50,0,0,0,H-1-8.246846-2.43941:P2
50.5,0,0,0,H-1-8.246846-2.43941:P2
51,0,0,0,H-3-10.44802-2.412338:C
51.5,0,0,0,H-3-10.44802-2.412338:C
52,0,0,0,H-3-10.44802-2.412338:C
52.5,0,0,0,H-3-10.44802-2.412338:C
53,0,0,0,H-3-10.44802-2.412338:C
53.5,0,0,0,H-3-10.44802-2.412338:C
54,0,0,0,H-3-10.44802-2.412338:C
54.5,0,0,0,H-3-10.44802-2.412338:C
55,0,0,0,H-3-10.44802-2.412338:C
55.5,0,0,0,H-3-10.44802-2.412338:C
56,0,0,0,H-3-10.44802-2.412338:C
56.5,0,0,0,H-3-10.44802-2.412338:C
57,0,0,0,H-3-10.44802-2.412338:C
57.5,0,0,0,H-3-10.44802-2.412338:C
58,0,0,0,H-3-10.44802-2.412338:C
58.5,0,0,0,H-3-10.44802-2.412338:C
59,0,0,0,H-2-13.65637-3.348708:
59.5,0,0,0,H-2-13.65637-3.348708:
60,0,0,0,H-2-13.65637-3.348708:
60.5,0,0,0,H-2-13.65637-3.348708:
61,0,0,0,H-2-13.65637-3.348708:
61.
