Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,0,0,0,C
9,0,0,0,C
9.5,0,0,0,C
10,0,0,0,C
10.5,0,0,0,C
11,0,0,0,C
11.5,0,0,0,C
12,0,0,0,C
12.5,0,0,0,C
13,0,0,0,C
13.5,0,0,0,C
14,0,0,0,C
14.5,0,0,0,C
15,0,0,0,C
15.5,0,0,0,C
16,0,0,0,C
16.5,0,0,0,C
17,0,0,0,C
17.5,0,0,0,C
18,0,0,0,C
18.5,0,0,0,C
19,0,0,0,C
19.5,0,0,0,C
20,0,0,0,C
20.5,0,0,0,C
21,0,0,0,C
21.5,0,0,0,C
22,0,0,0,C
22.5,0,0,0,C
23,0,0,0,C
23.5,0,0,0,C
24,0,0,0,C
24.5,0,0,0,C
25,0,0,0,C
25.5,0,0,0,C
26,0,0,0,C
26.5,0,0,0,C
27,0,0,0,C
27.5,0,0,0,C
28,0,0,0,C
28.5,0,0,0,C
29,0,0,0,C
29.5,0,0,0,C
30,0,0,0,C
30.5,0,0,0,C
31,0,0,0,C
31.5,0,0,0,C
32,0,0,0,C
32.5,0,0,0,C
33,0,0,0,C
33.5,0,0,0,C
34,0,0,0,C
34.5,0,0,0,C
35,0,0,0,C
35.5,0,0,0,C
36,0,0,0,C
36.5,0,0,0,C
37,0,0,0,C
37.5,0,0,0,C
38,0,0,0,C
38.5,0,0,0,C
39,0,0,0,C
39.5,0,0,0,C
40,0,0,0,C
40.5,0,0,0,C
41,0,0,0,C
41.5,0,0,0,C
42,0,0,0,C
42.5,0,0,0,C
43,0,0,0,P1
43.5,0,0,0,P1
44,0,0,0,P1
44.5,0,0,0,P1
45,0,0,0,P1
45.5,0,0,0,
46,0,0,0,
46.5,0,0,0,
47,0,0,0,
47.5,0,0,0,
48,0,0,0,
48.5,0,0,0,
49,0,0,0,
49.5,0,0,0,
50,0,0,0,
50.5,0,0,0,
51,0,0,0,
51.5,0,0,0,
52,0,0,0,
52.5,0,0,0,
53,0,0,0,
53.5,0,0,0,P1
54,0,0,0,P1
54.5,0,0,0,P1
55,0,0,0,P1
55.5,0,0,0,P1
56,0,0,0,C
56.5,0,0,0,C
57,0,0,0,C
57.5,0,0,0,C
58,0,0,0,C
58.5,0,0,0,
59,0,0,0,
59.5,0,0,0,
60,0,0,0,
60.5,0,0,0,
61,0,0,0,H-0-10-5:
61.5,0,0,0,H-0-10-5:
62,0,0,0,H-0-10-5:
62.5,0,0,0,H-0-10-5:
63,0,0,0,H-0-10-5:
63.5,0,0,0,H-0-10-5:
64,0,0,0,H-0-10-5:
64.5,0,0,0,H-0-10-5:
65,0,0,0,H-0-10-5:
65.5,0,0,0,H-0-10-5:
66,0,0,0,H-0-10-5:
66.5,0,0,0,H-0-10-5:
67,0,0,0,H-0-10-5:
67.5,0,0,0,H-0-10-5:
68,0,0,0,H-0-10-5:
68.5,0,0,0,H-0-10-5:
69,0,0,0,H-0-10-5:
69.5,0,0,0,H-0-10-5:
70,0,0,0,H-0-10-5:
70.5,0,0,0,H-0-10-5:
71,0,0,0,H-0-10-5:
71.5,0,0,0,H
