Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,P3
3,0,0,0,P3
3.5,0,0,0,P3
4,0,0,0,P3
4.5,0,0,0,
5,0,0,0,
5.5,0,0,0,
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,P3
8.5,0,0,0,P3
9,0,0,0,P3
9.5,0,0,0,C
10,0,0,0,C
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,H-0-10-5:
12.5,0,0,0,H-0-10-5:
13,0,0,0,
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,H-1-10-5:
15,0,0,0,H-1-10-5:
15.5,0,0,0,H-3-5-2:B
16,0,0,0,H-3-5-2:B
16.5,0,0,0,H-3-5-2:B
17,0,0,0,L
17.5,0,0,0,L
18,0,0,0,
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,P3
21,0,0,0,P3
21.5,0,0,0,P3
22,0,0,0,C
22.5,0,0,0,C
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,
33,0,0,0,
33.5,0,0,0,H-1-4-5.64228:P2
34,0,0,0,H-1-4-5.64228:P2
34.5,0,0,0,H-0-13-2.117701:
35,0,0,0,H-0-13-2.117701:
35.5,0,0,0,H-0-13-2.117701:
36,0,0,0,H-2-7-3.049963:
36.5,0,0,0,H-2-7-3.049963:
37,0,0,0,H-2-14-2.971997:
37.5,0,0,0,H-2-14-2.971997:
38,0,0,0,H-2-14-2.971997:
38.5,0,0,0,H-1-13-5.854712:
39,0,0,0,H-1-13-5.854712:
39.5,0,0,0,H-2-8-2.955585:C
40,0,0,0,H-2-8-2.955585:C
40.5,0,0,0,H-2-8-2.955585:C
41,0,0,0,H-1-14-5.813666:
41.5,0,0,0,H-1-14-5.813666:
42,0,0,0,H-3-20-3.494603:C
42.5,0,0,0,H-3-20-3.494603:C
43,0,0,0,H-3-20-3.494603:C
43.5,0,0,0,N
44,0,0,0,N
44.5,0,0,0,H-0-15.47709-4.730527:
45,0,0,0,H-0-15.47709-4.730527:
45.5,0,0,0,H-0-15.47709-4.730527:
46,0,0,0,H-1-3.614141-4.106031:C
46.5,0,0,0,H-1-3.614141-4.106031:C
47,0,0,0,H-1-3.614141-4.106031:C
47.5,0,0,0,H-1-3.614141-4.106031:C
48,0,0,0,H-1-3.614141-4.106031:C
48.5,0,0,0,H-1-3.614141-4.106031:C
49,0,0,0,H-1-3.614141-4.106031:C
49.5,0,0,0,H-1-3.614141-4.106031:C
50,0,0,0,H-1-3.614141-4.106031:C
50.5,0,0,0,H-1-3.614141-4.106031:C
51,0,0,0,H-1-7.070125-5.61412:CP2
51.5,0,0,0,H-1-7.070125-5.61412:CP2
52,0,0,0,H-1-7.070
