Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,P3
6.5,0,0,0,P3
7,0,0,0,P3
7.5,0,0,0,P3
8,0,0,0,P3
8.5,0,0,0,P3
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,P3
13.5,0,0,0,P3
14,0,0,0,P3
14.5,0,0,0,C
15,0,0,0,C
15.5,0,0,0,
16,0,0,0,
16.5,0,0,0,
17,0,0,0,H-0-10-5:
17.5,0,0,0,H-0-10-5:
18,0,0,0,
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,H-1-10-5:
20,0,0,0,H-1-10-5:
20.5,0,0,0,H-3-5-2:B
21,0,0,0,H-3-5-2:B
21.5,0,0,0,H-3-5-2:B
22,0,0,0,H-3-5-2:B
22.5,0,0,0,H-3-5-2:B
23,0,0,0,H-3-5-2:B
23.5,0,0,0,L
24,0,0,0,L
24.5,0,0,0,L
25,0,0,0,L
25.5,0,0,0,L
26,0,0,0,L
26.5,0,0,0,L
27,0,0,0,L
27.5,0,0,0,L
28,0,0,0,L
28.5,0,0,0,L
29,0,0,0,L
29.5,0,0,0,L
30,0,0,0,L
30.5,0,0,0,L
31,0,0,0,L
31.5,0,0,0,L
32,0,0,0,L
32.5,0,0,0,L
33,0,0,0,L
33.5,0,0,0,L
34,0,0,0,L
34.5,0,0,0,L
35,0,0,0,L
35.5,0,0,0,L
36,0,0,0,L
36.5,0,0,0,L
37,0,0,0,L
37.5,0,0,0,L
38,0,0,0,L
38.5,0,0,0,L
39,0,0,0,L
39.5,0,0,0,L
40,0,0,0,L
40.5,0,0,0,L
41,0,0,0,L
41.5,0,0,0,
42,0,0,0,
42.5,0,0,0,
43,0,0,0,
43.5,0,0,0,
44,0,0,0,
44.5,0,0,0,
45,0,0,0,
45.5,0,0,0,
46,0,0,0,
46.5,0,0,0,
47,0,0,0,
47.5,0,0,0,
48,0,0,0,
48.5,0,0,0,
49,0,0,0,
49.5,0,0,0,
50,0,0,0,
50.5,0,0,0,
51,0,0,0,H-3-20-4.366058:B
51.5,0,0,0,H-3-20-4.366058:B
52,0,0,0,H-3-20-4.366058:B
52.5,0,0,0,H-3-20-4.366058:B
53,0,0,0,H-3-20-4.366058:B
53.5,0,0,0,H-3-20-4.366058:B
54,0,0,0,H-3-20-4.366058:B
54.5,0,0,0,H-3-20-4.366058:B
55,0,0,0,H-3-20-4.366058:B
55.5,0,0,0,H-3-20-5.527899:BC
56,0,0,0,H-3-20-5.527899:BC
56.5,0,0,0,H-3-20-5.527899:BC
57,0,0,0,H-3-20-5.527899:BC
57.5,0,0,0,H-3-20-5.527899:BC
58,0,0,0,H-3-20-5.527899:BC
58.5,0,0,0,H-3-20-5.527899:BC
59,0,0,0,H-3-20-5.527899:BC
59.5,0,0,0,H-3-20-5.527899:BC
60,0,0,0,H-3-20-5.527899:BC
60.5,0,0,0,H-3-20-5.527899:BC
61,0,0,0,H-3-20-5.181575:
61.5,0,0,0,H-3-20-5.181575:
62,0,0,0,H-3-20-5.181575:
62.5,0,0,0,H-3-20-5.181575:
63,0,0,0,H-3-20-5.181575:
63.5,0,0,0,H-3-20-5.181575:
64,0,0,0,H-3-20-5.181575:
64.5,0,0,0,H-3-20-5.181575:
65,0,0,0,H-3-20-5.181575:
65.5,0,0,0,H-3-20-5.181575:
66,0,0,0,H-3-20-5.181575:
66.5,0,0,0,H-3-20-5.181575:
67,0,0,0,H-3-20-5.181575:
67.5,0,0,0,H-3-20-5.181575:
68,0,0,0,H-2-12-3.035913:P2
68.5,0,0,0,H-2-12-3.035913:P2
69,0,0,0,H-2-12-3.035913:P2
69.5,0,0,0,H-2-12-3.035913:P2
70,0,0,0,H-2-12-3.035913:P2
70.5,0,0,0,H-2-12-3.035913:P2
71,0,0,0,H-2-12-3.035913:P2
71.5,0,0,0,H-2-12-3.035913:P2
72,0,0,0,H-2-12-3.035913:P2
72.5,0,0,0,H-0-16-3.572554:
73,0,0,0,H-0-16-3.572554:
73.5,0,0,0,H-0-16-3.572554:
74,0,0,0,H-0-16-3.572554:
74.5,0,0,0,H-0-16-3.572554:
75,0,0,0,H-0-16-3.572554:
75.5,0,0,0,H-0-16-3.572554:
76,0,0,0,H-0-16-3.572554:
76.5,0,0,0,H-0-16-3.572554:
77,0,0,0,H-0-16-3.572554:
77.5,0,0,0,H-0-16-3.572554:
78,0,0,0,H-0-16-3.572554:
78.5,0,0,0,H-0-16-3.572554:
79,0,0,0,H-0-16-3.572554:
79.5,0,0,0,H-0-16-3.572554:
80,0,0,0,H-0-16-3.572554:
80.5,0,0,0,H-0-12-4.756742:
81,0,0,0,H-0-12-4.756742:
81.5,0,0,0,H-0-12-4.756742:
82,0,0,0,H-0-12-4.756742:
82.5,0,0,0,H-0-12-4.756742:
83,0,0,0,H-3-20-5.480755:P1C
83.5,0,0,0,H-3-20-5.480755:P1C
84,0,0,0,H-3-20-5.480755:P1C
84.5,0,0,0,H-3-20-5.480755:P1C
85,0,0,0,H-3-20-5.480755:P1C
85.5,0,0,0,H-3-20-5.480755:P1C
86,0,0,0,H-3-20-5.480755:P1C
86.5,0,0,0,H-3-20-5.480755:P1C
87,0,0,0,H-3-20-5.480755:P1C
87.5,0,0,0,H-3-20-5.480755:P1C
88,0,0,0,H-1-13-3.052926:
88.5,0,0,0,H-1-13-3.052926:
89,0,0,0,H-3-20-5.480755:P1C
89.5,0,0,0,H-3-20-5.480755:P1C
90,0,0,0,H-3-20-5.480755:P1C
90.5,0,0,0,H-3-20-5.480755:P1C
91,0,0,0,H-3-20-5.480755:P1C
91.5,0,0,0,H-3-20-5.480755:P1C
92,0,0,0,H-0-12-4.756742:
92.5,0,0,0,H-0-12-4.756742:
93,0,0,0,H-0-12-4.756742:
93.5,0,0,0,H-0-12-4.756742:
94,0,0,0,H-0-12-4.756742:
94.5,0,0,0,H-0-12-4.756742:
95,0,0,0,H-0-16-3.572554:
95.5,0,0,0,H-0-16-3.572554:
96,0,0,0,H-0-16-3.572554:
96.5,0,0,0,H-0-16-3.572554:
97,0,0,0,H-0-16-3.57
