Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,15,0,0,C
6.5,28,0,0,C
7,36,0,0,P2
7.5,40,0,0,P2
8,42,0,0,P2
8.5,44,0,0,P2
9,46,0,0,P2
9.5,46,0,0,P2
10,44,0,0,P2
10.5,42,0,0,
11,42,0,0,
11.5,42,0,0,
12,42,0,0,
12.5,43,0,0,
13,43,0,0,
13.5,43,0,0,
14,44,0,0,
14.5,46,0,0,
15,50,0,0,
15.5,53,0,0,
16,56,0,0,
16.5,57,0,0,
17,59,0,0,
17.5,59,0,0,
18,60,0,0,
18.5,60,0,0,
19,60,0,0,
19.5,59,0,0,
20,59,0,0,P2
20.5,58,0,0,P2
21,56,76,0,P2
21.5,54,76,0,P2
22,52,76,0,P2
22.5,50,76,0,C
23,48,77,0,C
23.5,46,77,0,C
24,45,0,0,C
24.5,43,0,0,C
25,41,0,0,C
25.5,38,0,0,C
26,35,0,0,
26.5,28,0,0,
27,19,0,0,
27.5,9,0,0,
28,5,0,0,
28.5,3,0,0,
29,12,0,0,
29.5,21,0,0,
30,24,0,0,
30.5,17,0,0,
31,11,0,0,
31.5,5,0,0,
32,3,0,0,
32.5,1,0,0,
33,1,0,0,
33.5,0,0,0,
34,0,0,0,
34.5,0,0,0,
35,0,0,0,
35.5,0,0,0,
36,0,0,0,
36.5,0,0,0,
37,0,0,0,
37.5,0,0,0,
38,0,0,0,
38.5,0,0,0,
39,0,0,0,
39.5,0,0,0,
40,0,0,0,
40.5,0,0,0,
41,0,0,0,
41.5,0,0,0,
42,0,0,0,
42.5,0,0,0,
43,0,0,0,
43.5,0,0,0,
44,0,0,0,
44.5,0,0,0,
45,0,0,0,
45.5,0,0,0,
46,0,0,0,
46.5,0,0,0,
47,0,0,0,
47.5,0,0,0,
48,0,0,0,
48.5,0,0,0,
49,0,0,0,
