Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,P2
5.5,0,0,0,P2
6,0,0,0,P2
6.5,0,0,0,P2
7,0,0,0,P2
7.5,0,0,0,P2
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,
15,0,0,0,
15.5,0,0,0,P2
16,0,0,0,P2
16.5,0,0,0,P2
17,0,0,0,P2
17.5,0,0,0,P2
18,0,0,0,C
18.5,0,0,0,C
19,0,0,0,C
19.5,0,0,0,C
20,0,0,0,C
20.5,0,0,0,
21,0,0,0,
21.5,0,0,0,
22,0,0,0,
22.5,0,0,0,H-0-10-5:
23,0,0,0,H-0-10-5:
23.5,0,0,0,H-0-10-5:
24,0,0,0,
24.5,0,0,0,
25,0,0,0,H-1-10-5:
25.5,0,0,0,H-1-10-5:
26,0,0,0,H-1-10-5:
26.5,0,0,0,H-3-5-2:B
27,0,0,0,H-3-5-2:B
27.5,0,0,0,L
28,0,0,0,L
28.5,0,0,0,L
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,H-3-20-2.065424:
32,0,0,0,H-3-20-2.065424:
32.5,0,0,0,H-3-20-2.065424:
33,0,0,0,C
33.5,0,0,0,C
34,0,0,0,H-2-13-2.844038:
34.5,0,0,0,H-2-13-2.844038:
35,0,0,0,H-2-13-2.844038:
35.5,0,0,0,H-0-13-4.02175:
36,0,0,0,H-0-13-4.02175:
36.5,0,0,0,H-3-20-4.565508:
37,0,0,0,H-3-20-4.565508:
37.5,0,0,0,H-3-20-4.565508:
38,0,0,0,H-1-12-5.381519:C
38.5,0,0,0,H-1-12-5.381519:C
39,0,0,0,H-0-17-4.249012:C
39.5,0,0,0,H-0-17-4.249012:C
40,0,0,0,H-0-17-4.249012:C
40.5,0,0,0,H-3-20-4.923984:P2
41,0,0,0,H-3-20-4.923984:P2
41.5,0,0,0,N
42,0,0,0,N
42.5,0,0,0,N
43,0,0,0,H-3-5.65423-2.245493:
43.5,0,0,0,H-3-5.65423-2.245493:
44,0,0,0,H-0-4.349918-3.178935:
44.5,0,0,0,H-0-4.349918-3.178935:
45,0,0,0,H-0-4.349918-3.178935:
45.5,0,0,0,H-1-11.9231-4.657246:P1
46,0,0,0,H-1-11.9231-4.657246:P1
46.5,0,0,0,H-2-17.01514-3.071661:CP2
47,0,0,0,H-2-17.01514-3.071661:CP2
47.5,0,0,0,H-2-17.01514-3.071661:CP2
48,0,0,0,H-1-6.767426-2.085316:
48.5,0,0,0,H-1-6.767426-2.085316:
49,0,0,0,H-3-16.54144-4.486597:C
49.5,0,0,0,H-3-16.54144-4.486597:C
50,0,0,0,H-3-16.54144-4.486597:C
50.5,0,0,0,H-0-15.68218-5.358072:P2
51,0,0,0,H-0-15.68218-5.3
