Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,P3
6,0,0,0,P3
6.5,0,0,0,P3
7,0,0,0,P3
7.5,0,0,0,P3
8,0,0,0,P3
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,
15,0,0,0,
15.5,0,0,0,
16,0,0,0,P3
16.5,0,0,0,P3
17,0,0,0,P3
17.5,0,0,0,P3
18,0,0,0,P3
18.5,0,0,0,C
19,0,0,0,C
19.5,0,0,0,C
20,0,0,0,C
20.5,0,0,0,C
21,0,0,0,
21.5,0,0,0,
22,0,0,0,
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,
28,0,0,0,H-0-10-5:
28.5,0,0,0,H-0-10-5:
29,0,0,0,H-0-10-5:
29.5,0,0,0,H-0-10-5:
30,0,0,0,H-0-10-5:
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,
33,0,0,0,H-1-10-5:
33.5,0,0,0,H-1-10-5:
34,0,0,0,H-1-10-5:
34.5,0,0,0,H-1-10-5:
35,0,0,0,H-1-10-5:
35.5,0,0,0,H-3-5-2:B
36,0,0,0,H-3-5-2:B
36.5,0,0,0,H-3-5-2:B
37,0,0,0,H-3-5-2:B
37.5,0,0,0,H-3-5-2:B
38,0,0,0,L
38.5,0,0,0,L
39,0,0,0,L
39.5,0,0,0,L
40,0,0,0,L
40.5,0,0,0,
41,0,0,0,
41.5,0,0,0,
42,0,0,0,
42.5,0,0,0,
43,0,0,0,
43.5,0,0,0,
44,0,0,0,
44.5,0,0,0,
45,0,0,0,
45.5,0,0,0,H-3-20-5.38179:P1
46,0,0,0,H-3-20-5.38179:P1
46.5,0,0,0,H-3-20-5.38179:P1
47,0,0,0,H-3-20-5.38179:P1
47.5,0,0,0,H-3-20-5.38179:P1
48,0,0,0,H-1-8-5.443108:C
48.5,0,0,0,H-1-8-5.443108:C
49,0,0,0,H-1-8-5.443108:C
49.5,0,0,0,H-1-8-5.443108:C
50,0,0,0,H-1-8-5.443108:C
50.5,0,0,0,H-0-10-4.73907:
51,0,0,0,H-0-10-4.73907:
51.5,0,0,0,H-0-10-4.73907:
52,0,0,0,H-0-10-4.73907:
52.5,0,0,0,H-0-10-4.73907:
53,0,0,0,H-0-11-4.416344:C
53.5,0,0,0,H-0-11-4.416344:C
54,0,0,0,H-0-11-4.416344:C
54.5,0,0,0,H-0-11-4.416344:C
55,0,0,0,H-0-11-4.416344:C
55.5,0,0,0,H-0-11-4.416344:C
56,0,0,0,H-0-8-5.065322:
56.5,0,0,0,H-0-8-5.065322:
57,0,0,0,H-0-8-5.065322:
57.5,0,0,0,H-0-8-5.065322:
58,0,0,0,H-0-8-5.065322:
58.5,0,0,0,H-1-10-5.728913:
59,0,0,0,H-1-10-5.728913:
59.5,0,0,0,H-1-10-5.728913:
60,0,0,0,H-1-10-5.728913:
60.5,0,0,0,H-1-10-5.728913:
61,0,0,0,H-2-12-2.997415:
61.5,0,0,0,H-2-12-2.997415:
62,0,0,0,H-2-12-2.997415:
62.5,0,0,0,H-2-12-2.997415:
63,0,0,0,H-2-12-2.997415:
63.5,0,0,0,
64,0,0,0,
64.5,0,0,0,
65,0,0,0,
65.5,0,0,0,
66,0,0,0,
66.5,0,0,0,
67,0,0,0,
67.5,0,0,0,
68,0,0,0,
68.5,0,0,0,
69,0,0,0,
69.5,0,0,0,
70,0,0,0,
70.5,0,0,0,
71,0,0,0,
71.5,0,0,0,
72,0,0,0,
72.5,0,0,0,
73,0,0,0,
73.5,0,0,0,
74,0,0,0,
74.5,0,0,0,
75,0,0,0,
75.5,0,0,0,
76,0,0,0,
76.5,0,0,0,
77,0,0,0,N
77.5,0,0,0,N
78,0,0,0,N
78.5,0,0,0,N
79,0,0,0,N
79.5,0,0,0,N
80,0,0,0,N
80.5,0,0,0,N
81,0,0,0,N
81.5,0,0,0,N
82,0,0,0,N
82.5,0,0,0,N
83,0,0,0,N
83.5,0,0,0,N
84,0,0,0,N
84.5,0,0,0,N
85,0,0,0,N
85.5,0,0,0,N
86,0,0,0,N
86.5,0,0,0,N
87,0,0,0,N
87.5,0,0,0,N
88,0,0,0,N
88.5,0,0,0,N
89,0,0,0,N
89.5,0,0,0,N
90,0,0,0,N
90.5,0,0,0,N
91,0,0,0,N
91.5,0,0,0,N
92,0,0,0,N
92.5,0,0,0,N
93,0,0,0,N
93.5,0,0,0,N
94,0,0,0,N
94.5,0,0,0,N
95,0,0,0,N
95.5,0,0,0,N
96,0,0,0,N
96.5,0,0,0,N
97,0,0,0,N
97.5,0,0,0,N
98,0,0,0,N
98.5,0,0,0,N
99,0,0,0,N
99.5,0,0,0,N
100,0,0,0,N
100.5,0,0,0,N
101,0,0,0,N
101.5,0,0,0,N
102,0,0,0,N
102.5,0,0,0,N
103,0,0,0,N
103.5,0,0,0,N
104,0,0,0,N
104.5,0,0,0,N
105,0,0,0,N
105.5,0,0,0,N
106,0,0,0,N
106.5,0,0,0,N
107,0,0,0,N
107.5,0,0,0,N
108,0,0,0,N
108.5,0,0,0,N
109,0,0,0,N
109.5,0,0,0,N
110,0,0,0,N
110.5,0,0,0,N
111,0,0,0,N
111.5,0,0,0,N
112,0,0,0,N
112.5,0,0,0,N
113,0,0,0,N
113.5,0,0,0,N
114,0,0,0,N
114.5,0,0,0,N
115,0,0,0,N
115.5,0,0,0,N
116,0,0,0,N
116.5,0,0,0,N
117,0,0,0,N
117.5,0,0,0,N
118,0,0,0,N
118.5,0,0,0,N
119,0,0,0,N
119.5,0,0,0,N
120,0,0,0,N
120.5,0,0,0,H-3-14.86315-2.070915:
121,0,0,0,H-3-14.86315-2.070915:
121.5,0,0,0,H-3-14.86315-2.070915:
122,0,0,0,H-3-14.86315-2.070915:
122.5,0,0,0,H-3-14.86315-2.070915:
123,0,0,0,H-3-14.86315-2.070915:
123.5,0,0,0,H-3-14.86315-2.070915:
124,0,0,0,H-3-14.86315-2.070915:
124.5,0,0,0,H-3-14.86315-2.070915:
125,0,0,0,H-3-14.86315-2.070915:
125.5,0,0,0,H-3-14.86315-2.070915:
126,0,0,0,H-3-14.86315-2.070915:
126.5,0,0,0,H-3-14.86315-2.070915:
127,0,0,0,H-3-14.86315-2.070915:
127.5,0,0,0,H-3-14.86315-2.070915:
128,0,0,0,H-3-14.86315-2.070915:
128.5,0,0,0,H-3-14.86315-2.070915:
129,0,0,0,H-3-14.86315-2.070915:
129.5,0,0,0,H-3-14.86315-2.070915:
130,0,0,0,H-3-14.86315-2.070915:
130.5,0,0,0,H-3-14.86315-2.070915:
131,0,0,0,H-3-14.86315-2.070915:
131.5,0,0,0,H-3-14.86315-2.070915:
132,0,0,0,H-3-14.86315-2.070915:
132.5,0,0,0,H-3-14.86315-2.070915:
133,0,0,0,H-3-14.86315-2.070915:
133.5,0,0,0,H-3-14.86315-2.070915:
134,0,0,0,H-3-14.86315-2.070915:
134.5,0,0,0,H-3-14.86315-2.070915:
135,0,0,0,H-3-14.86315-2.070915:
135.5,0,0,0,H-3-14.86315-2.070915:
136,0,0,0,H-3-14.86315-2.070915:
136.5,0,0,0,H-3-14.86315-2.070915:
137,0,0,0,H-3-14.86315-2.070915:
