Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,P3
2,0,0,0,P3
2.5,0,0,0,P3
3,0,0,0,P3
3.5,0,0,0,P3
4,0,0,0,P3
4.5,0,0,0,
5,0,0,0,
5.5,0,0,0,
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,P3
12.5,0,0,0,P3
13,0,0,0,P3
13.5,0,0,0,C
14,0,0,0,C
14.5,0,0,0,C
15,0,0,0,
15.5,0,0,0,
16,0,0,0,H-0-10-5:
16.5,0,0,0,H-0-10-5:
17,0,0,0,H-0-10-5:
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,H-1-10-5:
19,0,0,0,H-1-10-5:
19.5,0,0,0,H-1-10-5:
20,0,0,0,H-1-10-5:
20.5,0,0,0,H-3-5-2:B
21,0,0,0,H-3-5-2:B
21.5,0,0,0,H-3-5-2:B
22,0,0,0,L
22.5,0,0,0,L
23,0,0,0,L
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,P2
26.5,0,0,0,P2
27,0,0,0,C
27.5,0,0,0,C
28,0,0,0,C
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,H-1-10-5:
30,0,0,0,H-1-10-5:
30.5,0,0,0,H-1-10-5:
31,0,0,0,
31.5,0,0,0,
32,0,0,0,H-3-10-5:
32.5,0,0,0,H-3-10-5:
33,0,0,0,H-3-10-5:
33.5,0,0,0,H-3-10-5:
34,0,0,0,H-3-10-5:
34.5,0,0,0,H-3-10-5:
35,0,0,0,H-3-10-5:
35.5,0,0,0,H-3-10-5:
36,0,0,0,H-3-10-5:
36.5,0,0,0,H-3-10-5:
37,0,0,0,H-3-10-5:
37.5,0,0,0,H-3-10-5:
38,0,0,0,H-3-10-5:
38.5,0,0,0,H-3-10-5:
39,0,0,0,H-3-10-5:
39.5,0,0,0,H-3-10-5:
40,0,0,0,H-3-10-5:
40.5,0,0,0,H-3-10-5:
41,0,0,0,H-3-10-5:
41.5,0,0,0,H-3-10-5:
42,0,0,0,H-3-10-5:
42.5,0,0,0,H-3-10-5:
43,0,0,0,H-3-10-5:
43.5,0,0,0,H-3-10-5:
44,0,0,0,H-3-10-5:
44.5,0,0,0,H-3-10-5:
45,0,0,0,H-0-5-2:B
45.5,0,0,0,H-0-5-2:B
46,0,0,0,H-0-5-2:B
46.5,0,0,0,H-0-5-2:B
47,0,0,0,H-0-5-2:B
47.5,0,0,0,H-0-5-2:B
48,0,0,0,H-0-5-2:B
48.5,0,0,0,H-0-5-2:B
49,0,0,0,H-0-5-2:B
49.5,0,0,0,H-0-5-2:B
50,0,0,0,H-0-5-2:B
50.5,0,0,0,H-0-5-2:B
51,0,0,0,H-0-5-2:B
51.5,0,0,0,H-0-5-2:B
52,0,0,0,H-0-5-2:B
52.5,0,0,0,H-0-5-2:B
53,0,0,0,H-0-5-2:B
53.5,0,0,0,H-0-5-2:B
54,0,0,0,H-0-5-2:B
54.5,0,0,0,H-0-5-2:B
55,0,0,0,H-0-5-2:B
55.5,0,0,0,H-0-5-2:B
56,0,0,0,H-0-5-2:B
56.5,0,0,0,H-0-5-2:B
57,0,0,0,H-0-5-2:B
57.5,0,0,0,H-0-5-2:B
58,0,0,0,H-0-5-2:B
58.5,0,0,0,H-0-5-2:B
59,0,0,0,H-0-5-2:B
59.5,0,0,0,H-0-5-2:B
60,0,0,0,H-0-5-2:B
60.5,0,0,0,H-0-5-2:B
61,0,0,0,H-0-5-2:B
61.5,0,0,0,H-0-5-2:B
62,0,0,0,H-0-5-2:B
62.5,0,0,0,H-0-5-2:B
63,0,0,0,H-0-5-2:B
63.5,0,0,0,H-0-5-2:B
64,0,0,0,H-0-5-2:B
64.5,0,0,0,H-0-5-2:B
65,0,0,0,H-0-5-2:B
65.5,0,0,0,H-0-5-2:B
66,0,0,0,H-0-5-2:B
66.5,0,0,0,H-0-5-2:B
67,0,0,0,H-0-5-2:B
67.5,0,0,0,H-0-5-2:B
68,0,0,0,H-0-5-2:B
68.5,0,0,0,H-0-5-2:B
69,0,0,0,H-0-5-2:B
69.5,0,0,0,H-0-5-2:B
70,0,0,0,H-0-5-2:B
70.5,0,0,0,H-0-5-2:B
71,0,0,0,H-0-5-2:B
71.5,0,0,0,H-0-5-2:B
72,0,0,0,H-0-5-2:B
72.5,0,0,0,H-0-5-2:B
73,0,0,0,H-0-5-2:B
73.5,0,0,0,H-0-5-2:B
74,0,0,0,H-0-5-2:B
74.5,0,0,0,H-0-5-2:B
75,0,0,0,H-0-5-2:B
75.5,0,0,0,H-0-5-2:B
76,0,0,0,H-0-5-2:B
76.5,0,0,0,H-0-5-2:B
77,0,0,0,H-0-5-2:B
77.5,0,0,0,H-0-5-2:B
78,0,0,0,L
78.5,0,0,0,L
79,0,0,0,L
79.5,0,0,0,L
80,0,0,0,L
80.5,0,0,0,
81,0,0,0,
81.5,0,0,0,
82,0,0,0,
82.5,0,0,0,
83,0,0,0,
83.5,0,0,0,H-1-11-4.076297:
84,0,0,0,H-1-11-4.076297:
84.5,0,0,0,D
85,0,0,0,D
85.5,0,0,0,D
86,0,0,0,U
86.5,0,0,0,U
87,0,0,0,
87.5,0,0,0,
88,0,0,0,
88.5,0,0,0,H-0-8-3.407686:BP2
89,0,0,0,H-0-8-3.407686:BP2
89.5,0,0,0,H-1-6-5.138978:BP3
90,0,0,0,H-1-6-5.138978:BP3
90.5,0,0,0,H-1-6-5.138978:BP3
91,0,0,0,H-0-10-3.661829:
91.5,0,0,0,H-0-10-3.661829:
92,0,0,0,H-2-14-2.683193:
92.5,0,0,0,H-2-14-2.683193:
93,0,0,0,H-2-14-2.683193:
93.5,0,0,0,N
94,0,0,0,N
94.5,0,0,0,N
95,0,0,0,H-1-4.231426-2.489773:
95.5,0,0,0,H-1-4.231426-2.489773:
96,0,0,0,H-2-16.70147-3.412215:
96.5,0,0,0,H-2-16.70147-3.412215:
97,0,0,0,H-2-16.70147-3.412215:
97.5,0,0,0,H-1-8.96207-5.177596:
98,0,0,0,H-1-8.96207-5.177596:
98.5,0,0,0,H-2-3.563625-2.98336:
99,0,0,0,H-2-3.563625-2.98336:
99.5,0,0,0,H-2-3.563625-2.98336:
100,0,0,0,H-3-15.95177-2.993931:C
100.5,0,0,0,H-3-15.95177-2.993931:C
101,0,0,0,H-1-3.422346-3.364994:
101.5,0,0,0,H-1-3.422346-3.364994:
102,0,0,0,H-1-3.422346-3.364994:
102.5,0,0,0,H-3-11.78266-3.323592:
103,0,0,0,H-3-11.78266-3.323592:
103.5,0,0,0,H-1-3.583733-5.386302:C
104,0,0,0,H-1-3.583733-5.386302:C
104.5,0,0,0,H-1-3.583733-5.386302:C
105,0,0,0,H-1-12.49039-2.485944:C
105.5,0,0,0,H-1-12.49039-2.485944:C
106,0,0,0,H-0-11.31355-4.847039:
106.5,0,0,0,
107,0,0,0,
107.5,0,0,0,
108,0,0,0,X
108.5,0,0,0,X
109,0,0,0,X
109.5,0,0,0,H-2-8-2.938976:P3
110,0,0,0,H-2-8-2.938976:P3
110.5,0,0,0,H-2-8-2.938976:P3
111,0,0,0,H-3-20-2.935283:P3
111.5,0,0,0,H-3-20-2.935283:P3
112,0,0,0,H-2-8-3.204855:C
112.5,0,0,0,H-2-8-3.204855:C
113,0,0,0,H-2-8-3.204855:C
113.5,0,0,0,H-1-5-3.054415:
114,0,0,0,H-1-5-3.054415:
114.5,0,0,0,D
115,0,0,0,D
115.5,0,0,0,D
116,0,0,0,U
