Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,0,0,0,C
9,0,0,0,C
9.5,0,0,0,C
10,0,0,0,C
10.5,0,0,0,C
11,0,0,0,C
11.5,0,0,0,C
12,0,0,0,C
12.5,0,0,0,C
13,0,0,0,C
13.5,0,0,0,C
14,0,0,0,C
14.5,0,0,0,C
15,0,0,0,P1
15.5,0,0,0,P1
16,0,0,0,P1
16.5,0,0,0,P1
17,0,0,0,P1
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,
21,0,0,0,
21.5,0,0,0,P1
22,0,0,0,P1
22.5,0,0,0,P1
23,0,0,0,C
23.5,0,0,0,C
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,H-0-10-5:
26,0,0,0,H-0-10-5:
26.5,0,0,0,H-0-10-5:
27,0,0,0,
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,H-1-10-5:
31,0,0,0,H-1-10-5:
31.5,0,0,0,H-1-10-5:
32,0,0,0,H-3-5-2:B
32.5,0,0,0,H-3-5-2:B
33,0,0,0,L
33.5,0,0,0,L
34,0,0,0,L
34.5,0,0,0,
35,0,0,0,
35.5,0,0,0,
36,0,0,0,
36.5,0,0,0,
37,0,0,0,P2
37.5,0,0,0,P2
38,0,0,0,C
38.5,0,0,0,C
39,0,0,0,C
39.5,0,0,0,
40,0,0,0,
40.5,0,0,0,
41,0,0,0,
41.5,0,0,0,
42,0,0,0,
42.5,0,0,0,
43,0,0,0,
43.5,0,0,0,
44,0,0,0,
44.5,0,0,0,
45,0,0,0,
45.5,0,0,0,
46,0,0,0,
46.5,0,0,0,
47,0,0,0,
47.5,0,0,0,
48,0,0,0,
48.5,0,0,0,
49,0,0,0,
49.5,0,0,0,H-1-14-4.359903:C
50,0,0,0,H-1-14-4.359903:C
50.5,0,0,0,H-2-13-3.374323:BC
51,0,0,0,H-2-13-3.374323:BC
51.5,0,0,0,H-2-13-3.374323:BC
52,0,0,0,H-0-13-5.510131:B
52.5,0,0,0,H-0-13-5.510131:B
53,0,0,0,H-3-20-2.24248:C
53.5,0,0,0,H-3-20-2.24248:C
54,0,0,0,H-3-20-2.24248:C
54.5,0,0,0,H-1-12-3.924255:
55,0,0,0,H-1-12-3.924255:
55.5,0,0,0,
56,0,0,0,
56.5,0,0,0,
57,0,0,0,H-0-15-5.142673:C
57.5,0,0,0,H-0-15-5.142673:C
58,0,0,0,H-0-15-5.142673:C
58.5,0,0,0,H-1-15-2.671449:C
59,0,0,0,H-1-15-2.671449:C
59.5,0,0,0,N
60,0,0,0,N
60.5,0,0,0,N
61,0,0,0,
61.5,0,0,0,
62,0,0,0,H-2-15.38071-3.479138:
62.5,0,0,0,H-2-15.38071-3.479138:
63,0,0,0,H-2-15.38071-3.479138:
63.5,0,0,0,H-2-14.34253-3.486064:
64,0,0,0,H-2-14.34253-3.486064:
64.5,0,0,0,H-2-11.55602-2.92875:
65,0,0,0,H-2-11.55602-2.92875:
65.5,0,0,0,H-2-11.55602-2.92875:
66,0,0,0,H-3-6.968171-5.590499:
66.5,0,0,0,H-3-6.968171-5.590499:
67,0,0,0,
67.5,0,0,0,
68,0,0,0,
68.5,0,0,0,
69,0,0,0,
69.5,0,0,0,H-3-17.49277-4.717132:
70,0,0,0,H-3-17.49277-4.717132:
70.5,0,0,0,H-3-17.49277-4.717132:
71,0,0,0,H-3-17.49277-4.717132:
71.5,0,0,0,H-3-17.49277-4.717132:
72,0,0,0,H-3-17.49277-4.717132:
72.5,0,0,0,H-3-17.49277-4.717132:
73,0,0,0,H-3-17.49277-4.717132:
73.5,0,0,0,H-3-17.49277-4.717132:
74,0,0,0,H-3-17.49277-4.717132:
74.5,0,0,0,H-3-17.49277-4.717132:
75,0,0,0,H-3-17.49277-4.717132:
75.5,0,0,0,H-3-17.49277-4.717132:
76,0,0,0,H-3-17.49277-4.717132:
76.5,0,0,0,H-3-17.49277-4.717132:
77,0,0,0,H-3-17.49277-4.717132:
77.5,0,0,0,H-3-17.49277-4.717132:
78,0,0,0,H-3-17.49277-4.717132:
78.5,0,0,0,H-3-17.49277-4.717132:
79,0,0,0,H-3-17.49277-4.717132:
79.5,0,0,0,H-3-17.49277-4.717132:
80,0,0,0,H-3-17.49277-4.717132:
80.5,0,0,0,H-3-17.49277-4.717132:
81,0,0,0,H-3-17.49277-4.717132:
81.5,0,0,0,H-3-17.49277-4.717132:
82,0,0,0,H-3-17.49277-4.717132:
82.5,0,0,0,H-3-17.49277-4.717132:
83,0,0,0,H-3-17.49277-4.717132:
83.5,0,0,0,H-3-17.49277-4.717132:
84,0,0,0,H-3-17.49277-4.717132:
84.5,0,0,0,H-3-17.49277-4.717132:
85,0,0,0,H-3-17.49277-4.717132:
85.5,0,0,0,H-3-17.49277-4.717132:
86,0,0,0,H-3-17.49277-4.717132:
86.5,0,0,0,H-3-17.49277-4.717132:
87,0,0,0,H-3-17.49277-4.717132:
87.5,0,0,0,H-3-17.49277-4.717132:
88,0,0,0,H-3-17.49277-4.717132:
88.5,0,0,0,H-3-17.49277-4.717132:
89,0,0,0,H-3-17.49277-4.717132:
89.5,0,0,0,H-3-17.49277-4.717132:
90,0,0,0,H-3-17.49277-4.717132:
90.5,0,0,0,H-3-17.49277-4.717132:
91,0,0,0,H-3-17.49277-4.717132:
91.5,0,0,0,H-3-17.49277-4.717132:
92,0,0,0,H-3-17.49277-4.717132:
92.5,0,0,0,H-3-17.49277-4.717132:
93,0,0,0,H-3-17.49277-4.717132:
93.5,0,0,0,H-3-17.49277-4.717132:
94,0,0,0,H-3-17.49277-4.717132:
94.5,0,0,0,H-3-17.49277-4.717132:
95,0,0,0,H-3-17.49277-4.717132:
95.5,0,0,0,H-3-17.49277-4.717132:
96,0,0,0,H-3-17.49277-4.717132:
96.5,0,0,0,H-3-17.49277-4.717132:
97,0,0,0,H-3-17.49277-4.717132:
97.5,0,0,0,H-3-17.49277-4.717132:
98,0,0,0,H-3-17.49277-4.717132:
98.5,0,0,0,H-3-17.49277-4.717132:
99,0,0,0,H-3-17.49277-4.717132:
99.5,0,0,0,H-3-17.49277-4.717132:
100,0,0,0,H-3-17.49277-4.717132:
100.5,0,0,0,H-3-17.49277-4.717132:
101,0,0,0,H-3-17.49277-4.717132:
101.5,0,0,0,H-3-17.49277-4.717132:
102,0,0,0,H-3-17.49277-4.717132:
102.5,0,0,0,H-3-17.49277-4.717132:
103,0,0,0,H-3-17.49277-4.717132:
103.5,0,0,0,H-3-17.49277-4.717132:
104,0,0,0,H-3-17.49277-4.717132:
104.5,0,0,0,H-3-17.49277-4.717132:
105,0,0,0,H-3-17.49277-4.717132:
105.5,0,0,0,H-3-17.49277-4.717132:
106,0,0,0,H-3-17.49277-4.717132:
106.5,0,0,0,H-3-17.49277-4.717132:
107,0,0,0,H-3-17.49277-4.717132:
107.5,0,0,0,H-3-17.49277-4.717132:
108,0,0,0,H-3-17.49277-4.717132:
108.5,0,0,0,H-3-17.49277-4.717132:
109,0,0,0,H-3-17.49277-4.717132:
109.5,0,0,0,H-3-17.49277-4.717132:
110,0,0,0,H-3-17.49277-4.717132:
110.5,0,0,0,H-3-17.49277-4.717132:
111,0,0,0,H-3-17.49277-4.717132:
