Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,0,0,0,C
9,0,0,0,C
9.5,0,0,0,P1
10,0,0,0,P1
10.5,0,0,0,P1
11,0,0,0,P1
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,
15,0,0,0,
15.5,0,0,0,P1
16,0,0,0,P1
16.5,0,0,0,C
17,0,0,0,C
17.5,0,0,0,C
18,0,0,0,
18.5,0,0,0,
19,0,0,0,H-0-10-5:
19.5,0,0,0,H-0-10-5:
20,0,0,0,H-0-10-5:
20.5,0,0,0,
21,0,0,0,
21.5,0,0,0,H-1-10-5:
22,0,0,0,H-1-10-5:
22.5,0,0,0,H-1-10-5:
23,0,0,0,H-3-5-2:B
23.5,0,0,0,H-3-5-2:B
24,0,0,0,L
24.5,0,0,0,L
25,0,0,0,L
25.5,0,0,0,
26,0,0,0,
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,
28,0,0,0,P3
28.5,0,0,0,P3
29,0,0,0,C
29.5,0,0,0,C
30,0,0,0,C
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,
33,0,0,0,
33.5,0,0,0,
34,0,0,0,
34.5,0,0,0,
35,0,0,0,
35.5,0,0,0,
36,0,0,0,
36.5,0,0,0,
37,0,0,0,
37.5,0,0,0,
38,0,0,0,
38.5,0,0,0,
39,0,0,0,
39.5,0,0,0,
40,0,0,0,
40.5,0,0,0,H-3-20-5.504882:
41,0,0,0,H-3-20-5.504882:
41.5,0,0,0,H-3-20-5.504882:
42,0,0,0,H-3-20-3.241901:BP2
42.5,0,0,0,H-3-20-3.241901:BP2
43,0,0,0,H-1-11-5.017282:
43.5,0,0,0,H-1-11-5.017282:
44,0,0,0,H-1-11-5.017282:
44.5,0,0,0,H-1-8-2.839385:
45,0,0,0,H-1-8-2.839385:
45.5,0,0,0,H-3-20-2.743446:
46,0,0,0,H-3-20-2.743446:
46.5,0,0,0,H-3-20-2.743446:
47,0,0,0,H-1-11-2.160374:
47.5,0,0,0,H-1-11-2.160374:
48,0,0,0,H-1-15-5.735173:BC
48.5,0,0,0,H-1-15-5.735173:BC
49,0,0,0,H-1-15-5.735173:BC
49.5,0,0,0,H-3-20-4.513392:BP1
50,0,0,0,H-3-20-4.513392:BP1
50.5,0,0,0,N
51,0,0,0,N
51.5,0,0,0,N
52,0,0,0,H-1-17.21709-5.540983:
52.5,0,0,0,H-1-17.21709-5.540983:
53,0,0,0,H-3-12.75566-2.390354:CP3
53.5,0,0,0,H-3-12.75566-2.390354:CP3
54,0,0,0,H-3-12.75566-2.390354:CP3
54.5,0,0,0,H-0-16.51251-3.607464:C
55,0,0,0,H-0-16.51251-3.607464:C
55.5,0,0,0,H-0-16.51251-3.607464:C
56,0,0,0,H-3-14.27305-2.066985:
56.5,0,
