Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,14,0,0,P2
6.5,20,0,0,P2
7,24,0,0,P2
7.5,27,0,0,P2
8,30,0,0,P2
8.5,33,0,0,P2
9,33,0,0,P2
9.5,33,0,0,P2
10,32,0,0,P2
10.5,31,0,0,P2
11,23,0,0,P2
11.5,13,0,0,
12,7,0,0,
12.5,4,0,0,
13,19,0,0,
13.5,25,0,0,
14,26,0,0,
14.5,24,0,0,
15,28,0,0,
15.5,30,0,0,
16,30,0,0,
16.5,31,0,0,
17,37,0,0,
17.5,43,0,0,
18,47,0,0,
18.5,49,0,0,
19,48,0,0,
19.5,47,0,0,
20,44,0,0,
20.5,42,0,0,
21,41,0,0,
21.5,42,0,0,
22,43,0,0,
22.5,44,70,0,
23,45,70,0,
23.5,45,70,0,
24,45,70,0,
24.5,45,72,0,P2
25,44,72,0,P2
25.5,44,72,0,P2
26,44,72,0,P2
26.5,44,75,0,P2
27,44,75,0,P2
27.5,45,75,0,P2
28,49,75,0,C
28.5,56,75,0,C
29,60,75,0,C
29.5,62,75,0,C
30,62,75,0,C
30.5,60,74,0,
31,58,74,0,
31.5,56,74,0,
32,55,74,0,
32.5,53,74,0,
33,52,74,0,
33.5,51,74,0,H-0-10-5:
34,50,74,0,H-0-10-5:
34.5,50,74,0,H-0-10-5:
35
