Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,P1
6,0,0,0,P1
6.5,0,0,0,P1
7,0,0,0,P1
7.5,0,0,0,P1
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,P1
13,0,0,0,P1
13.5,0,0,0,P1
14,0,0,0,C
14.5,0,0,0,C
15,0,0,0,
15.5,0,0,0,
16,0,0,0,
16.5,0,0,0,H-0-10-5:
17,0,0,0,H-0-10-5:
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,
19,0,0,0,H-1-10-5:
19.5,0,0,0,H-1-10-5:
20,0,0,0,H-3-5-2:B
20.5,0,0,0,H-3-5-2:B
21,0,0,0,H-3-5-2:B
21.5,0,0,0,L
22,0,0,0,L
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,H-3-20-3.965118:C
25.5,0,0,0,H-3-20-3.965118:C
26,0,0,0,H-3-20-3.965118:C
26.5,0,0,0,H-1-12-5.135196:
27,0,0,0,H-1-12-5.135196:
27.5,0,0,0,H-1-12-5.135196:
28,0,0,0,H-0-4-4.469947:
28.5,0,0,0,H-0-4-4.469947:
29,0,0,0,H-1-12-3.048865:
29.5,0,0,0,H-1-12-3.048865:
30,0,0,0,H-1-12-3.048865:
30.5,0,0,0,H-2-12-2.813229:C
31,0,0,0,H-2-12-2.813229:C
31.5,0,0,0,H-2-10-2.533782:C
32,0,0,0,H-2-10-2.533782:C
32.5,0,0,0,H-2-10-2.533782:C
33,0,0,0,H-3-20-4.879798:
33.5,0,0,0,H-3-20-4.879798:
34,0,0,0,H-3-20-5.122687:
34.5,0,0,0,H-3-20-5.122687:
35,0,0,0,H-3-20-5.122687:
35.5,0,0,0,N
36,0,0,0,N
36.5,0,0,0,H-0-9.227607-2.879774:
37,0,0,0,H-0-9.227607-2.879774:
37.5,0,0,0,H-0-9.227607-2.879774:
38,0,0,0,
38.5,0,0,0,
39,0,0,0,H-2-7.759976-3.255709:
39.5,0,0,0,H-2-7.759976-3.255709:
40,0,0,0,H-2-7.759976-3.255709:
40.5,0,0,0,
41,0,0,0,
41.5,0,0,0,
42,0,0,0,
42.5,0,0,0,
43,0,0,0,H-1-6.048848-4.112083:
43.5,0,0,0,H-1-6.048848-4.112083:
44,0,0,0,H-2-15.98751-2.674964:
44.5,0,0,0,H-2-15.98751-2.674964:
45,0,0,0,H-2-15.98751-2.674964:
45.5,0,0,0,
46,0,0,0,
46.5,0,0,0,
47,0,0,0,
47.5,0,0,0,
48,0,0,0,
48.5,0,0,0,
49,0,0,0,X
49.5,0,0,0,X
50,0,0,0,X
50.5,0,0,0,H-2-6-2.849598:
51,0,0,0,H-2-6-2.849598:
51.5,0,0,0,H-0-7-4.938668:C
52,0,0,0,H-0-7-4.938668:C
52.5,0,0,0,H-0-7-4.9386
