Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,P1
4,0,0,0,P1
4.5,0,0,0,P1
5,0,0,0,P1
5.5,0,0,0,P1
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,P1
12,0,0,0,P1
12.5,0,0,0,P1
13,0,0,0,C
13.5,0,0,0,C
14,0,0,0,
14.5,0,0,0,
15,0,0,0,
15.5,0,0,0,H-0-10-5:
16,0,0,0,H-0-10-5:
16.5,0,0,0,
17,0,0,0,
17.5,0,0,0,
18,0,0,0,H-1-10-5:
18.5,0,0,0,H-1-10-5:
19,0,0,0,H-3-5-2:B
19.5,0,0,0,H-3-5-2:B
20,0,0,0,H-3-5-2:B
20.5,0,0,0,L
21,0,0,0,L
21.5,0,0,0,
22,0,0,0,
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,
24,0,0,0,H-1-12-2.421968:
24.5,0,0,0,H-1-12-2.421968:
25,0,0,0,H-1-12-2.421968:
25.5,0,0,0,H-3-20-3.560273:C
26,0,0,0,H-3-20-3.560273:C
26.5,0,0,0,H-1-10-5.810457:
27,0,0,0,H-1-10-5.810457:
27.5,0,0,0,H-1-10-5.810457:
28,0,0,0,H-0-12-4.684417:C
28.5,0,0,0,H-0-12-4.684417:C
29,0,0,0,H-2-12-2.53204:C
29.5,0,0,0,H-2-12-2.53204:C
30,0,0,0,H-2-12-2.53204:C
30.5,0,0,0,H-3-20-5.721091:
31,0,0,0,H-3-20-5.721091:
31.5,0,0,0,H-0-12-3.979951:
32,0,0,0,H-0-12-3.979951:
32.5,0,0,0,H-0-12-3.979951:
33,0,0,0,H-0-9-2.803549:
33.5,0,0,0,H-0-9-2.803549:
34,0,0,0,N
34.5,0,0,0,N
35,0,0,0,N
35.5,0,0,0,
36,0,0,0,
36.5,0,0,0,H-0-16.212-5.040834:
37,0,0,0,H-0-16.212-5.040834:
37.5,0,0,0,H-0-16.212-5.040834:
38,0,0,0,
38.5,0,0,0,
39,0,0,0,
39.5,0,0,0,
40,0,0,0,
40.5,0,0,0,H-3-10.68455-2.895034:
41,0,0,0,H-3-10.68455-2.895034:
41.5,0,0,0,H-3-10.68455-2.895034:
42,0,0,0,
42.5,0,0,0,
43,0,0,0,
43.5,0,0,0,
44,0,0,0,
44.5,0,0,0,
45,0,0,0,
45.5,0,0,0,
46,0,0,0,
46.5,0,0,0,
47,0,0,0,H-0-4.4641-5.802239:
47.5,0,0,0,H-0-4.4641-5.802239:
48,0,0,0,X
48.5,0,0,0,X
49,0,0,0,X
49.5,0,0,0,H-2-8-3.159381:
50,0,0,0,H-2-8-3.159381:
50.5,0,0,0,H-3-20-3.102473:
51,0,0,0,H-3-20-3.102473:
51.5,0,0,0,H-3-20-3.102473:
52,0,0,0,H-2-14-2.897209:
52.5,0,0,0,H-2-14-2.897209:
53,0,0,0,H-2-5-3.242891:C
53.5,0,0,0,H-2-5-3.242891:C
54,0,0,0,H-2-5-3.242891:C
54.5,0,0,0,
55,0,0,0,
55.5,0,0,0,H-3-20-2.410951:
56,0,0,0,H-3-20-2.410951:
56.5,0,0,0,H-3-20-2.410951:
57,0,0,0,H-1-11-5.841678:
57.5,0,0,0,H-1-11-5.841678:
58,0,0,0,H-2-7-2.883257:P2
58.5,0,0,0,H-2-7-2.883257:P2
59,0,0,0,H-2-7-2.883257:P2
59.5,0,0,0,H-2-9-2.558177:
60,0,0,0,H-2-9-2.558177:
60.5,0,0,0,H-1-9-2.246909:
61,0,0,0,H-1-9-2.246909:
61.5,0,0,0,H-1-9-2.246909:
62,0,0,0,N
62.5,0,0,0,N
63,0,0,0,H-2-6.058766-2.759906:CP1
63.5,0,0,0,H-2-6.058766-2.759906:CP1
64,0,0,0,H-2-6.058766-2.759906:CP1
64.5,0,0,0,H-1-5.903755-2.385465:
65,0,0,0,H-1-5.903755-2.385465:
65.5,0,0,0,H-3-10.97406-4.867027:
66,0,0,0,H-3-10.97406-4.867027:
66.5,0,0,0,H-3-10.97406-4.867027:
67,0,0,0,H-0-13.72576-4.946861:
67.5,0,0,0,H-0-13.72576-4.946861:
68,0,0,0,H-1-15.15835-2.450238:
68.5,0,0,0,H-1-15.15835-2.450238:
69,0,0,0,H-1-15.15835-2.450238:
69.5,0,0,0,H-2-17.19305-2.832673:C
70,0,0,0,H-2-17.19305-2.832673:C
70.5,0,0,0,H-3-13.47104-4.367785:
71,0,0,0,H-3-13.47104-4.367785:
7
