Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,P2
2.5,0,0,0,P2
3,0,0,0,P2
3.5,0,0,0,P2
4,0,0,0,
4.5,0,0,0,
5,0,0,0,
5.5,0,0,0,
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,P2
8,0,0,0,P2
8.5,0,0,0,P2
9,0,0,0,C
9.5,0,0,0,C
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,H-0-10-5:
12,0,0,0,H-0-10-5:
12.5,0,0,0,H-0-10-5:
13,0,0,0,
13.5,0,0,0,
14,0,0,0,H-1-10-5:
14.5,0,0,0,H-1-10-5:
15,0,0,0,H-1-10-5:
15.5,0,0,0,H-3-5-2:B
16,0,0,0,H-3-5-2:B
16.5,0,0,0,L
17,0,0,0,L
17.5,0,0,0,L
18,0,0,0,
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,P1
21,0,0,0,P1
21.5,0,0,0,P1
22,0,0,0,C
22.5,0,0,0,C
23,0,0,0,C
23.5,0,0,0,C
24,0,0,0,C
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,
28,0,0,0,H-1-10-5:
28.5,0,0,0,H-1-10-5:
29,0,0,0,H-1-10-5:
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,
31,0,0,0,H-3-10-5:
31.5,0,0,0,H-3-10-5:
32,0,0,0,H-0-5-2:B
32.5,0,0,0,H-0-5-2:B
33,0,0,0,H-0-5-2:B
33.5,0,0,0,L
34,0,0,0,L
34.5,0,0,0,
35,0,0,0,
35.5,0,0,0,
36,0,0,0,
36.5,0,0,0,
37,0,0,0,H-1-6-4.615442:BC
37.5,0,0,0,H-1-6-4.615442:BC
38,0,0,0,H-1-6-4.615442:BC
38.5,0,0,0,H-1-12-2.246785:
39,0,0,0,H-1-12-2.246785:
39.5,0,0,0,H-1-5-5.852332:P1C
40,0,0,0,H-1-5-5.852332:P1C
40.5,0,0,0,H-1-5-5.852332:P1C
41,0,0,0,H-3-20-3.247:C
41.5,0,0,0,H-3-20-3.247:C
42,0,0,0,H-0-10-4.772863:
42.5,0,0,0,H-0-10-4.772863:
43,0,0,0,H-0-10-4.772863:
43.5,0,0,0,H-1-11-2.044383:
44,0,0,0,H-1-11-2.044383:
44.5,0,0,0,H-3-20-2.007869:C
45,0,0,0,H-3-20-2.007869:C
45.5,0,0,0,H-3-20-2.007869:C
46,0,0,0,H-0-7-4.393878:
46.5,0,0,0,H-0-7-4.393878:
47,0,0,0,N
47.5,0,0,0,N
48,0,0,0,N
61,0,0,0,X
61.5,0,0,0,X
62,0,0,0,X
62.5,0,0,0,H-2-7-3.432073:
63,0,0,0,H-2-7-3.432073:
63.5,0,0,0,H-2-10-2.755209:
64,0,0,0,H-2-10-2.755209:
64.5,0,0,0,H-2-10-2.755209:
65,0,0,0,H-3-20-2.907231:C
65.5,0,0,0,H-3-20-2.907231:C
66,0,0,0,H-2-12-2.637234:C
66.5,0,0,0,H-2-12-2.637234:C
67,0,0,0,H-2-12-2.637234:C
67.5,0,0,0,H-0-15-4.604847:
68,0,
