Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,P1
2.5,0,0,0,P1
3,0,0,0,P1
3.5,0,0,0,P1
4,0,0,0,P1
4.5,0,0,0,
5,0,0,0,
5.5,0,0,0,
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,P1
9,0,0,0,P1
9.5,0,0,0,P1
10,0,0,0,C
10.5,0,0,0,C
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,H-0-10-5:
13,0,0,0,H-0-10-5:
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,
15,0,0,0,H-1-10-5:
15.5,0,0,0,H-1-10-5:
16,0,0,0,H-3-5-2:B
16.5,0,0,0,H-3-5-2:B
17,0,0,0,H-3-5-2:B
17.5,0,0,0,L
18,0,0,0,L
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,
21,0,0,0,P1
21.5,0,0,0,P1
22,0,0,0,P1
22.5,0,0,0,C
23,0,0,0,C
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,H-1-10-5:
25.5,0,0,0,H-1-10-5:
26,0,0,0,
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,H-3-10-5:
28,0,0,0,H-3-10-5:
28.5,0,0,0,H-0-5-2:B
29,0,0,0,H-0-5-2:B
29.5,0,0,0,H-0-5-2:B
30,0,0,0,L
30.5,0,0,0,L
31,0,0,0,
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,
33,0,0,0,
33.5,0,0,0,H-0-7-5.043348:C
34,0,0,0,H-0-7-5.043348:C
34.5,0,0,0,H-0-7-5.043348:C
35,0,0,0,H-1-13-2.193477:
35.5,0,0,0,H-1-13-2.193477:
36,0,0,0,H-3-20-2.976189:
36.5,0,0,0,H-3-20-2.976189:
37,0,0,0,H-3-20-2.976189:
37.5,0,0,0,H-0-18-2.339082:BC
38,0,0,0,H-0-18-2.339082:BC
38.5,0,0,0,H-0-18-2.339082:BC
39,0,0,0,H-2-9-3.344785:
39.5,0,0,0,H-2-9-3.344785:
40,0,0,0,H-0-15-2.720293:
40.5,0,0,0,H-0-15-2.720293:
41,0,0,0,H-0-15-2.720293:
41.5,0,0,0,H-0-13-3.414086:B
42,0,0,0,H-0-13-3.414086:B
42.5,0,0,0,H-1-9-3.646643:
43,0,0,0,H-1-9-3.646643:
43.5,0,0,0,H-1-9-3.646643:
44,0,0,0,N
44.5,0,0,0,N
45,0,0,0,H-0-16.03819-4.756731:C
45.5,0,0,0,H-0-16.03819-4.756731:C
46,0,0,0,H-0-16.03819-4.756731:C
46.5,0,0,0,H-0-7.361096-2.484559:P2
47,0,0,0,H-0-7.361096-2.484559:P2
47.5,0,0,0,H-3-9.965774-4.340519:
48,0,0,0,H-3-9.965774-4.340519:
48.5,0,0,0,H-3-9.965774-4.340519:
49,0,0,0,H-2-17.28029-3.209625:
49.5,0,0,0,H-2-17.28029-3.209625:
50,0,0,0,H-2-15.22003-2.79972:
50.5,0,0,0,H-2-15.22003-2.79972:
51,0,0,0,H-2-15.22003-2.79972:
51.5,0,0,0,H-0-7.22503-2.293777:
52,0,0,0,H-0-7.22503-2.293777:
52.5,0,0,0,H-1-4.499025-4.707253:P3
53,0,0,0,H-1-4.499025-4.707253:P3
53.5,0,0,0,H-1-4.499025-4.707253:P3
54,0,0,0,H-2-14.32814-2.626061:
54.5,0,0,0,H-2-14.32814-2.626061:
55,0,0,0,H-2-12.9367-3.494126:
55.5,0,0,0,H-2-12.9367-3.494126:
56,0,0,0,H-1-16.10807-2.834387:
56.5,0,0,0,H-1-3.017155-4.391794:
57,0,0,0,H-1-3.017155-4.391794:
57.5,0,0,0,X
58,0,0,0,X
58.5,0,0,0,X
59,0,0,0,H-0-8-5.779674:C
59.5,0,0,0,H-0-8-5.779674:C
60,0,0,0,H-0-9-5.508054:
60.5,0,0,0,H-0-9-5.508054:
61,0,0,0,H-0-9-5.508054:
61.5,0,0,0,H-1-8-2.125859:C
62,0,0,0,H-1-8-2.125859:C
62.5,0,0,0,H-1-10-5.380702:B
63,0,0,0,H-1-10-5.380702:B
63.5,0,0,0,H-1-10-5.380702:B
64,0,0,0,H-2-9-2.600805:C
64.5,0,0,0,H-2-9-2.600805:C
65,0,0,0,H-3-20-3.135551:P1
65.5,0,0,0,H-3-20-3.135551:P1
66,0,0,0,H-3-20-3.135551:P1
66.5,0,0,0,H-3-20-4.322349:
67,0,0,0,H-3-20-4.322349:
67.5,0,0,0,H-0-7-4.495992:
68,0,0,0,H-0-7-4.495992:
68.5,0,0,0,H-0-7-4.495992:
69,0,0,0,H-3-20-2.941067:B
69.5,0,0,0,H-3-20-2.941067:B
70,0,0,0,
70.5,0,0,0,
71,0,0,0,
71.5,0,0,0,N
72,0,0,0,N
72.5,0,0,0,N
73,0,0,0,H-3-9.538203-3.772275:P3
73.5,0,0,0,H-3-9.538203-3.772275:P3
74,0,0,0,H-1-15.45569-4.022605:C
74.5,0,0,0,H-1-15.45569-4.022605:C
75,0,0,0,H-1-15.45569-4.022605:C
75.5,0,0,0,H-0-4.336479-3.646393:P2
76,0,0,0,H-0-4.336479-3.646393:P2
76.5,0,0,0,H-2-7.491683-2.67024:
77,0,0,0,H-2-7.491683-2.67024:
77.5,0,0,0,H-2-7.491683-2.67024:
78,0,0,0,H-3-7.841855-2.454676:
78.5,0,0,0,H-3-7.841855-2.454676:
79,0,0,0,H-3-14.15064-3.92657:CP1
79.5,0,0,0,H-3-14.15064-3.92657:CP1
80,0,0,0,H-3-14.15064-3.92657:CP1
80.5,0,0,0,H-1-9.662303-3.743704:CP1
81,0,0,0,H-1-9.662303-3.743704:CP1
81.5,0,0,0,H-2-3.290585-3.406158:P1
82,0,0,0,H-2-3.290585-3.406158:P1
82.5,0,0,0,H-2-3.290585-3.406158:P1
83,0,0,0,H-0-3.647654-2.600384:P3
83.5,0,0,0,H-1-15.1523-3.761942:
84,0,0,0,
84.5,0,0,0,H-3-17.78551-3.412209:
85,0,0,0,H-3-17.78551-3.412209:
85.5,0,0,0,X
86,0,0,0,X
86.5,0,0,0,H-1-6-3.342581:
87,0,0,0,H-1-6-3.342581:
87.5,0,0,0,H-1-6-3.342581:
88,0,0,0,H-1-12-2.013013:
88.5,0,0,0,H-1-12-2.013013:
89,0,0,0,H-0-10-2.762914:BP1
89.5,0,0,0,H-0-10-2.762914:BP1
90,0,0,0,H-0-10-2.762914:BP1
90.5,0,0,0,H-3-20-3.069151:P3C
91,0,0,0,H-3-20-3.069151:P3C
91.5,0,0,0,H-3-20-5.506217:
92,0,0,0,H-3-20-5.506217:
92.5,0,0,0,H-3-20-5.506217:
93,0,0,0,H-3-20-4.286094:B
93.5,0,0,0,H-3-20-4.286094:B
94,0,0,0,H-2-9-2.955064:B
94.5,0,0,0,H-2-9-2.955064:B
95,0,0,0,H-2-9-2.955064:B
95.5,0,0,0,H-0-3-4.659223:
96,0,0,0,H-0-3-4.659223:
96.5,0,0,0,H-0-4-4.98536:
97,0,0,0,H-0-4-4.98536:
97.5,0,0,0,H-0-4-4.98536:
98,0,0,0,H-3-20-5.579227:
98.5,0,0,0,H-3-20-5.579227:
99,0,0,0,H-3-20-5.579227:
99.5,0,0,0,L
100,0,0,0,L
100.5,0,0,0,
101,0,0,0,
101.5,0,0,0,
102,0,0,0,
102.5,0,0,0,
103,0,0,0,H-0-17-5.221047:BC
103.5,0,0,0,H-0-17-5.221047:BC
104,0,0,0,H-0-17-5.221047:BC
104.5,0,0,0,H-1-8-4.907357:BC
105,0,0,0,H-1-8-4.907357:BC
