Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,P3
4,0,0,0,P3
4.5,0,0,0,P3
5,0,0,0,P3
5.5,0,0,0,P3
6,0,0,0,P3
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,
15,0,0,0,
15.5,0,0,0,
16,0,0,0,
16.5,0,0,0,P3
17,0,0,0,P3
17.5,0,0,0,P3
18,0,0,0,P3
18.5,0,0,0,P3
19,0,0,0,P3
19.5,0,0,0,P3
20,0,0,0,P3
20.5,0,0,0,P3
21,0,0,0,P3
21.5,0,0,0,P3
22,0,0,0,P3
22.5,0,0,0,P3
23,0,0,0,P3
23.5,0,0,0,P3
24,0,0,0,P3
24.5,0,0,0,C
25,0,0,0,C
25.5,0,0,0,C
26,0,0,0,C
26.5,0,0,0,C
27,0,0,0,C
27.5,0,0,0,C
28,0,0,0,C
28.5,0,0,0,C
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,H-0-10-5:
32,0,0,0,H-0-10-5:
32.5,0,0,0,H-0-10-5:
33,0,0,0,H-0-10-5:
33.5,0,0,0,H-0-10-5:
34,0,0,0,
34.5,0,0,0,
35,0,0,0,
35.5,0,0,0,
36,0,0,0,
36.5,0,0,0,
37,0,0,0,H-1-10-5:
37.5,0,0,0,H-1-10-5:
38,0,0,0,H-1-10-5:
38.5,0,0,0,H-1-10-5:
39,0,0,0,H-1-10-5:
39.5,0,0,0,H-3-5-2:B
40,0,0,0,H-3-5-2:B
40.5,0,0,0,H-3-5-2:B
41,0,0,0,H-3-5-2:B
41.5,0,0,0,H-3-5-2:B
42,0,0,0,L
42.5,0,0,0,L
43,0,0,0,L
43.5,0,0,0,L
44,0,0,0,L
44.5,0,0,0,
45,0,0,0,
45.5,0,0,0,
46,0,0,0,
46.5,0,0,0,
47,0,0,0,
47.5,0,0,0,
48,0,0,0,
48.5,0,0,0,
49,0,0,0,
49.5,0,0,0,H-1-16-4.803594:
50,0,0,0,H-1-16-4.803594:
50.5,0,0,0,H-1-16-4.803594:
51,0,0,0,H-1-16-4.803594:
51.5,0,0,0,H-1-16-4.803594:
52,0,0,0,H-2-12-2.595332:B
52.5,0,0,0,H-2-12-2.595332:B
53,0,0,0,H-2-12-2.595332:B
53.5,0,0,0,H-2-12-2.595332:B
54,0,0,0,H-2-12-2.595332:B
54.5,0,0,0,H-0-14-4.349365:B
55,0,0,0,H-0-14-4.349365:B
55.5,0,0,0,H-0-14-4.349365:B
56,0,0,0,H-0-14-4.349365:B
56.5,0,0,0,H-0-14-4.349365:B
57,0,0,0,H-0-16-4.612169:
57.5,0,0,0,H-0-16-4.612169:
58,0,0,0,H-0-16-4.612169:
58.5,0,0,0,H-0-16-4.612169:
59,0,0,0,H-0-16-4.612169:
59.5,0,0,0,H-1-10-4.054559:B
60,0,0,0,H-1-10-4.054559:B
60.5,0,0,0,H-1-10-4.054559:B
61,0,0,0,H-1-10-4.054559:B
61.5,0,0,0,H-1-10-4.054559:B
62,0,0,0,H-1-15-3.905414:P1
62.5,0,0,0,H-1-15-3.905414:P1
63,0,0,0,H-1-15-3.905414:P1
63.5,0,0,0,H-1-15-3.905414:P1
64,0,0,0,H-1-15-3.905414:P1
64.5,0,0,0,H-3-20-4.910879:
65,0,0,0,H-3-20-4.910879:
65.5,0,0,0,H-3-20-4.910879:
66,0,0,0,H-3-20-4.910879:
66.5,0,0,0,H-3-20-4.910879:
67,0,0,0,H-3-20-4.910879:
67.5,0,0,0,H-3-20-4.910879:
68,0,0,0,H-3-20-4.910879:
68.5,0,0,0,H-3-20-4.910879:
69,0,0,0,H-3-20-3.118394:B
69.5,0,0,0,H-3-20-3.118394:B
70,0,0,0,H-3-20-3.118394:B
70.5,0,0,0,H-3-20-3.118394:B
71,0,0,0,H-3-20-3.118394:B
71.5,0,0,0,H-3-20-4.910879:
72,0,0,0,H-3-20-4.910879:
72.5,0,0,0,H-3-20-4.910879:
73,0,0,0,H-3-20-4.910879:
73.5,0,0,0,H-3-20-4.910879:
74,0,0,0,H-3-20-3.118394:B
74.5,0,0,0,H-3-20-3.118394:B
75,0,0,0,H-3-20-3.118394:B
75.5,0,0,0,H-3-20-3.118394:B
76,0,0,0,H-3-20-3.118394:B
76.5,0,0,0,N
77,0,0,0,N
77.5,0,0,0,N
78,0,0,0,N
78.5,0,0,0,N
79,0,0,0,N
79.5,0,0,0,N
80,0,0,0,N
80.5,0,0,0,N
81,0,0,0,N
81.5,0,0,0,
82,0,0,0,
82.5,0,0,0,
83,0,0,0,
83.5,0,0,0,
84,0,0,0,
84.5,0,0,0,
85,0,0,0,
85.5,0,0,0,
86,0,0,0,
86.5,0,0,0,
87,0,0,0,
87.5,0,0,0,
88,0,0,0,
88.5,0,0,0,
89,0,0,0,
89.5,0,0,0,
90,0,0,0,
90.5,0,0,0,
91,0,0,0,
91.5,0,0,0,
92,0,0,0,
92.5,0,0,0,
93,0,0,0,
93.5,0,0,0,
94,0,0,0,H-2-15.60563-2.589355:
94.5,0,0,0,H-2-15.60563-2.589355:
95,0,0,0,H-2-15.60563-2.589355:
95.5,0,0,0,H-2-15.60563-2.589355:
96,0,0,0,H-2-15.60563-2.589355:
96.5,0,0,0,H-2-15.60563-2.589355:
97,0,0,0,
97.5,0,0,0,
98,0,0,0,
98.5,0,0,0,
99,0,0,0,
99.5,0,0,0,H-0-15.20745-2.201245:
100,0,0,0,H-0-15.20745-2.201245:
100.5,0,0,0,H-0-15.20745-2.201245:
101,0,0,0,H-0-15.20745-2.201245:
101.5,0,0,0,H-0-15.20745-2.201245:
102,0,0,0,H-3-10.23965-5.775685:
102.5,0,0,0,H-3-10.23965-5.775685:
103,0,0,0,H-3-10.7362-4.484622:
103.5,0,0,0,H-3-10.7362-4.484622:
104,0,0,0,H-3-10.7362-4.484622:
104.5,0,0,0,H-2-6.389846-2.99829:C
105,0,0,0,H-2-6.389846-2.99829:C
105.5,0,0,0,
106,0,0,0,
106.5
