Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,P3
5,0,0,0,P3
5.5,0,0,0,P3
6,0,0,0,P3
6.5,0,0,0,P3
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,P3
11.5,0,0,0,P3
12,0,0,0,C
12.5,0,0,0,C
13,0,0,0,C
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,H-0-10-5:
15,0,0,0,H-0-10-5:
15.5,0,0,0,H-0-10-5:
16,0,0,0,
16.5,0,0,0,
17,0,0,0,H-1-10-5:
17.5,0,0,0,H-1-10-5:
18,0,0,0,H-1-10-5:
18.5,0,0,0,H-3-5-2:B
19,0,0,0,H-3-5-2:B
19.5,0,0,0,L
20,0,0,0,L
20.5,0,0,0,L
21,0,0,0,
21.5,0,0,0,
22,0,0,0,
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,H-2-16-3.448499:
24,0,0,0,H-2-16-3.448499:
24.5,0,0,0,H-2-16-3.448499:
25,0,0,0,H-2-10-3.297487:
25.5,0,0,0,H-2-10-3.297487:
26,0,0,0,H-0-14-3.019938:
26.5,0,0,0,H-0-14-3.019938:
27,0,0,0,H-0-14-3.019938:
27.5,0,0,0,H-1-10-2.430812:
28,0,0,0,H-1-10-2.430812:
28.5,0,0,0,H-2-10-2.632585:
29,0,0,0,H-2-10-2.632585:
29.5,0,0,0,H-2-10-2.632585:
30,0,0,0,H-1-13-5.380975:
30.5,0,0,0,H-1-13-5.380975:
31,0,0,0,H-3-20-2.715233:C
31.5,0,0,0,H-3-20-2.715233:C
32,0,0,0,H-3-20-2.715233:C
32.5,0,0,0,H-0-12-3.079259:
33,0,0,0,H-0-12-3.079259:
33.5,0,0,0,N
34,0,0,0,N
34.5,0,0,0,N
35,0,0,0,H-1-10.30693-5.417874:P3
35.5,0,0,0,H-1-10.30693-5.417874:P3
36,0,0,0,H-3-14.74615-5.462682:
36.5,0,0,0,H-3-14.74615-5.462682:
37,0,0,0,H-3-14.74615-5.462682:
37.5,0,0,0,H-2-4.678883-3.092206:
38,0,0,0,H-2-4.678883-3.092206:
38.5,0,0,0,H-1-8.453691-4.626854:
39,0,0,0,H-1-8.453691-4.626854:
39.5,0,0,0,H-1-8.453691-4.626854:
40,0,0,0,H-3-10.20912-2.601808:
40.5,0,0,0,H-3-10.20912-2.601808:
41,0,0,0,H-1-6.524184-2.131812:C
41.5,0,0,0,H-1-6.524184-2.131812:C
42,0,0,0,H-1-6.524184-2.131812:C
42.5,0,0,0,H-1-13.16894-2.730677:P2
43,0,0,0,H-1-13.16894-2.730677:P2
43.5,0,0,0,H-3-4.141026-4.836591:
44,0,0,0,H-3-4.141026-4.836591:
44.5,0,0,0,H-3-4.141026-4.836591:
45,0,0,0,H-2-8.60448-3.163955:C
45.5,0,0,0,H-2-8.60448-3.163955:C
46,0,0,0,H-2-4.139259-2.79066:P3
46.5,0,0,0,H-2-4.139259-2.79066:P3
47,0,0,0,H-2-4.139259-2.79066:P3
47.5,0,0,0,X
48,0,0,0,X
48.5,0,0,0,H-0-10-3.183991:
49,0,0,0,H-0-10-3.183991:
49.5,0,0,0,H-0-10-3.183991:
50,0,0,0,H-2-12-3.139403:BC
50.5,0,0,0,H-2-12-3.139403:BC
51,0,0,0,H-0-9-2.943575:
51.5,0,0,0,H-0-9-2.943575:
52,0,0,0,H-0-9-2.943575:
52.5,0,0,0,H-2-15-3.238892:B
53,0,0,0,H-2-15-3.238892:B
53.5,0,0,0,H-0-14-3.087352:
54,0,0,0,H-0-14-3.087352:
54.5,0,0,0,H-0-14-3.087352:
55,0,0,0,H-1-13-4.396736:
55.5,0,0,0,H-1-13-4.396736:
56,0,0,0,H-1-13-4.396736:
56.5,0,0,0,H-1-9-2.993066:P1C
57,0,0,0,H-1-9-2.993066:P1C
57.5,0,0,0,H-1-14-4.59574:
58,0,0,0,H-1-14-4.59574:
58.5,0,0,0,H-1-14-4.59574:
59,0,0,0,P2C
59.5,0,0,0,P2C
60,0,0,0,H-1-8-5.252634:BP2C
60.5,0,0,0,H-1-8-5.252634:BP2C
61,0,0,0,H-1-8-5.252634:BP2C
61.5,0,0,0,N
62,0,0,0,N
62.5,0,0,0,H-0-15.50647-5.05128:
63,0,0,0,H-0-15.50647-5.05128:
63.5,0,0,0,H-0-15.50647-5.05128:
64,0,0,0,H-3-10.81999-5.845391:P3
64.5,0,0,0,H-3-10.81999-5.845391:P3
65,0,0,0,H-3-9.928929-5.196291:C
65.5,0,0,0,H-3-9.928929-5.196291:C
66,0,0,0,H-3-9.928929-5.196291:C
66.5,0,0,0,H-2-10.9763-2.724747:P3
67,0,0,0,H-2-10.9763-2.724747:P3
67.5,0,0,0,H-1-13.96352-2.666063:
68,0,0,0,H-1-13.96352-2.666063:
68.5,0,0,0,H-1-13.96352-2.666063:
69,0,0,0,H-0-8.421121-5.317321:
69.5,0,0,0,H-0-8.421121-5.317321:
70,0,0,0,H-0-10.91014-3.294883:
70.5,0,0,0,H-0-10.91014-3.294883:
71,0,0,0,H-0-10.91014-3.294883:
71.5,0,0,0,H-0-16.22047-2.878631:P1
72,0,0,0,H-0-16.22047-2.878631:P1
72.5,0,0,0,H-3-11.08522-2.919667:P2
73,0,0,0,H-3-11.08522-2.919667:P2
73.5,0,0,0,H-3-11.08522-2.919667:P2
74,0,0,0,H-2-13.77157-3.114516:C
74.5,0,0,0,H-2-13.77157-3.114516:C
75,0,0,0,X
75.5,0,0,0,X
76,0,0,0,X
76.5,0,0,0,H-1-16-4.401996:P3
77,0,0,0,H-1-16-4.401996:P3
77.5,0,0,0,H-0-16-3.88204:C
78,0,0,0,H-0-16-3.88204:C
78.5,0,0,0,H-0-16-3.88204:C
79,0,0,0,H-1-9-5.33852:
79.5,0,0,0,H-1-9-5.33852:
80,0,0,0,H-0-14-4.20272:
80.5,0,0,0,H-0-14-4.20272:
81,0,0,0,H-0-14-4.20272:
81.5,0,0,0,H-2-8-2.831204:C
82,0,0,0,H-2-8-2.831204:C
82.5,0,0,0,H-1-14-3.944747:
83,0,0,0,H-1-14-3.944747:
83.5,0,0,0,H-1-14-3.944747:
84,0,0,0,H-1-9-5.849132:B
84.5,0,0,0,H-1-9-5.849132:B
85,0,0,0,H-0-10-5.621572:
85.5,0,0,0,H-0-10-5.621572:
86,0,0,0,H-0-10-5.621572:
86.5,0,0,0,H-1-7-3.241258:C
87,0,0,0,H-1-7-3.241258:C
87.5,0,0,0,H-1-7-3.241258:C
88,0,0,0,H-2-12-2.797749:
88.5,0,0,0,H-2-12-2.797749:
89,0,0,0,L
89.5,0,0,0,L
90,0,0,0,L
90.5,0,0,0,
91,0,0,0,
91.5,0,0,0,
92,0,0,0,
92.5,0,0,0,
93,0,0,0,H-3-20-2.96225:
93.5,0,0,0,H-3-20-2.96225:
94,0,0,0,H-2-11-3.015633:
94.5,0,0,0,H-2-11-3.015633:
95,0,0,0,H-2-11-3.015633:
95.5,0,0,0,H-0-3-2.267967:C
96,0,0,0,H-0-3-2.267967:C
96.5,0,0,0,H-2-15-2.837606:C
97,0,0,0,H-2-15-2.837606:C
97.5,0,0,0,H-2-15-2.837606:C
98,0,0,0,H-2-6-3.217473:
98.5,0,0,0,H-2-6-3.217473:
99,0,0,0,H-3-20-2.94942:B
99.5,0,0,0,H-3-20-2.94942:B
100,0,0,0,H-3-20-2.94942:B
100.5,0,0,0,H-2-14-2.666436:
101,0,0,0,H-2-14-2.666436:
