Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,P1
3,0,0,0,P1
3.5,0,0,0,P1
4,0,0,0,P1
4.5,0,0,0,P1
5,0,0,0,
5.5,0,0,0,
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,P1
13.5,0,0,0,P1
14,0,0,0,P1
14.5,0,0,0,P1
15,0,0,0,P1
15.5,0,0,0,C
16,0,0,0,C
16.5,0,0,0,C
17,0,0,0,C
17.5,0,0,0,C
18,0,0,0,
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,H-0-10-5:
21,0,0,0,H-0-10-5:
21.5,0,0,0,H-0-10-5:
22,0,0,0,H-0-10-5:
22.5,0,0,0,H-0-10-5:
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,H-1-10-5:
26,0,0,0,H-1-10-5:
26.5,0,0,0,H-1-10-5:
27,0,0,0,H-1-10-5:
27.5,0,0,0,H-1-10-5:
28,0,0,0,H-3-5-2:B
28.5,0,0,0,H-3-5-2:B
29,0,0,0,H-3-5-2:B
29.5,0,0,0,H-3-5-2:B
30,0,0,0,H-3-5-2:B
30.5,0,0,0,L
31,0,0,0,L
31.5,0,0,0,L
32,0,0,0,L
32.5,0,0,0,L
33,0,0,0,
33.5,0,0,0,
34,0,0,0,
34.5,0,0,0,
35,0,0,0,
35.5,0,0,0,
36,0,0,0,
36.5,0,0,0,
37,0,0,0,
37.5,0,0,0,
38,0,0,0,H-1-10-4.775428:C
38.5,0,0,0,H-1-10-4.775428:C
39,0,0,0,H-1-10-4.775428:C
39.5,0,0,0,H-1-10-4.775428:C
40,0,0,0,H-1-10-4.775428:C
40.5,0,0,0,H-1-10-4.775428:C
41,0,0,0,H-1-10-3.174657:P1
41.5,0,0,0,H-1-10-3.174657:P1
42,0,0,0,H-1-10-3.174657:P1
42.5,0,0,0,H-1-10-3.174657:P1
43,0,0,0,H-1-10-3.174657:P1
43.5,0,0,0,H-0-8-3.657717:BC
44,0,0,0,H-0-8-3.657717:BC
44.5,0,0,0,H-0-8-3.657717:BC
45,0,0,0,H-0-8-3.657717:BC
45.5,0,0,0,H-0-8-3.657717:BC
46,0,0,0,H-0-8-3.657717:BC
46.5,0,0,0,H-0-8-3.657717:BC
47,0,0,0,H-0-8-3.657717:BC
47.5,0,0,0,H-2-6-3.36832:P2
48,0,0,0,H-2-6-3.36832:P2
48.5,0,0,0,H-2-6-3.36832:P2
49,0,0,0,H-2-6-3.36832:P2
49.5,0,0,0,H-2-6-3.36832:P2
50,0,0,0,H-2-6-3.36832:P2
50.5,0,0,0,H-2-6-3.36832:P2
51,0,0,0,H-2-6-3.36832:P2
51.5,0,0,0,H-2-9-3.353496:BC
52,0,0,0,H-2-9-3.353496:BC
52.5,0,0,0,H-0-13-5.21427:
53,0,0,0,H-0-13-5.21427:
53.5,0,0,0,H-0-13-5.21427:
54,0,0,0,H-2-10-3.43149:C
54.5,0,0,0,H-2-10-3.43149:C
55,0,0,0,H-0-7-3.296408:
55.5,0,0,0,H-0-7-3.296408:
56,0,0,0,H-0-7-3.296408:
56.5,0,0,0,N
57,0,0,0,N
57.5,0,0,0,H-3-16.95765-4.359532:
58,0,0,0,H-3-16.95765-4.359532:
58.5,0,0,0,H-3-16.95765-4.359532:
59,0,0,0,H-1-4.710257-2.006698:
59.5,0,0,0,H-1-4.710257-2.006698:
60,0,0,0,H-1-3.027332-5.078445:
60.5,0,0,0,H-1-3.027332-5.078445:
61,0,0,0,H-1-3.027332-5.078445:
61.5,0,0,0,H-2-2.763262-2.716862:CP3
62,0,0,0,H-2-2.763262-2.716862:CP3
62.5,0,0,0,H-2-17.34356-2.586378:
63,0,0,0,H-2-17.34356-2.586378:
63.5,0,0,0,H-2-17.34356-2.586378:
64,0,0,0,H-1-11.28099-5.774644:
64.5,0,0,0,H-1-11.28099-5.774644:
65,0,0,0,H-1-11.28099-5.774644:
65.5,0,0,0,H-2-13.91085-2.542162:
66,0,0,0,H-2-13.91085-2.542162:
66.5,0,0,0,H-1-14.88489-2.616528:CP1
67,0,0,0,H-1-15.78396-5.506721:
67.5,0,0,0,H-1-15.78396-5.506721:
68,0,0,0,H-1-15.78396-5.506721:
68.5,0,0,0,H-1-15.78396-5.506721:
69,0,0,0,H-1-15.78396-5.506721:
69.5,0,0,0,H-1-15.78396-5.506721:
70,0,0,0,H-1-14.88489-2.616528:CP1
70.5,0,0,0,H-1-14.88489-2.616528:CP1
71,0,0,0,H-1-15.78396-5.506721:
71.5,0,0,0,H-1-15.78396-5.506721:
72,0,0,0,H-1-15.78396-5.506721:
72.5,0,0,0,H-0-17.93997-3.809357:C
73,0,0,0,H-0-17.93997-3.809357:C
73.5,0,0,0,X
74,0,0,0,X
74.5,0,0,0,X
75,0,0,0,H-2-10-2.847009:
75.5,0,0,0,H-2-10-2.847009:
76,0,0,0,H-3-20-4.007462:
76.5,0,0,0,H-3-20-4.007462:
77,0,0,0,H-3-20-4.007462:
77.5,0,0,0,H-2-11-3.458163:
78,0,0,0,H-2-11-3.458163:
78.5,0,0,0,H-0-14-3.135144:C
79,0,0,0,H-0-14-3.135144:C
79.5,0,0,0,H-0-14-3.135144:C
80,0,0,0,H-0-17-4.340303:
80.5,0,0,0,H-0-17-4.340303:
81,0,0,0,H-1-12-4.606405:
81.5,0,0,0,H-1-12-4.606405:
82,0,0,0,H-1-12-4.606405:
82.5,0,0,0,H-3-20-2.353044:
83,0,0,0,H-3-20-2.353044:
83.5,0,0,0,H-1-14-2.067536:
84,0,0,0,H-1-14-2.067536:
84.5,0,0,0,H-1-14-2.067536:
85,0,0,0,H-1-6-3.925387:
85.5,0,0,0,H-1-6-3.925387:
86,0,0,0,H-3-20-2.881202:
86.5,0,0,0,H-3-20-2.881202:
87,0,0,0,H-3-20-2.881202:
87.5,0,0,0,N
88,0,0,0,N
88.5,0,0,0,H-2-5.722462-2.916574:C
89,0,
