Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,P2
5.5,0,0,0,P2
6,0,0,0,P2
6.5,0,0,0,P2
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,P2
11,0,0,0,P2
11.5,0,0,0,P2
12,0,0,0,C
12.5,0,0,0,C
13,0,0,0,
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,H-0-10-5:
15,0,0,0,H-0-10-5:
15.5,0,0,0,
16,0,0,0,
16.5,0,0,0,
17,0,0,0,H-1-10-5:
17.5,0,0,0,H-1-10-5:
18,0,0,0,H-3-5-2:B
18.5,0,0,0,H-3-5-2:B
19,0,0,0,H-3-5-2:B
19.5,0,0,0,L
20,0,0,0,L
20.5,0,0,0,
21,0,0,0,
21.5,0,0,0,
22,0,0,0,
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,P1
24,0,0,0,P1
24.5,0,0,0,C
25,0,0,0,C
25.5,0,0,0,C
26,0,0,0,
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,
33,0,0,0,
33.5,0,0,0,
34,0,0,0,
34.5,0,0,0,
35,0,0,0,
35.5,0,0,0,
36,0,0,0,H-3-20-2.790679:
36.5,0,0,0,H-3
