Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,P1
5,0,0,0,P1
5.5,0,0,0,P1
6,0,0,0,P1
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,P1
11.5,0,0,0,P1
12,0,0,0,P1
12.5,0,0,0,C
13,0,0,0,C
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,
15,0,0,0,H-0-10-5:
15.5,0,0,0,H-0-10-5:
16,0,0,0,
16.5,0,0,0,
17,0,0,0,
17.5,0,0,0,H-1-10-5:
18,0,0,0,H-1-10-5:
18.5,0,0,0,H-3-5-2:B
19,0,0,0,H-3-5-2:B
19.5,0,0,0,H-3-5-2:B
20,0,0,0,L
20.5,0,0,0,L
21,0,0,0,
21.5,0,0,0,
22,0,0,0,
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,H-3-20-3.288976:
24,0,0,0,H-3-20-3.288976:
24.5,0,0,0,H-3-20-3.288976:
25,0,0,0,H-3-20-2.770129:B
25.5,0,0,0,H-3-20-2.770129:B
26,0,0,0,H-1-4-3.060236:
26.5,0,0,0,H-1-4-3.060236:
27,0,0,0,H-1-4-3.060236:
27.5,0,0,0,H-2-11-2.645799:C
28,0,0,0,H-2-11-2.645799:C
28.5,0,0,0,H-1-11-3.433278:
29,0,0,0,H-1-11-3.433278:
29.5,0,0,0,H-1-11-3.433278:
30,0,0,0,H-0-6-4.28897:
30.5,0,0,0,H-0-6-4.28897:
31,0,0,0,H-2-12-2.690715:
31.5,0,0,0,H-2-12-2.690715:
32,0,0,0,H-2-12-2.690715:
32.5,0,0,0,H-0-14-5.405412:
33,0,0,0,H-0-14-5.405412:
33.5,0,0,0,N
34,0,0,0,N
34.5,0,0,0,N
35,0,0,0,
35.5,0,0,0,
36,0,0,0,H-2-15.37077-2.500924:
36.5,0,0,0,H-2-15.37077-2.500924:
37,0,0,0,H-2-15.37077-2.500924:
37.5,0,0,0,
38,0,0,0,
38.5,0,0,0,H-2-11.2351-3.471904:
39,0,0,0,H-2-11.2351-3.471904:
39.5,0,0,0,H-2-11.2351-3.471904:
40,0,0,0,
40.5,0,0,0,
41,0,0,0,
41.5,0,0,0,
42,0,0,0,
42.5,0,0,0,
43,0,0,0,
43.5,0,0,0,
44,0,0,0,H-2-3.206894-2.88948:
44.5,0,0,0,H-2-3.206894-2.88948:
45,0,0,0,
45.5,0,0,0,
46,0,0,0,
46.5,0,0,0,H-1-5.565876-3.698678:
47,0,0,0,H-1-5.565876-3.698678:
47.5,0,0,0,X
48,0,0,0,X
48.5,0,0,0,X
49,0,0,0,H-3-20-3.304106:
49.5,0,0,0,H-3-20-3.304106:
50,0,0,0,H-3-20-3.367021:
50.5,0,0,0,H-3-20-3.367021:
51,0,0,0,H-3-20-3.367021:
51.5,0,0,0,H-1-7-2.775888:
52,0,0,0,H-1-7-2.775888:
52.5,0,0,0,H-3-20-5.563025:
5
