Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,P3
4,0,0,0,P3
4.5,0,0,0,P3
5,0,0,0,P3
5.5,0,0,0,P3
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,P3
13,0,0,0,P3
13.5,0,0,0,C
14,0,0,0,C
14.5,0,0,0,C
15,0,0,0,
15.5,0,0,0,
16,0,0,0,H-0-10-5:
16.5,0,0,0,H-0-10-5:
17,0,0,0,H-0-10-5:
17.5,0,0,0,H-0-10-5:
18,0,0,0,
18.5,0,0,0,
19,0,0,0,H-1-10-5:
19.5,0,0,0,H-1-10-5:
20,0,0,0,H-1-10-5:
20.5,0,0,0,H-3-5-2:B
21,0,0,0,H-3-5-2:B
21.5,0,0,0,L
22,0,0,0,L
22.5,0,0,0,L
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,H-3-20-2.672671:B
25.5,0,0,0,H-3-20-2.672671:B
26,0,0,0,H-3-20-2.672671:B
26.5,0,0,0,H-3-20-2.672671:B
27,0,0,0,H-3-20-2.672671:B
27.5,0,0,0,H-3-20-2.672671:B
28,0,0,0,H-3-20-2.672671:B
28.5,0,0,0,H-3-20-2.672671:B
29,0,0,0,H-3-20-2.672671:B
29.5,0,0,0,H-3-20-2.672671:B
30,0,0,0,H-3-20-2.672671:B
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,H-3-20-2.672671:B
32,0,0,0,H-3-20-2.672671:B
32.5,0,0,0,H-3-20-2.672671:B
33,0,0,0,H-3-20-4.67597:C
33.5,0,0,0,H-3-20-4.67597:C
34,0,0,0,H-2-8-2.678284:
34.5,0,0,0,H-2-8-2.678284:
35,0,0,0,H-2-8-2.678284:
35.5,0,0,0,H-1-17-4.03682:
36,0,0,0,H-1-17-4.03682:
36.5,0,0,0,H-2-7-3.020114:B
37,0,0,0,H-2-7-3.020114:B
37.5,0,0,0,H-2-7-3.020114:B
38,0,0,0,H-0-9-3.886722:C
38.5,0,0,0,H-0-9-3.886722:C
39,0,0,0,H-3-20-5.930584:C
39.5,0,0,0,H-3-20-5.930584:C
40,0,0,0,H-3-20-5.930584:C
40.5,0,0,0,H-1-8-5.097456:
41,0,0,0,H-1-8-5.097456:
41.5,0,0,0,H-1-8-5.097456:
42,0,0,0,N
42.5,0,0,0,N
43,0,0,0,H-0-11.50833-2.535235:
43.5,0,0,0,H-0-11.50833-2.535235:
44,0,0,0,H-0-11.50833-2.535235:
44.5,0,0,0,
45,0,0,0,
45.5,0,0,0,H-1-6.942466-5.167144:
46,0,0,0,H-1-6.942466-5.167144:
46.5,0,0,0,H-1-6.942466-5.167144:
47,0,0,0,H-2-14.01571-2.939522:
47.5,0,0,0,H-2-14.01571-2.939522:
48,0,0,0,
48.5,0,0,0,
49,0,0,0,
49.5,0,0,0,
50,0,0,0,
50.5,0,0,
