Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,P1
8,0,0,0,P1
8.5,0,0,0,P1
9,0,0,0,P1
9.5,0,0,0,P1
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,
15,0,0,0,
15.5,0,0,0,
16,0,0,0,
16.5,0,0,0,
17,0,0,0,
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,
19,0,0,0,P1
19.5,0,0,0,P1
20,0,0,0,P1
20.5,0,0,0,P1
21,0,0,0,P1
21.5,0,0,0,C
22,0,0,0,C
22.5,0,0,0,C
23,0,0,0,C
23.5,0,0,0,C
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,
26.5,0,0,0,H-0-10-5:
27,0,0,0,H-0-10-5:
27.5,0,0,0,H-0-10-5:
28,0,0,0,H-0-10-5:
28.5,0,0,0,H-0-10-5:
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,
32,0,0,0,H-1-10-5:
32.5,0,0,0,H-1-10-5:
33,0,0,0,H-1-10-5:
33.5,0,0,0,H-1-10-5:
34,0,0,0,H-1-10-5:
34.5,0,0,0,H-3-5-2:B
35,0,0,0,H-3-5-2:B
35.5,0,0,0,H-3-5-2:B
36,0,0,0,H-3-5-2:B
36.5,0,0,0,H-3-5-2:B
37,0,0,0,L
37.5,0,0,0,L
38,0,0,0,L
38.5,0,0,0,L
39,0,0,0,L
39.5,0,0,0,
40,0,0,0,
40.5,0,0,0,
41,0,0,0,
41.5,0,0,0,
42,0,0,0,
42.5,0,0,0,
43,0,0,0,
43.5,0,0,0,
44,0,0,0,
44.5,0,0,0,H-1-7-2.459646:P1
45,0,0,0,H-1-7-2.459646:P1
45.5,0,0,0,H-1-7-2.459646:P1
46,0,0,0,H-1-7-2.459646:P1
46.5,0,0,0,H-1-7-2.459646:P1
47,0,0,0,H-0-14-3.758041:
47.5,0,0,0,H-0-14-3.758041:
48,0,0,0,H-0-14-3.758041:
48.5,0,0,0,H-0-14-3.758041:
49,0,0,0,H-0-14-3.758041:
49.5,0,0,0,H-1-14-2.078554:B
50,0,0,0,H-1-14-2.078554:B
50.5,0,0,0,H-1-14-2.078554:B
51,0,0,0,H-1-14-2.078554:B
51.5,0,0,0,H-1-14-2.078554:B
52,0,0,0,C
52.5,0,0,0,C
53,0,0,0,C
53.5,0,0,0,C
54,0,0,0,C
54.5,0,0,0,H-3-20-5.177319:B
55,0,0,0,H-3-20-5.177319:B
55.5,0,0,0,H-3-20-5.177319:B
56,0,0,0,H-3-20-5.177319:B
56.5,0,0,0,H-3-20-5.177319:B
57,0,0,0,H-3-20-5.177319:B
57.5,0,0,0,H-3-20-2.18012:
58,0,0,0,H-3-20-2.18012:
58.5,0,0,0,H-3-20-2.18012:
59,0,0,0,H-3-20-2.18012:
59.5,0,0,0,H-3-20-2.18012:
60,0,0,0,H-3-20-3.49648:
60.5,0,0,0,H-3-20-3.49648:
61,0,0,0,H-3-20-3.49648:
61.5,0,0,0,H-3-20-3.49648:
62,0,0,0,H-3-20-3.49648:
62.5,0,0,0,H-0-8-5.225863:
63,0,0,0,H-0-8-5.225863:
63.5,0,0,0,N
64,0,0,0,N
64.5,0,0,0,N
65,0,0,0,H-0-15.00383-4.659001:
65.5,0,0,0,H-0-15.00383-4.659001:
66,0,0,0,H-0-11.35861-2.381972:C
66.5,0,0,0,H-0-11.35861-2.381972:C
67,0,0,0,H-0-11.35861-2.381972:C
67.5,0,0,0,H-0-8.609239-2.599267:CP3
68,0,0,0,H-0-8.609239-2.599267:CP3
68.5,0,0,0,H-3-10.20184-3.354084:C
69,0,0,0,H-3-10.20184-3.354084:C
69.5,0,0,0,H-3-10.20184-3.354084:C
70,0,0,0,H-1-9.318166-5.554747:
70.5,0,0,0,H-1-9.318166-5.554747:
71,0,0,0,H-1-16.17073-5.199928:
71.5,0,0,0,H-1-16.17073-5.199928:
72,0,0,0,H-1-16.17073-5.199928:
72.5,0,0,0,H-3-17.0604-4.259897:
73,0,0,0,H-3-17.0604-4.259897:
73.5,0,0,0,H-3-16.05451-4.465027:
74,0,0,0,H-3-16.05451-4.465027:
74.5,0,0,0,H-3-16.05451-4.465027:
75,0,0,0,H-1-7.041869-2.390304:CP2
75.5,0,0,0,H-1-7.041869-2.390304:CP2
76,0,0,0,H-1-4.999542-4.061396:
76.5,0,0,0,H-1-4.999542-4.061396:
77,0,0,0,H-1-4.999542-4.061396:
77.5,0,0,0,X
78,0,0,0,X
78.5,0,0,0,H-2-9-3.29893:P3
79,0,0,0,H-2-9-3.29893:P3
79.5,0,0,0,H-2-9-3.29893:P3
80,0,0,0,H-3-20-3.333543:P3
80.5,0,0,0,H-3-20-3.333543:P3
81,0,0,0,H-1-11-3.262043:C
81.5,0,0,0,H-1-11-3.262043:C
82,0,0,0,H-1-11-3.262043:C
82.5,0,0,0,H-1-11-5.962996:
83,0,0,0,H-1-11-5.962996:
83.5,0,0,0,H-1-11-5.962996:
84,0,0,0,H-3-20-3.160688:
84.5,0,0,0,H-3-20-3.160688:
85,0,0,0,H-0-9-3.337848:
85.5,0,0,0,H-0-9-3.337848:
86,0,0,0,H-0-9-3.337848:
86.5,0,0,0,H-1-10-2.921649:
87,0,0,0,H-1-10-2.921649:
87.5,0,0,0,H-1-10-3.176857:C
88,0,0,0,H-1-10-3.176857:C
88.5,0,0,0,H-1-10-3.176857:C
89,0,0,0,H-1-11-2.808285:
89.5,0,0,0,H-1-11-2.808285:
90,0,0,0,H-0-10-2.513986:B
90.5,0,0,0,H-0-10-2.513986:B
91,0,0,0,H-0-10-2.513986:B
91.5,0,0,0,N
92,0,0,0,N
92.5,0,0,0,H-1-17.54721-4.916696:
93,0,0,0,H-1-17.54721-4.916696:
93.5,0,0,0,H-1-17.54721-4.916696:
94,0,0,0,H-2-16.83941-3.214227:
94.5,0,0,0,H-2-16.83941-3.214227:
95,0,0,0,H-1-3.906446-5.290712:C
95.5,0,0,0,H-1-3.906446-5.290712:C
96,0,0,0,H-1-3.906446-5.290712:C
96.5,0,0,0,H-1-2.6938-3.226791:
97,0,0,0,H-1-2.6938-3.226791:
97.5,0,0,0,H-3-3.240351-5.684589:
98,0,0,0,H-3-3.240351-5.684589:
98.5,0,0,0,H-3-3.240351-5.684589:
99,0,0,0,H-0-3.103899-5.57408:P3
99.5,0,0,0,H-0-3.103899-5.57408:P3
100,0,0,0,H-0-7.858274-3.412994:C
100.5,0,0,0,H-0-7.858274-3.412994:C
101,0,0,0,H-0-7.858274-3.412994:C
101.5,0,0,0,H-2-7.196855-3.002081:
102,0,0,0,H-2-7.196855-3.002081:
102.5,0,0,0,H-3-7.309037-5.425477:
103,0,0,0,H-3-7.309037-5.425477:
103.5,0,0,0,H-3-7.309037-5.425477:
104,0,0,0,H-0-10.22611-4.493002:C
104.5,0,0,0,H-0-10.22611-4.493002:C
105,0,0,0,X
105.5,0,0,0,X
106,0,0,0,X
106.5,0,0,0,H-3-20-4.259557:
107,0,0,0,H-3-20-4.259557:
107.5,0,0,0,H-3-20-5.590581:C
108,0,0,0,H-3-20-5.590581:C
108.5,0,0,0,H-3-20-5.590581:C
109,0,0,0,H-2-10-3.495147:C
109.5,0,0,0,H-2-10-3.495147:C
