Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,P1
3,0,0,0,P1
3.5,0,0,0,P1
4,0,0,0,
4.5,0,0,0,
5,0,0,0,
5.5,0,0,0,
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,P1
8.5,0,0,0,P1
9,0,0,0,C
9.5,0,0,0,C
10,0,0,0,C
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,H-0-10-5:
12,0,0,0,H-0-10-5:
12.5,0,0,0,H-0-10-5:
13,0,0,0,
13.5,0,0,0,
14,0,0,0,H-1-10-5:
14.5,0,0,0,H-1-10-5:
15,0,0,0,H-1-10-5:
15.5,0,0,0,H-3-5-2:B
16,0,0,0,H-3-5-2:B
16.5,0,0,0,L
17,0,0,0,L
17.5,0,0,0,L
18,0,0,0,
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,P3
21,0,0,0,P3
21.5,0,0,0,C
22,0,0,0,C
22.5,0,0,0,C
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,
33,0,0,0,H-0-13-2.988907:BP3
33.5,0,0,0,H-0-13-2.988907:BP3
34,0,0,0,H-0-13-2.988907:BP3
34.5,0,0,0,H-3-20-4.066314:P1
35,0,0,0,H-3-20-4.066314:P1
35.5,0,0,0,H-2-10-2.638585:
36,0,0,0,H-2-10-2.638585:
36.5,0,0,0,H-2-10-2.638585:
37,0,0,0,H-3-20-3.012531:C
37.5,0,0,0,H-3-20-3.012531:C
38,0,0,0,H-1-7-2.327967:C
38.5,0,0,0,H-1-7-2.327967:C
39,0,0,0,H-1-7-2.327967:C
39.5,0,0,0,H-0-14-3.108338:BP2C
40,0,0,0,H-0-14-3.108338:BP2C
40.5,0,0,0,H-0-8-2.812132:B
41,0,0,0,H-0-8-2.812132:B
41.5,0,0,0,H-0-8-2.812132:B
42,0,0,0,
42.5,0,0,0,
43,0,0,0,N
43.5,0,0,0,N
44,0,0,0,N
44.5,0,0,0,H-3-15.08011-2.725178:CP1
45,0,0,0,H-3-15.08011-2.725178:CP1
45.5,0,0,0,H-0-11.59762-3.578824:C
46,0,0,0,H-0-11.59762-3.578824:C
46.5,0,0,0,H-0-11.59762-3.578824:C
47,0,0,0,H-3-11.0123-3.398184:
47.5,0,0,0,H-3-11.0123-3.398184:
48,0,0,0,H-3-7.541764-4.820216:P3
48.5,0,0,0,H-3-7.541764-4.820216:P3
49,0,0,0,H-3-7.541764-4.820216:P3
49.5,0,0,0,H-1-8.356196-3.935754:CP3
50,0,0,0,H-1-8.356196-3.935754:CP3
50.5,0,0,0,H-3-3.039021-3.380025:
51,0,0,0,H-3-3.039021-3.380025:
51.5,0,0,0,H-3-3.039021-3.380025:
52,0,0,0,H-1-15.
