Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,P1
1,0,0,0,P1
1.5,0,0,0,P1
2,0,0,0,P1
2.5,0,0,0,P1
3,0,0,0,P1
3.5,0,0,0,P1
4,0,0,0,P1
4.5,0,0,0,P1
5,0,0,0,
5.5,0,0,0,
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,P1
10,0,0,0,P1
10.5,0,0,0,P1
11,0,0,0,P1
11.5,0,0,0,C
12,0,0,0,C
12.5,0,0,0,C
13,0,0,0,C
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,
15,0,0,0,H-0-10-5:
15.5,0,0,0,H-0-10-5:
16,0,0,0,H-0-10-5:
16.5,0,0,0,
17,0,0,0,
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,
19,0,0,0,H-1-10-5:
19.5,0,0,0,H-1-10-5:
20,0,0,0,H-1-10-5:
20.5,0,0,0,H-1-10-5:
21,0,0,0,H-3-5-2:B
21.5,0,0,0,H-3-5-2:B
22,0,0,0,L
22.5,0,0,0,L
23,0,0,0,L
23.5,0,0,0,L
24,0,0,0,L
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,P3
28,0,0,0,P3
28.5,0,0,0,C
29,0,0,0,C
29.5,0,0,0,C
30,0,0,0,C
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,
32,0,0,0,H-1-10-5:
32.5,0,0,0,H-1-10-5:
33,0,0,0,H-1-10-5:
33.5,0,0,0,
34,0,0,0,
34.5,0,0,0,
35,0,0,0,H-3-10-5:
35.5,0,0,0,H-3-10-5:
36,0,0,0,H-0-5-2:B
36.5,0,0,0,H-0-5-2:B
37,0,0,0,H-0-5-2:B
37.5,0,0,0,L
38,0,0,0,L
38.5,0,0,0,L
39,0,0,0,L
39.5,0,0,0,L
40,0,0,0,L
40.5,0,0,0,L
41,0,0,0,L
41.5,0,0,0,
42,0,0,0,
42.5,0,0,0,
43,0,0,0,
43.5,0,0,0,
44,0,0,0,
44.5,0,0,0,
45,0,0,0,
45.5,0,0,0,
46,0,0,0,
46.5,0,0,0,
47,0,0,0,
47.5,0,0,0,
48,0,0,0,
48.5,0,0,0,
49,0,0,0,
49.5,0,0,0,
50,0,0,0,
50.5,0,0,0,
51,0,0,0,H-3-20-5.830654:
51.5,0,0,0,H-3-20-5.830654:
52,0,0,0,H-3-20-5.830654:
52.5,0,0,0,H-3-20-5.830654:
53,0,0,0,H-3-20-5.830654:
53.5,0,0,0,H-3-20-5.830654:
54,0,0,0,H-3-20-5.830654:
54.5,0,0,0,H-3-20-5.830654:
55,0,0,0,H-3-20-5.830654:
55.5,0,0,0,H-3-20-5.830654:
56,0,0,0,
56.5,0,0,0,
57,0,0,0,
57.5,0,0,0,
58,0,0,0,
58.5,0,0,0,
59,0,0,0,
59.5,0,0,0,
60,0,0,0,
60.5,0,0,0,
61,0,0,0,
61.5,0,0,0,
62,0,0,0,H-3-20-5.830654:
62.5,0,0,0,H-3-20-5.830654:
63,0,0,0,H-3-20-5.830654:
63.5,0,0,0,H-1-14-4.556951:
64,0,0,0,H-1-14-4.556951:
64.5,0,0,0,H-1-14-4.556951:
65,0,0,0,H-3-20-5.489679:
65.5,0,0,0,H-3-20-5.489679:
66,0,0,0,H-3-20-5.489679:
66.5,0,0,0,H-3-20-3.020928:P1
67,0,0,0,H-3-20-3.020928:P1
67.5,0,0,0,H-3-20-3.020928:P1
68,0,0,0,H-2-15-2.725193:
68.5,0,0,0,H-2-15-2.725193:
69,0,0,0,H-2-15-2.725193:
69.5,0,0,0,H-2-15-2.725193:
70,0,0,0,H-3-20-4.815937:C
70.5,0,0,0,H-3-20-4.815937:C
71,0,0,0,U
71.5,0,0,0,U
72,0,0,0,U
72.5,0,0,0,H-0-15-3.852953:
73,0,0,0,H-0-15-3.852953:
73.5,0,0,0,N
74,0,0,0,N
74.5,0,0,0,N
75,0,0,0,H-0-12.83626-4.336545:
75.5,0,0,0,H-0-12.83626-4.336545:
76,0,0,0,H-1-10.3228-4.031328:
76.5,0,0,0,H-1-10.3228-4.031328:
77,0,0,0,H-1-10.3228-4.031328:
77.5,0,0,0,H-0-13.70178-2.46384:P1
78,0,0,0,H-0-13.70178-2.46384:P1
78.5,0,0,0,H-3-16.96602-2.995533:C
79,0,0,0,H-3-16.96602-2.995533:C
79.5,0,0,0,H-3-16.96602-2.995533:C
80,0,0,0,H-0-16.43307-3.40733:
80.5,0,0,0,H-0-16.43307-3.40733:
81,0,0,0,H-2-5.3776-2.886635:P1
81.5,0,0,0,H-2-5.3776-2.886635:P1
82,0,0,0,H-2-5.3776-2.886635:P1
82.5,0,0,0,H-2-10.68809-2.502128:CP3
83,0,
