Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,P1
3,0,0,0,P1
3.5,0,0,0,P1
4,0,0,0,P1
4.5,0,0,0,P1
5,0,0,0,P1
5.5,0,0,0,
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,P1
13.5,0,0,0,P1
14,0,0,0,P1
14.5,0,0,0,P1
15,0,0,0,P1
15.5,0,0,0,C
16,0,0,0,C
16.5,0,0,0,C
17,0,0,0,C
17.5,0,0,0,C
18,0,0,0,
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,
21,0,0,0,
21.5,0,0,0,
22,0,0,0,
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,
33,0,0,0,
33.5,0,0,0,
34,0,0,0,
34.5,0,0,0,
35,0,0,0,
35.5,0,0,0,
36,0,0,0,
36.5,0,0,0,
37,0,0,0,
37.5,0,0,0,
38,0,0,0,
38.5,0,0,0,
39,0,0,0,
39.5,0,0,0,
40,0,0,0,
40.5,0,0,0,
41,0,0,0,
41.5,0,0,0,
42,0,0,0,
42.5,0,0,0,
43,0,0,0,
43.5,0,0,0,
44,0,0,0,
44.5,0,0,0,
45,0,0,0,
45.5,0,0,0,
46,0,0,0,
46.5,0,0,0,
47,0,0,0,
47.5,0,0,0,
48,0,0,0,
48.5,0,0,0,
49,0,0,0,
49.5,0,0,0,
50,0,0,0,
50.5,0,0,0,
51,0,0,0,
51.5,0,0,0,
52,0,0,0,
52.5,0,0,0,
53,0,0,0,
53.5,0,0,0,
54,0,0,0,
54.5,0,0,0,
55,0,0,0,
55.5,0,0,0,
56,0,0,0,
56.5,0,0,0,
57,0,0,0,
57.5,0,0,0,
58,0,0,0,
58.5,0,0,0,
59,0,0,0,
59.5,0,0,0,
60,0,0,0,
60.5,0,0,0,H-0-10-5:
61,0,0,0,H-0-10-5:
61.5,0,0,0,H-0-10-5:
62,0,0,0,H-0-10-5:
62.5,0,0,0,H-0-10-5:
63,0,0,0,H-0-10-5:
63.5,0,0,0,H-0-10-5:
64,0,0,0,H-0-10-5:
64.5,0,0,0,H-0-10-5:
65,0,0,0,H-0-10-5:
65.5,0,0,0,H-0-10-5:
66,0,0,0,H-0-10-5:
66.5,0,0,0,H-0-10-5:
67,0,0,0,H-0-10-5:
67.5,0,0,0,H-0-10-5:
68,0,0,0,H-0-10-5:
68.5,0,0,0,H-0-10-5:
69,0,0,0,H-0-10-5:
69.5,0,0,0,H-0-10-5:
70,0,0,0,H-0-10-5:
70.5,0,0,0,H-0-10-5:
71,0,0,0,H-0-10-5:
71.5,0,0,0,H-0-10-5:
72,0,0,0,H-0-10-5:
72.5,0,0,0,H-0-10-5:
73,0,0,0,H-0-10-5:
73.5,0,0,0,H-0-10-5:
74,0,0,0,H-0-10-5:
74.5,0,0,0,H-0-10-5:
75,0,0,0,H-0-10-5:
75.5,0,0,0,H-0-10-5:
76,0,0,0,H-0-10-5:
76.5,0,0,0,H-0-10-5:
77,0,0,0,H-0-10-5:
77.5,0,0,0,H-0-10-5:
78,0,0,0,H-0-10-5:
78.5,0,0,0,H-0-10-5:
79,0,0,0,H-0-10-5:
79.5,0,0,0,H-0-10-5:
80,0,0,0,H-0-10-5:
80.5,0,0,0,H-0-10-5:
81,0,0,0,H-0-10-5:
81.5,0,0,0,H-0-10-5:
82,0,0,0,H-0-10-5:
82.5,0,0,0,H-0-10-5:
83,0,0,0,H-0-10-5:
83.5,0,0,0,H-0-10-5:
84,0,0,0,H-0-10-5:
84.5,0,0,0,H-0-10-5:
85,0,0,0,H-0-10-5:
85.5,0,0,0,H-0-10-5:
86,0,0,0,H-0-10-5:
86.5,0,0,0,H-0-10-5:
87,0,0,0,H-0-10-5:
87.5,0,0,0,H-0-10-5:
88,0,0,0,H-0-10-5:
88.5,0,0,0,H-0-10-5:
89,0,0,0,H-0-10-5:
89.5,0,0,0,H-0-10-5:
90,0,0,0,H-0-10-5:
90.5,0,0,0,H-0-10-5:
91,0,0,0,H-0-10-5:
91.5,0,0,0,H-0-10-5:
92,0,0,0,H-0-10-5:
92.5,0,0,0,H-0-10-5:
93,0,0,0,H-0-10-5:
93.5,0,0,0,H-0-10-5:
94,0,0,0,H-0-10-5:
94.5,0,0,0,H-0-10-5:
95,0,0,0,H-0-10-5:
95.5,0,0,0,H-0-10-5:
96,0,0,0,H-0-10-5:
96.5,0,0,0,H-0-10-5:
97,0,0,0,H-0-10-5:
97.5,0,0,0,H-0
