Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,5,0,0,P2
9,21,0,0,P2
9.5,29,0,0,P2
10,33,0,0,P2
10.5,35,0,0,P2
11,35,0,0,P2
11.5,35,0,0,P2
12,35,0,0,P2
12.5,36,0,0,P2
13,36,0,0,P2
13.5,35,0,0,
14,36,0,0,
14.5,36,0,0,
15,36,0,0,
15.5,39,0,0,
16,41,0,0,
16.5,43,0,0,
17,45,0,0,
17.5,48,0,0,
18,50,0,0,
18.5,51,0,0,
19,52,0,0,
19.5,53,0,0,
20,53,0,0,
20.5,53,0,0,
21,52,0,0,
21.5,53,0,0,
22,53,81,0,
22.5,52,81,0,
23,52,81,0,
23.5,50,81,0,P2
24,49,81,0,P2
24.5,49,81,0,P2
25,48,81,0,P2
25.5,47,81,0,P2
26,47,81,0,P2
26.5,47,81,0,C
27,47,81,0,C
27.5,47,81,0,C
28,46,81,0,C
28.5,45,81,0,C
29,44,81,0,C
29.5,43,81,0,C
30,40,82,0,
30.5,40,82,0,
31,42,82,0,
31.5,44,82,0,
32,48,83,0,
32.5,52,83,0,
33,53,83,0,
33.5,54,83,0,H-0-10-5:
34,54,82,0,H-0-10-5:
34.5,53,82,0,H-0-10-5:
35,52,82,0,H-0-10-5:
35.5,51,82,0,H-0-10-5:
36,51,81,0,H-0-10-5:
36.5,51,81,0,
37,51,81,0,
37.5,52,81,0,
38,52,80,0,
38.5,53,80,0,
39,53,80,0,H-1-10-5:
39.5,53,80,0,H-1-10-5:
40,53,80,0,H-1-10-5:
40.5,52,80,0,H-1-10-5:
41,52,80,0,H-1-10-5:
41.5,52,80,0,H-1-10-5:
42,52,81,0,H-3-5-2:B
42.5,51,81,0,H-3-5-2:B
43,50,81,0,H-3-5-2:B
43.5,50,81,0,H-3-5-2:B
44,49,82,0,H-3-5-2:B
44.5,49,82,0,H-3-5-2:B
45,50,82,5,L
45.5,51,82,5,L
46,51,84,5,L
46.5,50,84,5,L
47,50,84,5,L
47.5,50,84,5,L
48,50,85,15,L
48.5,51,85,15,
49,50,85,5,
49.5,49,85,5,
50,46,86,5,
50.5,43,86,5,
51,41,86,5,
51.5,41,86,5,
52,40,86,5,
52.5,40,86,5,
53,39,86,5,
53.5,38,86,5,
54,39,86,5,
54.5,39,86,5,
55,40,86,15,
55.5,41,86,15,
56,42,83,15,H-1-7-2.402289:
56.5,41,83,15,H-1-7-2.402289:
57,40,83,5,H-1-7-2.402289:
57.5,39,83,5,H-1-7-2.402289:
58,37,81,5,H-1-7-2.402289:
58.5,37,81,5,H-1-7-2.402289:
59,37,81,15,H-1-7-2.402289:
59.5,37,81,15,H-1-7-2.402289:
60,37,79,15,
60.5,37,79,15,
61,36,79,5,
61.5,33,79,5,
62,19,78,5,
62.5,17,78,5,
63,29,78,5,
63.5,36,78,5,
64,40,75,5,
64.5,41,75,15,
65,42,75,15,
65.5,42,75,15,H-2-11-3.014103:
66,41,0,5,H-2-11-3.014103:
66.5,39,0,5,H-2-11-3.014103:
67,40,0,5,H-2-11-3.014103:
67.5,40,0,15,H-2-11-3.014103:
68,40,0,15,H-2-11-3.014103:
68.5,41,0,15,H-2-11-3.014103:
69,39,0,15,H-1-15-3.254984:C
69.5,38,0,5,H-1-15-3.254984:C
70,40,0,5,H-1-15-3.254984:C
70.5,41,0,5,H-1-15-3.254984:C
71,43,0,5,H-1-15-3.254984:C
71.5,44,0,5,H-1-15-3.254984:C
72,45,0,5,H-1-15-3.254984:C
72.5,46,0,5,H-1-15-3.254984:C
73,46,0,5,H-1-7-5.035475:C
73.5,46,0,5,H-1-7-5.035475:C
74,45,0,5,H-1-7-5.035475:C
74.5,44,0,5,H-1-7-5.035475:C
75,43,0,5,H-1-7-5.035475:C
75.5,43,0,5,H-1-7-5.035475:C
76,43,77,5,H-1-7-5.035475:C
76.5,43,77,5,H-1-7-5.035475:C
77,42,77,5,H-2-15-3.422055:B
77.5,42,77,5,H-2-15-3.422055:B
78,41,76,5,H-2-15-3.422055:B
78.5,41,76,5,H-2-15-3.422055:B
79,42,76,5,H-2-15-3.422055:B
79.5,41,76,5,H-2-15-3.422055:B
80,40,75,5,H-2-15-3.422055:B
80.5,40,75,5,
81,40,75,5,
81.5,41,75,5,
82,42,75,5,
82.5,43,75,5,
83,44,75,5,
83.5,45,75,5,
84,45,74,5,
84.5,45,74,5,H-0-12-2.070272:
85,44,74,5,H-0-12-2.070272:
85.5,45,74,5,H-0-12-2.070272:
86,45,75,5,H-0-12-2.070272:
86.5,46,75,5,H-0-12-2.070272:
87,46,75,5,H-0-12-2.070272:
87.5,46,75,5,N
88,47,75,5,N
88.5,47,75,5,N
89,46,75,5,N
89.5,46,75,5,N
90,45,77,5,N
90.5,45,77,5,N
91,44,77,5,
91.5,44,77,5,
92,43,78,5,
92.5,42,78,5,
93,42,78,5,
93.5,42,78,5,
94,40,0,5,
94.5,38,0,5,
95,35,0,5,
95.5,25,0,5,
96,14,0,5,
96.5,8,0,5,
97,5,0,5,
97.5,2,0,5,
98,1,0,5,
98.5,0,0,5,
99,0,0,5,
99.5,20,0,5,
100,32,0,5,
100.5,39,0,5,
101,43,0,15,
101.5,45,0,15,
102,46,0,15,
102.5,46,0,15,
103,46,0,5,
103.5,45,0,5,
104,45,0,5,
104.5,45,0,5,
105,47,0,5,
105.5,48,0,5,
106,49,78,5,
106.5,50,78,5,
107,52,78,5,
107.5,54,78,5,
108,55,78,15,
108.5,56,78,15,H-2-13.18638-2.575316:
109,56,78,5,H-2-13.18638-2.575316:
109.5,56,78,5,H-2-13.18638-2.575316:
110,56,78,5,H-2-13.18638-2.575316:
110.5,56,78,5,H-2-13.18638-2.575316:
111,56,78,15,
111.5,56,78,5,
112,55,77,5,
112.5,55,77,5,
113,56,77,5,
113.5,56,77,5,
114,57,77,5,H-2-4.228096-3.363088:
114.5,58,77,5,H-2-4.228096-3.363088:
115,58,77,5,H-2-4.228096-3.363088:
115.5,58,77,15,H-2-4.228096-3.363088:
116,58,75,15,H-2-4.228096-3.363088:
116.5,57,75,15,H-2-4.075701-2.69712:
117,56,75,15,H-2-4.075701-2.69712:
117.5,54,75,5,H-2-4.075701-2.69712:
118,53,74,5,H-2-4.075701-2.69712:
118.5,53,74,5,H-2-4.075701-2.69712:
119,55,74,5,H-2-4.075701-2.69712:
119.5,57,74,5,H-1-8.766967-4.406052:
120,59,74,5,H-1-8.766967-4.406052:
120.5,60,74,5,H-1-8.766967-4.406052:
121,61,74,5,H-1-8.766967-4.406052:
121.5,62,74,5,H-1-8.766967-4.406052:
122,63,73,15,H-1-8.766967-4.406052:
122.5,63,73,5,H-3-13.14583-5.505325:
123,62,73,5,H-3-13.14583-5.505325:
123.5,63,73,5,H-3-13.14583-5.505325:
124,64,74,15,H-3-13.14583-5.505325:
124.5,66,74,15,X
125,67,74,5,X
125.5,67,74,5,X
126,67,74,5,X
126.5,67,74,15,X
127,67,74,15,H-2-8-3.241031:
127.5,66,74,5,H-2-8-3.241031:
128,64,75,5,H-2-8-3.241031:
128.5,63,75,15,H-2-8-3.241031:
129,62,75,15,H-2-8-3.241031:
129.5,61,75,15,H-1-10-4.79935:P1
130,59,76,5,H-1-10-4.79935:P1
130.5,57,76,5,H-1-10-4.79935:P1
131,55,76,5,H-1-10-4.79935:P1
131.5,55,76,5,H-1-10-4.79935:P1
132,55,81,5,H-1-10-4.79935:P1
