Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,0,0,0,C
9,0,0,0,C
9.5,0,0,0,P3
10,0,0,0,P3
10.5,0,0,0,P3
11,0,0,0,P3
11.5,0,0,0,P3
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,
15,0,0,0,
15.5,0,0,0,P3
16,0,0,0,P3
16.5,0,0,0,P3
17,0,0,0,C
17.5,0,0,0,C
18,0,0,0,
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,H-0-10-5:
20,0,0,0,H-0-10-5:
20.5,0,0,0,
21,0,0,0,
21.5,0,0,0,
22,0,0,0,H-1-10-5:
22.5,0,0,0,H-1-10-5:
23,0,0,0,H-1-10-5:
23.5,0,0,0,H-3-5-2:B
24,0,0,0,H-3-5-2:B
24.5,0,0,0,L
25,0,0,0,L
25.5,0,0,0,L
26,0,0,0,
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,H-1-8-3.65853:
29,0,0,0,H-1-8-3.65853:
29.5,0,0,0,H-0-15-4.940506:C
30,0,0,0,H-0-15-4.940506:C
30.5,0,0,0,H-0-15-4.940506:C
31,0,0,0,H-2-9-3.403642:
31.5,0,0,0,H-2-9-3.403642:
32,0,0,0,H-2-13-3.327983:C
32.5,0,0,0,H-2-13-3.327983:C
33,0,0,0,H-2-13-3.327983:C
33.5,0,0,0,H-2-12-2.969854:
34,0,0,0,H-2-12-2.969854:
34.5,0,0,0,
35,0,0,0,
35.5,0,0,0,
36,0,0,0,H-3-20-3.640242:B
36.5,0,0,0,H-3-20-3.640242:B
37,0,0,0,
37.5,0,0,0,
38,0,0,0,
38.5,0,0,0,N
39,0,0,0,N
39.5,0,0,0,H-1-13.30313-3.651205:
40,0,0,0,H-1-13.30313-3.651205:
40.5,0,0,0,H-1-13.30313-3.651205:
41,0,0,0,H-3-3.298759-4.948344:
41.5,0,0,0,H-3-3.298759-4.948344:
42,0,0,0,H-0-7.046378-3.025582:C
42.5,0,0,0,H-0-7.046378-3.025582:C
43,0,0,0,H-0-7.046378-3.025582:C
43.5,0,0,0,H-1-7.391889-4.136452:
44,0,0,0,H-1-7.391889-4.136452:
44.5,0,0,0,H-2-16.43925-3.136666:
45,0,0,0,H-2-16.43925-3.136666:
45.5,0,0,0,H-2-16.43925-3.136666:
46,0,0,0,H-0-3.212688-2.118579:P1
46.5,0,0,0,H-0-3.212688-2.118579:P1
47,0,0,0,H-0-15.29458-3.208982:
47.5,0,0,0,H-0-15.29458-3.208982:
48,0,0,0,H-0-15.29458-3.208982:
48.5,0,0,0,H-1-16.76533-2.904921:
49,0,0,0,H-1-16.76533-2.904921:
49.5,0,0,0,H-0-5.781647-2.266828:C
50,0,0,0,H-0-5.781647-2.266828:C
50.5,0,0,0,H-0-5.781647-2.266828:C
51,0,0,0,H-2-7.160527-2.856024:C
51.5,0,0,0,H-2-7.160527-2.856024:C
52,0,0,0,H-2-7.160527-2.856024:C
52.5,0,0,0,X
53,0,0,0,X
53.5,0,0,0,H-3-20-2.065191:B
54,0,0,0,H-3-20-2.065191:B
54.5,0,0,0,H-3-20-2.065191:B
55,0,0,0,H-0-12-5.883057:
55.5,0,0,0,H-0-12-5.883057:
56,0,0,0,H-1-6-5.732851:C
56.5,0,0,0,H-1-6-5.732851:C
57,0,0,0,H-1-6-5.732851:C
57.5,0,0,0,H-1-4-3.095151:
58,0,0,0,H-1-4-3.095151:
58.5,0,0,0,H-1-9-2.808047:
59,0,0,0,H-1-9-2.808047:
59.5,0,0,0,H-1-9-2.808047:
60,0,0,0,H-2-16-2.801369:
60.5,0,0,0,H-2-16-2.801369:
61,0,0,0,H-2-16-2.801369:
61.5,0,0,0,H-2-16-2.801369:
62,0,0,0,H-2-16-2.801369:
62.5,0,0,0,H-2-16-2.801369:
63,0,0,0,H-2-12-2.849126:
63.5,0,0,0,H-2-12-2.849126:
64,0,0,0,H-2-12-2.849126:
64.5,0,0,0,H-2-12-2.849126:
65,0,0,0,H-2-12-2.849126:
65.5,0,0,0,H-3-20-2.361044:
66,0,0,0,H-3-20-2.361044:
66.5,0,0,0,H-3-20-2.361044:
67,0,0,0,H-3-20-2.361044:
67.5,0,0,0,H-3-20-2.361044:
68,0,0,0,H-2-8-3.422949:
68.5,0,0,0,H-
