Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,0,0,0,C
9,0,0,0,P2
9.5,0,0,0,P2
10,0,0,0,P2
10.5,0,0,0,P2
11,0,0,0,P2
11.5,0,0,0,P2
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,
15,0,0,0,
15.5,0,0,0,
16,0,0,0,
16.5,0,0,0,
17,0,0,0,
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,
19,0,0,0,P2
19.5,0,0,0,P2
20,0,0,0,P2
20.5,0,0,0,C
21,0,0,0,C
21.5,0,0,0,
22,0,0,0,
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,
31,0,0,0,H-0-10-5:
31.5,0,0,0,H-0-10-5:
32,0,0,0,H-0-10-5:
32.5,0,0,0,
33,0,0,0,
33.5,0,0,0,H-1-10-5:
34,0,0,0,H-1-10-5:
34.5,0,0,0,H-1-10-5:
35,0,0,0,H-3-5-2:B
35.5,0,0,0,H-3-5-2:B
36,0,0,0,L
36.5,0,0,0,L
37,0,0,0,L
37.5,0,0,0,
38,0,0,0,
38.5,0,0,0,
39,0,0,0,
39.5,0,0,0,
40,0,0,0,H-1-8-2.704619:
40.5,0,0,0,H-1-8-2.704619:
41,0,0,0,H-3-20-4.084939:
41.5,0,0,0,H-3-20-4.084939:
42,0,0,0,H-3-20-4.084939:
42.5,0,0,0,H-1-10-4.067194:C
43,0,0,0,H-1-10-4.067194:C
43.5,0,0,0,H-0-14-4.122562:C
44,0,0,0,H-0-14-4.122562:C
44.5,0,0,0,H-0-14-4.122562:C
45,0,0,0,H-0-11-5.245061:
45.5,0,0,0,H-0-11-5.245061:
46,0,0,0,H-1-7-2.284342:
46.5,0,0,0,H-1-7-2.284342:
47,0,0,0,H-1-7-2.284342:
47.5,0,0,0,H-3-20-2.332838:
48,0,0,0,H-3-20-2.332838:
48.5,0,0,0,H-0-13-2.164815:C
49,0,0,0,H-0-13-2.164815:C
49.5,0,0,0,H-0-13-2.164815:C
50,0,0,0,N
50.5,0,0,0,N
51,0,0,0,N
51.5,0,0,0,H-3-10.47446-2.229246:
52,0,0,0,H-3-10.47446-2.229246:
52.5,0,0,0,H-1-15.64412-2.285758:C
53,0,0,0,H-1-15.64412-2.285758:C
53.5,0,0,0,H-1-15.64412-2.285758:C
54,0,0,0,H-2-12.09563-2.786026:
54.5,0,0,0,H-2-12.09563-2.786026:
55,0,0,0,H-0-10.6107-3.389567:C
55.5,0,0,0,H-0-10.6107-3.389567:C
56,0,0,0,H-0-10.6107-3.389567:C
56.5,0,0,0
