Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,P3
3,0,0,0,P3
3.5,0,0,0,P3
4,0,0,0,P3
4.5,0,0,0,P3
5,0,0,0,
5.5,0,0,0,
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,P3
13.5,0,0,0,P3
14,0,0,0,P3
14.5,0,0,0,P3
15,0,0,0,P3
15.5,0,0,0,C
16,0,0,0,C
16.5,0,0,0,C
17,0,0,0,C
17.5,0,0,0,C
18,0,0,0,
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,
20,0,0,0,
20.5,0,0,0,H-0-10-5:
21,0,0,0,H-0-10-5:
21.5,0,0,0,H-0-10-5:
22,0,0,0,H-0-10-5:
22.5,0,0,0,H-0-10-5:
23,0,0,0,H-0-10-5:
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,H-1-10-5:
26.5,0,0,0,H-1-10-5:
27,0,0,0,H-1-10-5:
27.5,0,0,0,H-1-10-5:
28,0,0,0,H-1-10-5:
28.5,0,0,0,H-3-5-2:B
29,0,0,0,H-3-5-2:B
29.5,0,0,0,H-3-5-2:B
30,0,0,0,H-3-5-2:B
30.5,0,0,0,H-3-5-2:B
31,0,0,0,L
31.5,0,0,0,L
32,0,0,0,L
32.5,0,0,0,L
33,0,0,0,L
33.5,0,0,0,
34,0,0,0,
34.5,0,0,0,
35,0,0,0,
35.5,0,0,0,
36,0,0,0,
36.5,0,0,0,
37,0,0,0,
37.5,0,0,0,
38,0,0,0,
38.5,0,0,0,H-1-7-4.413661:C
39,0,0,0,H-1-7-4.413661:C
39.5,0,0,0,H-1-7-4.413661:C
40,0,0,0,H-1-7-4.413661:C
40.5,0,0,0,H-2-11-2.537146:
41,0,0,0,H-2-11-2.537146:
41.5,0,0,0,H-1-8-3.050912:C
42,0,0,0,H-1-8-3.050912:C
42.5,0,0,0,H-1-8-3.050912:C
43,0,0,0,H-1-8-3.050912:C
43.5,0,0,0,H-1-8-3.050912:C
44,0,0,0,H-1-5-2.471386:C
44.5,0,0,0,H-1-5-2.471386:C
45,0,0,0,H-1-5-2.471386:C
45.5,0,0,0,H-1-5-2.471386:C
46,0,0,0,H-2-13-2.585037:B
46.5,0,0,0,H-2-13-2.585037:B
47,0,0,0,H-2-7-3.309862:
47.5,0,0,0,H-2-7-3.309862:
48,0,0,0,H-2-7-3.309862:
48.5,0,0,0,H-3-20-3.802095:C
49,0,0,0,H-3-20-3.802095:C
49.5,0,0,0,H-0-10-2.211098:
50,0,0,0,H-0-10-2.211098:
50.5,0,0,0,H-0-10-2.211098:
51,0,0,0,N
51.5,0,0,0,N
52,0,0,0,
52.5,0,0,0,
53,0,0,0,
53.5,0,0,0,
54,0,0,0,
54.5,0,0,0,
55,0,0,0,
55.5,0,0,0,
56,0,0,0,H-2-13.48106-2.758493:
56.5,0,0,0,H-2-13.48106-2.758493:
57,0,0,0,H-2-13.48106-2.758493:
57.5,0,0,0,H-0-10.80123-4.487999:
58,0,0,0,H-0-10.80123-4.487999:
58.5,0,0,0,
59,0,0,0,
59.5,0,0,0,
60,0,0,0,H-3-12.88984-2.108265:
60.5,0,0,0,H-3-12.88984-2.108265:
61,0,0,0,H-1-17.72378-3.142833:
61.5,0,0,0,H-1-17.72378-3.142833:
62,0,0,0,H-1-17.72378-3.142833:
62.5,0,0,0,
63,0,0,0,
63.5,0,0,0,H-1-17.40918-3.240203:
64,0,0,0,H-1-17.40918-3.240203:
64.5,0,0,0,H-0-7.029565-3.074529:
65,0,0,0,X
65.5,0,0,0,X
66,0,0,0,H-0-10-5.978919:
66.5,0,0,0,H-0-10-5.978919:
67,0,0,0,H-0-10-5.978919:
67.5,0,0,0,H-0-11-4.5968:
68,0,0,0,H-0-11-4.5968:
68.5,0,0,0,H-1-5-3.573981:
69,0,0,0,H-1-5-3.573981:
69.5,0,0,0,H-1-5-3.573981:
70,0,0,0,H-0-15-2.439967:
70.5,0,0,0,H-0-15-2.439967:
71,0,0,0,H-2-14-3.303784:
71.5,0,0,0,H-2-14-3.303784:
72,0,0,0,H-2-14-3.303784:
72.5,0,0,0,H-2-12-2.923891:
73,0,0,0,H-2-12-2.923891:
73.5,0,0,0,H-0-13-5.827762:P2
74,0,0,0,H-0-13-5.827762:P2
74.5,0,0,0,H-0-13-5.827762:P2
75,0,0,0,C
75.5,0,0,0,C
76,0,0,0,H-3-20-5.791237:
76.5,0,0,0,H-3-20-5.791237:
77,0,0,0,H-3-20-5.791237:
77.5,0,0,0,H-2-15-3.184752:P2
78,0,0,0,H-2-15-3.184752:P2
78.5,0,0,0,H-2-15-3.184752:P2
79,0,0,0,N
79.5,0,0,0,N
80,0,0,0,H-3-4.675161-2.979339:
80.5,0,0,0,H-3-4.675161-2.979339:
81,0,0,0,H-3-4.675161-2.979339:
81.5,0,0,0,H-1-10.82649-3.74586:
82,0,0,0,H-1-10.82649-3.74586:
82.5,0,0,0,H-1-5.565422-4.703821:CP1
83,0,0,0,H-1-5.565422-4.703821:CP1
83.5,0,0,0,H-1-5.565422-4.703821:CP1
84,0,0,0,H-0-9.736463-4.155172:
84.5,0,0,0,H-0-9.736463-4.155172:
85,0,0,0,H-3-10.51631-5.577663:C
85.5,0,0,0,H-3-10.51631-5.577663:C
86,0,0,0,H-3-10.51631-5.577663:C
86.5,0,0,0,H-1-10.48101-2.721162:
87,0,0,0,H-1-10.48101-2.721162:
87.5,0,0,0,H-1-7.587592-3.29587:C
88,0,0,0,H-1-7.587592-3.29587:C
88.5,0,0,0,H-1-7.587592-3.29587:C
89,0,0,0,H-0-12.15569-2.891743:P2
89.5,0,0,0,H-0-12.15569-2.891743:P2
90,0,0,0,H-0-12.15569-2.891743:P2
90.5,0,0,0,H-2-9.41221-3.102554:
91,0,0,0,H-2-9.41221-3.102554:
91.5,0,0,0,H-2-9.41221-3.102554:
92,0,0,0,H-2-9.41221-3.102554:
92.5,0,0,0,H-2-9.41221-3.102554:
93,0,0,0,H-2-9.41221-3.102554:
93.5,0,0,0,
94,0,0,0,
94.5,0,0,0,
95,0,0,0,
95.5,0,0,0,X
96,0,0,0,X
96.5,0,0,0,H-1-14-2.219426:
97,0,0,0,H-1-14-2.219426:
97.5,0,0,0,H-1-14-2.219426:
98,0,0,0,H-1-12-3.253873:
98.5,0,0,0,H-1-12-3.253873:
99,0,0,0,H-1-12-3.253873:
99.5,0,0,0,H-0-7-3.346594:
100,0,0,0,H-0-7-3.346594:
100.5,0,0,0,H-3-20-2.319464:
101,0,0,0,H-3-20-2.319464:
101.5,0,0,0,H-3-20-2.319464:
102,0,0,0,H-3-20-4.380771:
102.5,0,0,0,H-3-20-4.380771:
103,0,0,0,H-0-12-3.686197:
103.5,0,0,0,H-0-12-3.686197:
104,0,0,0,H-0-12-3.686197:
104.5,0,0,0,H-3-20-5.707744:
105,0,0,0,H-3-20-5.707744:
105.5,0,0,0,H-3-20-5.707744:
106,0,0,0,H-3-20-5.707744:
106.5,0,0,0,H-1-8-2.767485:
107,0,0,0,H-1-8-2.767485:
107.5,0,0,0,H-1-8-2.767485:
108,0,0,0,H-2-13-3.096142:C
108.5,0,0,0,H-2-13-3.096142:C
109,0,0,0,H-2-13-3.096142:C
109.5,0,0,0,H-2-13-3.096142:C
110,0,0,0,H-2-13-3.096142:C
110.5,0,0,0,H-2-13-3.096142:C
111,0,0,0,H-2-13-3.096142:C
