Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,P2
3,0,0,0,P2
3.5,0,0,0,P2
4,0,0,0,P2
4.5,0,0,0,P2
5,0,0,0,P2
5.5,0,0,0,
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,P2
11,0,0,0,P2
11.5,0,0,0,C
12,0,0,0,C
12.5,0,0,0,C
13,0,0,0,
13.5,0,0,0,
14,0,0,0,H-0-10-5:
14.5,0,0,0,H-0-10-5:
15,0,0,0,H-0-10-5:
15.5,0,0,0,
16,0,0,0,
16.5,0,0,0,H-1-10-5:
17,0,0,0,H-1-10-5:
17.5,0,0,0,H-1-10-5:
18,0,0,0,H-3-5-2:B
18.5,0,0,0,H-3-5-2:B
19,0,0,0,L
19.5,0,0,0,L
20,0,0,0,L
20.5,0,0,0,
21,0,0,0,
21.5,0,0,0,
22,0,0,0,
22.5,0,0,0,
23,0,0,0,H-0-9-3.656807:
23.5,0,0,0,H-0-9-3.656807:
24,0,0,0,H-0-9-3.656807:
24.5,0,0,0,H-2-11-2.708769:C
25,0,0,0,H-2-11-2.708769:C
25.5,0,0,0,H-2-10-3.214808:
26,0,0,0,H-2-10-3.214808:
26.5,0,0,0,H-2-10-3.214808:
27,0,0,0,H-2-10-3.214808:
27.5,0,0,0,H-3-20-3.969816:P3
28,0,0,0,H-3-20-3.969816:P3
28.5,0,0,0,H-2-14-3.41811:
29,0,0,0,H-2-14-3.41811:
29.5,0,0,0,H-2-14-3.41811:
30,0,0,0,H-2-14-3.41811:
30.5,0,0,0,H-2-15-2.729772:B
31,0,0,0,H-2-15-2.729772:B
31.5,0,0,0,H-2-15-2.729772:B
32,0,0,0,H-2-15-2.729772:B
32.5,0,0,0,H-2-15-2.729772:B
33,0,0,0,H-2-9-3.239433:
33.5,0,0,0,H-2-9-3.239433:
34,0,0,0,H-2-9-3.239433:
34.5,0,0,0,H-0-11-4.21039:C
35,0,0,0,H-0-11-4.21039:C
35.5,0,0,0,H-0-11-4.21039:C
36,0,0,0,N
36.5,0,0,0,N
37,0,0,0,H-3-12.19185-2.470832:P2
37.5,0,0,0,H-3-12.19185-2.470832:P2
38,0,0,0,H-3-12.19185-2.470832:P2
38.5,0,0,0,H-1-11.84485-3.893272:P3
39,0,0,0,H-1-11.84485-3.893272:P3
39.5,0,0,0,H-3-6.306489-5.768768:C
40,0,0,0,H-3-6.306489-5.768768:C
40.5,0,0,0,H-3-6.306489-5.768768:C
41,0,0,0,H-2-13.05513-3.071182:
41.5,0,0,0,H-2-13.05513-3.071182:
42,0,0,0,H-1-11.30233-2.529985:
42.5,0,0,0,H-1-11.30233-2.529985:
43,0,0,0,H-1-11.30233-2.529985:
43.5,0,0,0,H-3-12.11454-5.516739:
44,0,0,0,H-3-12.11454-5.516739:
44.5,0,0,0,H-3-12.83083-2.374571:C
45,0,0,0,H-3-12.83083-2.374571:C
45.5,0,0,0,H-3-12.83083-2.374571:C
46,0,0,0,H-0-10.85792-5.445032:
46.5,0,0,0,H-0-10.85792-5.445032:
47,0,0,0,H-0-14.36343-2.107625:
47.5,0,0,0,H-0-14.36343-2.107625:
48,0,0,0,H-0-14.36343-2.107625:
48.5,0,0,0,H-0-14.36343-2.107625:
49,0,0,0,H-0-14.36343-2.107625:
49.5,0,0,0,H-0-14.36343-2.107625:
50,0,0,0,H-0-14.36343-2.107625:
50.5,0,0,0,H-0-14.36343-2.107625:
51,0,0,0,H-0-14.36343-2.107625:
51.5,0,0,0,H-0-14.36343-2.107625:
52,0,0,0,H-0-14.36343-2.107625:
52.5,0,0,0,H-0-14.36343-2.107625:
53,0,0,0,H-0-14.36343-2.107625:
53.5,0,0,0,H-0-14.36343-2.107625:
54,0,0,0,H-0-14.36343-2.107625:
54.5,0,0,0,H-0-14.36343-2.107625:
55,0,0,0,H-0-14.36343-2.107625:
55.5,0,0,0,H-0-14.36343-2.107625:
56,0,0,0,H-0-14.36343-2.107625:
56.5,0,0,0,H-0-14.36343-2.107625:
57,0,0,0,H-0-14.36343-2.107625:
57.5,0,0,0,H-0-14.36343-2.107625:
58,0,0,0,H-0-14.36343-2.107625:
58.5,0,0,0,H-0-14.36343-2.107625:
59,0,0,0,H-0-14.36343-2.107625:
59.5,0,0,0,H-0-14.36343-2.107625:
60,0,0,0,H-0-14.36343-2.107625:
60.5,0,0,0,H-0-14.36343-2.107625:
61,0,0,0,H-0-14.36343-2.107625:
61.5,0,0,0,H-0-14.36343-2.107625:
62,0,0,0,H-0-14.36343-2.107625:
62.5,0,0,0,H-0-14.36343-2.107625:
63,0,0,0,H-0-14.36343-2.107625:
63.5,0,0,0,H-0-14.36343-2.107625:
64,0,0,0,H-0-14.36343-2.107625:
64.5,0,0,0,H-0-14.36343-2.107625:
65,0,0,0,H-0-14.36343-2.107625:
65.5,0,0,0,H-0-14.36343-2.107625:
66,0,0,0,H-0-14.36343-2.107625:
66.5,0,0,0,H-0-14.36343-2.107625:
67,0,0,0,H-0-14.36343-2.107625:
67.5,0,0,0,H-0-14.36343-2.107625:
68,0,0,0,H-0-14.36343-2.107625:
68.5,0,0,0,H-0-14.36343-2.107625:
69,0,0,0,H-0-14.36343-2.107625:
69.5,0,0,0,H-0-14.36343-2.107625:
70,0,0,0,H-0-14.36343-2.107625:
70.5,0,0,0,H-0-14.36343-2.107625:
71,0,0,0,H-0-14.36343-2.107625:
71.5,0,0,0,H-0-14.36343-2.107625:
72,0,0,0,H-0-14.36343-2.107625:
72.5,0,0,0,H-0-14.36343-2.107625:
73,0,0,0,H-2-3.974977-3.222669:
73.5,0,0,0,H-2-3.974977-3.222669:
74,0,0,0,H-2-3.974977-3.222669:
74.5,0,0,0,H-2-3.974977-3.222669:
75,0,0,0,H-2-3.974977-3.222669:
75.5,0,0,0,H-2-3.974977-3.222669:
7
