Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,P2
2,0,0,0,P2
2.5,0,0,0,P2
3,0,0,0,P2
3.5,0,0,0,
4,0,0,0,
4.5,0,0,0,
5,0,0,0,
5.5,0,0,0,
6,0,0,0,
6.5,0,0,0,
7,0,0,0,P2
7.5,0,0,0,P2
8,0,0,0,P2
8.5,0,0,0,C
9,0,0,0,C
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,H-0-10-5:
11.5,0,0,0,H-0-10-5:
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,H-1-10-5:
14,0,0,0,H-1-10-5:
14.5,0,0,0,H-3-5-2:B
15,0,0,0,H-3-5-2:B
15.5,0,0,0,H-3-5-2:B
16,0,0,0,L
16.5,0,0,0,L
17,0,0,0,L
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,
20,0,0,0,P1
20.5,0,0,0,P1
21,0,0,0,C
21.5,0,0,0,C
22,0,0,0,C
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,H-3-20-5.024957:P1
33,0,0,0,H-3-20-5.024957:P1
33.5,0,0,0,H-0-10-4.51571:C
34,0,0,0,H-0-10-4.51571:C
34.5,0,0,0,H-0-10-4.51571:C
35,0,0,0,H-1-13-3.691202:
35.5,0,0,0,H-1-13-3.691202:
36,0,0,0,H-3-20-3.666611:C
36.5,0,0,0,H-3-20-3.666611:C
37,0,0,0,H-3-20-3.666611:C
37.5,0,0,0,H-2-6-2.833183:
38,0,0,0,H-2-6-2.833183:
38.5,0,0,0,H-2-9-2.652128:C
39,0,0,0,H-2-9-2.652128:C
39.5,0,0,0,H-2-9-2.652128:C
40,0,0,0,H-0-18-3.09159:
40.5,0,0,0,H-0-18-3.09159:
41,0,0,0,H-0-11-3.574712:
41.5,0,0,0,H-0-11-3.574712:
42,0,0,0,H-0-11-3.574712:
42.5,0,0,0,N
43,0,0,0,N
43.5,0,0,0,H-0-8.510257-2.423445:CP1
44,0,0,0,H-0-8.510257-2.423445:CP1
44.5,0,0,0,H-0-8.510257-2.423445:CP1
45,0,0,0,H-3-10.36512-4.234709:
45.5,0,0,0,H-3-10.36512-4.234709:
46,0,0,0,H-1-2.00696-2.357065:
46.5,0,0,0,H-1-2.00696-2.357065:
47,0,0,0,H-1-2.00696-2.357065:
47.5,0,0,0,H-0-2.978632-4.349242:
48,0,0,0,H-0-2.978632-4.349242:
48.5,0,0,0,H-0-2.978632-4.349242:
49,0,0,0,H-0-17.92995-3.199158:CP1
49.5,0,0,0,H-0-17.92995-3.199158:CP1
50,0,0,0,H-0-17.05217-4.498203:C
50.5,0,0,0,H-0-17.05217-4.498203:C
51,0,0,0,H-0-17.05217-4.498203:C
51.5,0,0
