Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,P1
5.5,0,0,0,P1
6,0,0,0,P1
6.5,0,0,0,P1
7,0,0,0,P1
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,
15,0,0,0,P1
15.5,0,0,0,P1
16,0,0,0,P1
16.5,0,0,0,P1
17,0,0,0,P1
17.5,0,0,0,P1
18,0,0,0,C
18.5,0,0,0,C
19,0,0,0,C
19.5,0,0,0,C
20,0,0,0,C
20.5,0,0,0,
21,0,0,0,
21.5,0,0,0,
22,0,0,0,
22.5,0,0,0,
23,0,0,0,H-0-10-5:
23.5,0,0,0,H-0-10-5:
24,0,0,0,H-0-10-5:
24.5,0,0,0,H-0-10-5:
25,0,0,0,H-0-10-5:
25.5,0,0,0,
26,0,0,0,
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,
28,0,0,0,H-1-10-5:
28.5,0,0,0,H-1-10-5:
29,0,0,0,H-1-10-5:
29.5,0,0,0,H-1-10-5:
30,0,0,0,H-1-10-5:
30.5,0,0,0,H-3-5-2:B
31,0,0,0,H-3-5-2:B
31.5,0,0,0,H-3-5-2:B
32,0,0,0,H-3-5-2:B
32.5,0,0,0,H-3-5-2:B
33,0,0,0,L
33.5,0,0,0,L
34,0,0,0,L
34.5,0,0,0,
35,0,0,0,
35.5,0,0,0,
36,0,0,0,
36.5,0,0,0,
37,0,0,0,H-3-20-4.411401:B
37.5,0,0,0,H-3-20-4.411401:B
38,0,0,0,H-3-20-4.411401:B
38.5,0,0,0,H-3-20-4.411401:B
39,0,0,0,H-3-20-4.411401:B
39.5,0,0,0,H-3-20-4.411401:B
40,0,0,0,H-3-20-4.411401:B
40.5,0,0,0,H-3-20-4.411401:B
41,0,0,0,H-3-20-4.411401:B
41.5,0,0,0,H-3-20-4.411401:B
42,0,0,0,H-3-20-4.411401:B
42.5,0,0,0,H-3-20-4.411401:B
43,0,0,0,H-3-20-4.411401:B
43.5,0,0,0,H-3-20-4.411401:B
44,0,0,0,H-3-20-4.411401:B
44.5,0,0,0,H-3-20-4.411401:B
45,0,0,0,H-3-20-4.411401:B
45.5,0,0,0,H-3-20-4.411401:B
46,0,0,0,H-3-20-4.411401:B
46.5,0,0,0,H-3-20-4.411401:B
47,0,0,0,H-3-20-4.411401:B
47.5,0,0,0,H-3-20-4.411401:B
48,0,0,0,H-3-20-4.411401:B
48.5,0,0,0,H-3-20-4.411401:B
49,0,0,0,H-3-20-4.411401:B
49.5,0,0,0,H-3-20-4.411401:B
50,0,0,0,H-3-20-4.411401:B
50.5,0,0,0,H-3-20-4.411401:B
51,0,0,0,H-1-9-3.490157:C
51.5,0,0,0,H-1-9-3.490157:C
52,0,0,0,H-1-9-3.490157:C
52.5,0,0,0,H-1-9-3.490157:C
53,0,0,0,
53.5,0,0,0,
54,0,0,0,
54.5,
