Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,27,0,0,C
5,45,0,0,C
5.5,56,0,0,C
6,63,0,0,C
6.5,69,0,0,C
7,72,0,0,P1
7.5,74,0,0,P1
8,75,0,0,P1
8.5,76,0,0,P1
9,76,0,0,
9.5,77,0,0,
10,77,0,0,
10.5,77,0,0,
11,77,0,0,
11.5,77,0,0,
12,76,0,0,
12.5,76,0,0,
13,77,0,0,
13.5,78,0,0,
14,78,0,0,
14.5,79,0,0,
15,80,0,5,
15.5,80,0,5,P1
16,80,0,5,P1
16.5,79,0,5,P1
17,79,0,15,P1
17.5,79,0,15,C
18,80,0,5,C
18.5,82,0,5,C
19,83,0,5,C
19.5,83,0,5,
20,83,0,5,
20.5,84,0,5,
21,83,0,5,
21.5,82,0,5,H-0-10-5:
22,82,0,5,H-0-10-5:
22.5,81,0,5,H-0-10-5:
23,80,0,5,H-0-10-5:
23.5,80,0,5,
24,79,0,5,
24.5,79,0,5,
25,79,0,5,
25.5,79,0,5,H-1-10-5:
26,79,0,5,H-1-10-5:
26.5,79,0,5,H-1-10-5:
27,80,0,5,H-1-10-5:
27.5,81,0,5,H-3-5-2:B
28,82,0,5,H-3-5-2:B
28.5,82,0,5,H-3-5-2:B
29,83,0,5,H-3-5-2:B
29.5,84,0,5,L
30,84,0,5,L
30.5,85,0,5,L
31,85,0,5,L
31.5,86,0,5,
32,88,0,5,
32.5,89,0,5,
33,90,0,15,
33.5,91,0,5,
34,91,0,5,
34.5,91,0,15,
35,91,0,5,P3
35.5,90,0,15,P3
36,89,0,5,P3
36.5,88,0,15,H-0-7-3.735711:
37,88,0,5,H-0-7-3.735711:
37.5,86,0,15,H-0-7-3.735711:
38,83,0,15,H-0-7-3.735711:
38.5,80,0,15,H-0-11-3.281347:
39,80,0,5,H-0-11-3.281347:
39.5,83,0,5,H-0-11-3.281347:
40,86,0,5,H-3-20-5.970164:
40.5,88,0,5,H-3-20-5.970164:
41,90,0,5,H-3-20-5.970164:
41.5,92,0,15,H-3-20-5.970164:
42,94,0,5,H-3-20-5.190132:
42.5,95,0,5,H-3-20-5.190132:
43,95,0,5,H-3-20-5.190132:
43.5,95,0,5,H-1-7-3.217167:
44,95,0,5,H-1-7-3.217167:
44.5,95,0,5,H-1-7-3.217167:
45,94,0,5,H-2-8-3.473704:P3
45.5,93,0,5,H-2-8-3.473704:P3
46,91,0,5,H-2-8-3.473704:P3
46.5,90,0,5,H-2-8-3.473704:P3
47,92,0,5,H-3-20-4.324655:
47.5,94,0,5,H-3-20-4.324655:
48,97,0,15,H-3-20-4.324655:
48.5,101,0,15,N
49,106,0,5,N
49.5,109,0,5,N
50,111,0,5,
50.5,112,0,5,
51,114,0,5,
51.5,115,0,5,H-3-15.82145-2.168791:
52,117,0,5,H-3-15.82145-2.168791:
52.5,119,0,5,H-0-5.862881-2.003308:
53,120,0,5,H-0-5.862881-2.003308:
53.5,120,0,5,H-0-5.862881-2.003308:
54,120,0,5,H-3-2.970407-4.210006:
54.5,119,0,5,H-3-2.970407-4.210006:
55,118,0,5,H-3-2.970407-4.210006:
55.5,118,0,5,
56,117,0,5,
56.5,116,0,5,
57,116,0,5,H-1-10.7526-2.862171:
57.5,115,0,5,H-1-10.7526-2.862171:
58,115,0,5,H-3-15.88691-4.251621:
58.5,114,0,5,H-3-15.88691-4.251621:
59,113,0,5,H-3-15.88691-4.251621:
59.5,111,0,5,
60,110,0,5,
60.5,108,0,5,
61,104,0,5,
61.5,101,0,5,
62,96,0,5,
62.5,92,0,5,
63,87,0,5,
63.5,82,0,5,
64,81,0,5,
64.5,82,0,5,
65,86,0,15,
65.5,91,0,5,X
66,96,0,5,X
66.5,99,0,5,X
67,100,0,5,C
67.5,100,0,5,C
68,100,0,5,C
68.5,100,0,5,H-2-10-3.284953:
69,101,0,5,H-2-10-3.284953:
69.5,101,0,5,H-2-10-3.284953:
70,101,0,15,H-2-10-3.284953:
70.5,102,0,5,H-1-10-5.196751:BP3
71,102,0,5,H-1-10-5.196751:BP3
71.5,101,0,5,H-1-10-5.196751:BP3
72,101,0,5,H-1-9-2.617493:C
72.5,100,0,5,H-1-9-2.617493:C
73,100,0,15,H-1-9-2.617493:C
73.5,101,0,15,H-0-11-4.012898:C
74,101,0,5,H-0-11-4.012898:C
74.5,101,0,5,H-0-11-4.012898:C
75,101,0,5,H-1-12-3.023045:
75.5,101,0,5,H-1-12-3.023045:
76,102,0,5,H-1-12-3.023045:
76.5,102,0,5,H-0-8-4.410383:
77,102,0,5,H-0-8-4.410383:
77.5,103,0,5,H-0-8-4.410383:
78,103,0,5,H-0-8-4.410383:
78.5,103,0,5,H-3-20-5.028545:
79,103,0,5,H-3-20-5.028545:
79.5,103,0,5,H-3-20-5.028545:
80,103,0,5,H-1-9-2.176689:
80.5,102,0,15,H-1-9-2.176689:
81,102,0,15,H-1-9-2.176689:
81.5,101,0,15,H-3-20-4.38525:
82,101,0,5,H-3-20-4.38525:
82.5,100,0,5,H-3-20-4.38525:
83,100,0,5,N
83.5,101,0,5,N
84,103,0,5,N
84.5,105,0,5,H-3-10.4692-3.625065:C
85,106,0,5,H-3-10.4692-3.625065:C
85.5,107,0,5,H-3-10.4692-3.625065:C
86,108,0,5,H-2-4.818571-3.007051:
86.5,108,0,15,H-2-4.818571-3.007051:
87,108,0,15,H-2-4.818571-3.007051:
87.5,106,0,5,H-1-2.792871-3.620802:
88,105,0,5,H-1-2.792871-3.620802:
88.5,104,0,15,H-1-2.792871-3.620802:
89,104,0,5,H-1-10.77379-4.012743:
89.5,103,0,5,H-1-10.77379-4.012743:
90,102,0,5,H-1-10.77379-4.012743:
90.5,103,0,5,H-2-17.38571-2.67182:C
91,104,0,5,H-2-17.38571-2.67182:C
91.5,105,0,5,H-2-17.38571-2.67182:C
92,106,0,5,H-2-13.33035-2.529104:P2
92.5,106,0,5,H-2-13.33035-2.529104:P2
93,105,0,15,H-2-13.33035-2.529104:P2
93.5,104,0,15,H-3-5.329836-3.730464:C
94,103,0,5,H-3-5.329836-3.730464:C
94.5,100,0,15,H-3-5.329836-3.730464:C
95,98,0,15,H-2-3.650282-2.625778:
95.5,95,0,5,H-2-3.650282-2.625778:
96,91,0,5,H-2-3.650282-2.625778:
96.5,85,0,5,H-2-3.650282-2.625778:
97,80,0,5,H-0-17.18625-3.686261:C
97.5,74,0,5,H-0-17.18625-3.686261:C
98,69,0,5,H-0-17.18625-3.686261:C
98.5,67,0,5,H-0-17.18625-3.686261:C
99,72,0,15,H-0-17.18625-3.686261:C
99.5,79,0,15,H-2-8.43971-3.153812:P1
100,85,0,5,H-2-8.43971-3.153812:P1
100.5,88,0,5,H-2-8.43971-3.153812:P1
101,91,0,15,H-2-8.43971-3.153812:P1
101.5,93,0,15,X
102,94,0,5,X
102.5,95,0,15,X
103,95,0,15,H-2-8-3.492061:
103.5,95,0,5,H-2-8-3.492061:
104,95,0,5,H-2-8-3.492061:
104.5,95,0,5,H-2-8-3.492061:
105,96,0,5,H-0-11-3.594046:
105.5,96,0,5,H-0-11-3.594046:
106,96,0,5,H-0-11-3.594046:
106.5,97,0,5,H-2-12-2.579855:
107,97,0,5,H-2-12-2.579855:
107.5,98,0,5,H-2-12-2.579855:
108,99,0,5,H-2-12-2.579855:
108.5,99,0,5,H-3-20-2.880386:
109,99,0,5,H-3-20-2.880386:
109.5,99,0,5,H-3-20-2.880386:
110,99,0,5,H-1-10-2.348522:
110.5,99,0,5,H-1-10-2.348522:
111,99,0,5,H-1-10-2.348522:
111.5,99,0,5,H-1-4-4.672289:C
