Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,P3
3.5,0,0,0,P3
4,0,0,0,P3
4.5,0,0,0,P3
5,0,0,0,P3
5.5,0,0,0,P3
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,P3
12.5,0,0,0,P3
13,0,0,0,P3
13.5,0,0,0,C
14,0,0,0,C
14.5,0,0,0,
15,0,0,0,
15.5,0,0,0,
16,0,0,0,H-0-10-5:
16.5,0,0,0,H-0-10-5:
17,0,0,0,
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,H-1-10-5:
19,0,0,0,H-1-10-5:
19.5,0,0,0,H-3-5-2:B
20,0,0,0,H-3-5-2:B
20.5,0,0,0,H-3-5-2:B
21,0,0,0,L
21.5,0,0,0,L
22,0,0,0,
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,H-0-11-3.84709:P3
25,0,0,0,H-0-11-3.84709:P3
25.5,0,0,0,H-0-11-3.84709:P3
26,0,0,0,H-0-8-5.494689:P1
26.5,0,0,0,H-0-8-5.494689:P1
27,0,0,0,H-0-8-5.494689:P1
27.5,0,0,0,H-2-6-3.096869:
28,0,0,0,H-2-6-3.096869:
28.5,0,0,0,H-0-13-4.626717:
29,0,0,0,H-0-13-4.626717:
29.5,0,0,0,H-0-13-4.626717:
30,0,0,0,H-0
