Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,P1
3,0,0,0,P1
3.5,0,0,0,P1
4,0,0,0,P1
4.5,0,0,0,P1
5,0,0,0,P1
5.5,0,0,0,P1
6,0,0,0,P1
6.5,0,0,0,P1
7,0,0,0,P1
7.5,0,0,0,P1
8,0,0,0,P1
8.5,0,0,0,P1
9,0,0,0,P1
9.5,0,0,0,P1
10,0,0,0,P1
10.5,0,0,0,P1
11,0,0,0,P1
11.5,0,0,0,P1
12,0,0,0,
12.5,0,0,0,
13,0,0,0,
13.5,0,0,0,
14,0,0,0,
14.5,0,0,0,
15,0,0,0,
15.5,0,0,0,
16,0,0,0,
16.5,0,0,0,
17,0,0,0,
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,
19,0,0,0,
19.5,0,0,0,P1
20,0,0,0,P1
20.5,0,0,0,P1
21,0,0,0,P1
21.5,0,0,0,P1
22,0,0,0,P1
22.5,0,0,0,C
23,0,0,0,P1
23.5,0,0,0,P1
24,0,0,0,P1
24.5,0,0,0,P1
25,0,0,0,C
25.5,0,0,0,C
26,0,0,0,C
26.5,0,0,0,C
27,0,0,0,C
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,
30,0,0,0,H-0-10-5:
30.5,0,0,0,H-0-10-5:
31,0,0,0,H-0-10-5:
31.5,0,0,0,H-0-10-5:
32,0,0,0,
32.5,0,0,0,
33,0,0,0,
33.5,0,0,0,H-1-10-5:
34,0,0,0,H-1-10-5:
34.5,0,0,0,H-1-10-5:
35,0,0,0,H-3-5-2:B
35.5,0,0,0,H-3-5-2:B
36,0,0,0,H-3-5-2:B
36.5,0,0,0,L
37,0,0,0,L
37.5,0,0,0,
38,0,0,0,
38.5,0,0,0,
39,0,0,0,
39.5,0,0,0,
40,0,0,0,H-3-20-2.110672:
40.5,0,0,0,H-3-20-2.110672:
41,0,0,0,H-3-20-2.110672:
41.5,0,0,0,H-1-12-5.070461:B
42,0,0,0,H-0-9-2.209456:C
42.5,0,0,0,H-0-9-2.209456:C
43,0,0,0,H-0-9-2.209456:C
43.5,0,0,0,H-0-9-2.209456:C
44,0,0,0,H-0-9-2.209456:C
44.5,0,0,0,H-0-9-2.209456:C
45,0,0,0,H-0-9-2.209456:C
45.5,0,0,0,H-0-9-2.209456:C
46,0,0,0,H-0-9-2.209456:C
46.5,0,0,0,H-1-12-5.070461:B
47,0,0,0,H-1-12-5.070461:B
47.5,0,0,0,H-1-12-5.070461:B
48,0,0,0,H-1-12-5.070461:B
48.5,0,0,0,H-1-12-5.070461:B
49,0,0,0,H-1-12-5.070461:B
49.5,0,0,0,H-0-9-2.209456:C
50,0,0,0,H-0-9-2.209456:C
50.5,0,0,0,H-0-10-2.987143:B
51,0,0,0,H-0-10-2.987143:B
51.5,0,0,0,H-0-10-2.987143:B
52,0,0,0,H-1-12-2.921171:
52.5,0,0,0,H-1-12-2.921171:
53,0,0,0,H-3-20-3.687689:
53.5,0,0,0,H-3-20-3.687689:
54,0,0,0,H-3-20-3.687689:
54.5,0,0,0,H-3-20-3.687689:
55,0,0,0,H-3-20-3.687689:
55.5,0,0,0,H-2-12-2.698237:
56,0,0,0,H-2-12-2.698237:
56.5,0,0,0,H-2-12-2.698237:
57,0,0,0,H-2-12-2.698237:
57.5,0,0,0,H-0-8-5.335111:B
58,0,0,0,H-0-8-5.335111:B
58.5,0,0,0,H-0-8-5.335111:B
59,0,0,0,N
59.5,0,0,0,N
60,0,0,0,H-2-6.599053-3.46641:
60.5,0,0,0,H-2-6.599053-3.46641:
61,0,0,0,H-2-6.599053-3.46641:
61.5,0,0,0,H-1-10.45816-4.443319:C
62,0,0,0,H-1-10.45816-4.443319:C
62.5,0,0,0,H-2-6.64047-2.775007:
63,0,0,0,H-2-6.64047-2.775007:
63.5,0,0,0,H-2-6.64047-2.775007:
64,0,0,0,H-0-10.05181-2.571025:
64.5,0,0,0,H-0-10.05181-2.571025:
65,0,0,0,H-0-3.193851-2.839167:C
65.5,0,0,0,H-0-3.193851-2.839167:C
66,0,0,0,H-0-3.193851-2.839167:C
66.5,0,0,0,H-2-16.61103-2.963975:
67,0,0,0,H-2-16.61103-2.963975:
67.5,0,0,0,H-3-13.23083-5.216836:CP3
68,0,0,0,H-3-13.23083-5.216836:CP3
68.5,0,0,0,H-3-13.23083-5.216836:CP3
69,0,0,0,H-2-11.9968-3.192028:
69.5,0,0,0,H-2-11.9968-3.192028:
70,0,0,0,H-0-17.51439-2.83256:C
70.5,0,0,0,H-0-17.51439-2.83256:C
71,0,0,0,H-0-17.51439-2.83256:C
71.5,0,0,0,H-0-4.321981-5.398467:
72,0,0,0
