Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,0,0,0,C
9,0,0,0,C
9.5,0,0,0,C
10,0,0,0,C
10.5,0,0,0,C
11,0,0,0,C
11.5,0,0,0,C
12,0,0,0,C
12.5,0,0,0,C
13,0,0,0,C
13.5,0,0,0,C
14,0,0,0,C
14.5,0,0,0,C
15,0,0,0,C
15.5,0,0,0,C
16,0,0,0,C
16.5,0,0,0,C
17,0,0,0,C
17.5,0,0,0,C
18,0,0,0,C
18.5,0,0,0,C
19,0,0,0,C
19.5,0,0,0,C
20,0,0,0,P1
20.5,0,0,0,P1
21,0,0,0,P1
21.5,0,0,0,P1
22,0,0,0,P1
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,
32,0,0,0,P1
32.5,0,0,0,P1
33,0,0,0,P1
33.5,0,0,0,P1
34,0,0,0,P1
34.5,0,0,0,P1
35,0,0,0,P1
35.5,0,0,0,P1
36,0,0,0,P1
36.5,0,0,0,P1
37,0,0,0,P1
37.5,0,0,0,P1
38,0,0,0,P1
38.5,0,0,0,P1
39,0,0,0,P1
39.5,0,0,0,C
40,0,0,0,C
40.5,0,0,0,C
41,0,0,0,C
41.5,0,0,0,C
42,0,0,0,C
42.5,0,0,0,C
43,0,0,0,C
43.5,0,0,0,C
44,0,0,0,C
44.5,0,0,0,C
45,0,0,0,C
45.5,0,0,0,C
46,0,0,0,C
46.5,0,0,0,
47,0,0,0,
47.5,0,0,0,
48,0,0,0,
48.5,0,0,0,
49,0,0,0,H-0-10-5:
49.5,0,0,0,H-0-10-5:
50,0,0,0,H-0-10-5:
50.5,0,0,0,H-0-10-5:
51,0,0,0,H-0-10-5:
51.5,0,0,0,
52,0,0,0,
52.5,0,0,0,
53,0,0,0,
53.5,0,0,0,
54,0,0,0,H-1-10-5:
54.5,0,0,0,H-1-10-5:
55,0,0,0,H-1-10-5:
55.5,0,0,0,H-1-10-5:
56,0,0,0,H-1-10-5:
56.5,0,0,0,H-3-5-2:B
57,0,0,0,H-3-5-2:B
57.5,0,0,0,H-3-5-2:B
58,0,0,0,H-3-5-2:B
58.5,0,0,0,H-3-5-2:B
59,0,0,0,L
59.5,0,0,0,L
60,0,0,0,L
60.5,0,0,0,L
61,0,0,0,L
61.5,0,0,0,
62,0,0,0,
62.5,0,0,0,
63,0,0,0,
63.5,0,0,0,
64,0,0,0,
64.5,0,0,0,
65,0,0,0,
65.5,0,0,0,
66,0,0,0,
66.5,0,0,0,H-0-7-3.215742:
67,0,0,0,H-0-7-3.215742:
67.5,0,0,0,H-1-12-4.40815:C
68,0,0,0,H-1-12-4.40815:C
68.5,0,0,0,H-1-12-4.40815:C
69,0,0,0,H-0-9-5.233271:
69.5,0,0,0,H-0-9-5.233271:
70,0,0,0,H-1-7-4.043275:
70.5,0,0,0,H-1-7-4.043275:
71,0,0,0,H-1-7-4.043275:
71.5,0,0,0,H-2-10-2.826973:P1
72,0,0,0,H-2-10-2.826973:P1
72.5,0,0,0,H-2-17-3.242394:B
73,0,0,0,H-2-17-3.242394:B
73.5,0,0,0,H-2-17-3.242394:B
74,0,0,0,H-1-10-2.83497:BC
74.5,0,0,0,H-1-10-2.83497:BC
75,0,0,0,H-1-10-2.83497:BC
75.5,0,0,0,H-3-20-4.64162:B
76,0,0,0,H-3-20-4.64162:B
76.5,0,0,0,N
77,0,0,0,N
77.5,0,0,0,N
78,0,0,0,H-1-2.471087-3.556666:C
78.5,0,0,0,H-1-2.471087-3.556666:C
79,0,0,0,H-1-12.19953-2.424941:P2
79.5,0,0,0,H-1-12.19953-2.424941:P2
80,0,0,0,H-1-12.19953-2.424941:P2
80.5,0,0,0,H-1-4.61904-4.664294:
81,0,0,0,H-1-4.61904-4.664294:
81.5,0,0,0,H-3-11.38717-3.938076:
82,0,0,0,H-3-11.38717-3.938076:
82.5,0,0,0,H-3-11.38717-3.938076:
83,0,0,0,H-2-15.83703-3.063913:
83.5,0,0,0,H-2-15.83703-3.063913:
84,0,0,0,H-0-9.308902-2.141126:C
84.5,0,0,0,H-0-9.308902-2.141126:C
85,0,0,0,H-0-9.308902-2.141126:C
85.5,0,0,0,H-3-11.02108-5.012281:
86,0,0,0,H-3-11.02108-5.012281:
86.5,0,0,0,H-0-6.740979-3.017793:P3
87,0,0,0,H-0-6.740979-3.017793:P3
87.5,0,0,0,H-0-6.740979-3.017793:P3
88,0,0,0,H-1-10.35114-3.797278:
88.5,0,0,0,H-1-10.35114-3.797278:
89,0,0,0,H-2-15.08146-2.699097:
89.5,0,0,0,H-2-15.08146-2.699097:
90,0,0,0,H-2-15.08146-2.699097:
90.5,0,0,0,X
91,0,0,0,X
91.5,0,0,0,H-0-10-5.588473:C
92,0,0,0,H-0-10-5.588473:C
92.5,0,0,0,H-0-10-5.588473:C
93,0,0,0,H-3-20-3.019283:P3C
93.5,0,0,0,H-3-20-3.019283:P3C
94,0,0,0,H-3-20-5.415941:
94.5,0,0,0,H-3-20-5.415941:
95,0,0,0,H-3-20-5.415941:
95.5,0,0,0,H-3-20-5.700459:
96,0,0,0,H-3-20-5.045436:
96.5,0,0,0,H-3-20-5.045436:
97,0,0,0,H-3-20-5.045436:
97.5,0,0,0,H-3-20-5.045436:
98,0,0,0,H-3-20-5.700459:
98.5,0,0,0,H-3-20-5.700459:
99,0,0,0,H-3-20-5.700459:
99.5,0,0,0,H-3-20-5.700459:
100,0,0,0,H-3-20-5.700459:
100.5,0,0,0,H-3-20-5.700459:
101,0,0,0,H-3-20-5.045436:
101.5,0,0,0,H-3-20-5.045436:
102,0,0,0,H-2-13-3.131669:P3
102.5,0,0,0,H-2-13-3.131669:P3
103,0,0,0,H-2-13-3.131669:P3
103.5,0,0,0,H-2-8-3.197551:
104,0,0,0,H-2-8-3.197551:
104.5,0,0,0,H-2-12-3.004299:
105,0,0,0,H-2-12-3.004299:
105.5,0,0,0,H-2-12-3.004299:
106,0,0,0,H-3-20-2.956846:
106.5,0,0,0,H-3-20-2.956846:
107,0,0,0,H-2-9-2.919851:
107.5,0,0,0,H-2-9-2.919851:
108,0,0,0,H-2-9-2.919851:
108.5,0,0,0,N
109,0,0,0,N
109.5,0,0,0,H-2-8.858926-2.905826:CP3
110,0,0,0,H-2-8.858926-2.905826:CP3
110.5,0,0,0,H-2-8.858926-2.905826:CP3
111,0,0,0,H-2-17.61645-2.971575:
111.5,0,0,0,H-2-17.61645-2.971575:
112,0,0,0,H-3-7.993546-5.879171:C
112.5,0,0,0,H-3-7.993546-5.879171:C
113,0,0,0,H-3-7.993546-5.879171:C
113.5,0,0,0,H-1-9.027892-5.384225:
114,0,0,0,H-1-9.027892-5.384225:
114.5,0,0,0,H-1-9.027892-5.384225:
115,0,0,0,H-2-10.4576-3.357244:
115.5,0,0,0,H-2-10.4576-3.357244:
116,0,0,0,H-3-13.6849-3.575386:C
116.5,0,0,0,H-3-13.6849-3.575386:C
117,0,0,0,H-3-13.6849-3.575386:C
117.5,0,0,0,H-2-8.563607-2.927059:CP3
118,0,0,0,H-2-8.563607-2.927059:CP3
118.5,0,0,0,H-3-14.48843-3.902202:C
