Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,P1
4,0,0,0,P1
4.5,0,0,0,P1
5,0,0,0,P1
5.5,0,0,0,P1
6,0,0,0,
6.5,0,0,0,
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,P1
11,0,0,0,P1
11.5,0,0,0,C
12,0,0,0,C
12.5,0,0,0,C
13,0,0,0,
13.5,0,0,0,
14,0,0,0,H-0-10-5:
14.5,0,0,0,H-0-10-5:
15,0,0,0,H-0-10-5:
15.5,0,0,0,
16,0,0,0,
16.5,0,0,0,
17,0,0,0,H-1-10-5:
17.5,0,0,0,H-1-10-5:
18,0,0,0,H-1-10-5:
18.5,0,0,0,H-3-5-2:B
19,0,0,0,H-3-5-2:B
19.5,0,0,0,L
20,0,0,0,L
20.5,0,0,0,L
21,0,0,0,
21.5,0,0,0,
22,0,0,0,
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,P2
24,0,0,0,P2
24.5,0,0,0,C
25,0,0,0,C
25.5,0,0,0,C
26,0,0,0,
26.5,0,0,0,
27,0,0,0,H-1-10-5:
27.5,0,0,0,H-1-10-5:
28,0,0,0,H-1-10-5:
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,H-3-10-5:
30,0,0,0,H-3-10-5:
30.5,0,0,0,H-3-10-5:
31,0,0,0,H-0-5-2:B
31.5,0,0,0,H-0-5-2:B
32,0,0,0,L
32.5,0,0,0,L
33,0,0,0,L
33.5,0,0,0,
34,0,0,0,
34.5,0,0,0,
35,0,0,0,
35.5,0,0,0,
36,0,0,0,H-2-10-3.301043:
36.5,0,0,0,H-2-10-3.301043:
37,0,0,0,H-2-10-2.606574:P2
37.5,0,0,0,H-2-10-2.606574:P2
38,0,0,0,H-2-10-2.606574:P2
38.5,0,0,0,H-2-6-2.792171:
39,0,0,0,H-2-6-2.792171:
39.5,0,0,0,H-2-8-3.483153:C
40,0,0,0,H-2-8-3.483153:C
40.5,0,0,0,H-2-8-3.483153:C
41,0,0,0,H-0-12-2.684875:C
41.5,0,0,0,H-0-12-2.684875:C
42,0,0,0,H-0-12-2.684875:C
42.5,0,0,0,H-2-10-2.507664:
43,0,0,0,H-2-10-2.507664:
43.5,0,0,0,H-2-8-3.073781:
44,0,0,0,H-2-8-3.073781:
44.5,0,0,0,H-2-8-3.073781:
45,0,0,0,H-2-8-3.19113:
45.5,0,0,0,H-2-8-3.19113:
46,0,0,0,N
46.5,0,0,0,N
47,0,0,0,N
47.5,0,0,0,H-0-5.538351-3.612191:P2
48,0,0,0,H-0-5.538351-3.612191:P2
48.5,0,0,0,H-1-12.27874-3.475163:
49,0,0,0,H-1-12.27874-3.475163:
49.5,0,0,0,H-1-12.27874-3.475163:
50,0,0,0,H-1-8.457843-4.732475:
50.5,0,0,0,H-1-8.457843-4.732475:
51,0,0,0,H-3-2.60615-3.03422:
51.5,0,0,0,H-3-2.60615-3.03422:
52,0,0,0,H-3-2.60615-3.03422:
52.5,0,0,0,H-2-6.679317-2.528769:C
53,0,0,0,H-2-6.679317-2.528769:C
53.5,0,0,0,H-3-16.75247-2.431657:C
54,0,0,0,H-3-16.75247-2.431657:C
54.5,0,0,0,H-3-16.75247-2.431657:C
55,0,0,0,H-2-8.392814-2.904459:C
55.5,0,0,0,H-2-8.392814-2.904459:C
56,0,0,0,H-1-15.95108-2.292754:
56.5,0,0,0,H-1-15.95108-2.292754:
57,0,0,0,H-1-15.95108-2.292754:
57.5,0,0,0,H-0-5.304502-2.463258:
58,0,0,0,H-0-5.304502-2.463258:
58.5,0,0,0,H-3-17.86164-4.049255:P3
59,0,0,0,H-3-17.86164-4.049255:P3
59.5,0,0,0,H-3-17.86164-4.049255:P3
60,0,0,0,H-3-17.86164-4.049255:P3
60.5,0,0,0,H-3-17.86164-4.049255:P3
61,0,0,0,H-3-17.86164-4.049255:P3
61.5,0,0,0,H-3-17.86164-4.049255:P3
62,0,0,0,H-3-17.86164-4.049255:P3
62.5,0,0,0,H-3-17.86164-4.049255:P3
63,0,0,0,H-3-17.86164-4.049255:P3
63.5,0,0,0,H-3-17.86164-4.049255:P3
64,0,0,0,H-3-17.86164-4.049255:P3
64.5,0,0,0,H-3-17.86164-4.049255:P3
65,0,0,0,H-3-17.86164-4.049255:P3
65.5,0,0,0,H-3-17.86164-4.049255:P3
66,0,0,0,H-3-17.86164-4.049255:P3
66.5,0,0,0,H-3-17.86164-4.049255:P3
67,0,0,0,H-3-17.86164-4.049255:P3
67.5,0,0,0,H-3-17.86164-4.049255:P3
68,0,0,0,H-3-17.86164-4.049255:P3
68.5,0,0,0,H-3-17.86164-4.049255:P3
69,0,0,0,H-3-17.86164-4.049255:P3
69.5,0,0,0,H-3-17.86164-4.049255:P3
70,0,0,0,H-3-17.86164-4.049255:P3
70.5,0,0,0,H-3-17.86164-4.049255:P3
71,0,0,0,H-3-17.86164-4.049255:P3
71.5,0,0,0,H-3-17.86164-4.049255:P3
72,0,0,0,H-3-17.86164-4.049255:P3
72.5,0,0,0,H-3-17.86164-4.049255:P3
73,0,0,0,H-3-17.86164-4.049255:P3
73.5,0,0,0,H-3-17.86164-4.049255:P3
74,0,0,0,H-3-17.86164-4.049255:P3
74.5,0,0,0,X
75,0,0,0,X
75.5,0,0,0,X
76,0,0,0,X
76.5,0,0,0,X
77,0,0,0,X
77.5,0,0,0,H-0-14-3.127119:
78,0,0,0,H-0-14-3.127119:
78.5,0,0,0,H-0-14-3.127119:
79,0,0,0,H-0-14-3.127119:
79.5,0,0,0,H-0-14-3.127119:
80,0,0,0,H-1-11-4.043672:
80.5,0,0,0,H-1-11-4.043672:
81,0,0,0,H-1-11-4.043672:
81.5,0,0,0,H-1-11-4.043672:
82,0,0,0,H-1-11-4.043672:
82.5,0,0,0,H-1-17-4.241903:
83,0,0,0,H-1-17-4.241903:
83.5,0,0,0,H-1-17-4.241903:
84,0,0,0,H-1-17-4.241903:
84.5,0,0,0,H-1-17-4.241903:
85,0,0,0,
85.5,0,0,0,
86,0
