Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,C
4.5,0,0,0,C
5,0,0,0,C
5.5,0,0,0,C
6,0,0,0,C
6.5,0,0,0,C
7,0,0,0,C
7.5,0,0,0,C
8,0,0,0,C
8.5,0,0,0,C
9,0,0,0,C
9.5,0,0,0,C
10,0,0,0,C
10.5,0,0,0,C
11,0,0,0,C
11.5,0,0,0,C
12,0,0,0,C
12.5,0,0,0,C
13,0,0,0,C
13.5,0,0,0,C
14,0,0,0,C
14.5,0,0,0,C
15,0,0,0,C
15.5,0,0,0,C
16,0,0,0,C
16.5,0,0,0,C
17,0,0,0,C
17.5,0,0,0,C
18,0,0,0,C
18.5,0,0,0,C
19,0,0,0,P3
19.5,0,0,0,P3
20,0,0,0,P3
20.5,0,0,0,P3
21,0,0,0,P3
21.5,0,0,0,P3
22,0,0,0,
22.5,0,0,0,
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,
26,0,0,0,
26.5,0,0,0,
27,0,0,0,
27.5,0,0,0,
28,0,0,0,
28.5,0,0,0,
29,0,0,0,
29.5,0,0,0,
30,0,0,0,
30.5,0,0,0,
31,0,0,0,
31.5,0,0,0,
32,0,0,0,
32.5,0,0,0,
33,0,0,0,
33.5,0,0,0,
34,0,0,0,
34.5,0,0,0,
35,0,0,0,P3
35.5,0,0,0,P3
36,0,0,0,P3
36.5,0,0,0,P3
37,0,0,0,P3
37.5,0,0,0,C
38,0,0,0,C
38.5,0,0,0,C
39,0,0,0,C
39.5,0,0,0,C
40,0,0,0,C
40.5,0,0,0,C
41,0,0,0,C
41.5,0,0,0,C
42,0,0,0,C
42.5,0,0,0,C
43,0,0,0,C
43.5,0,0,0,C
44,0,0,0,C
44.5,0,0,0,C
45,0,0,0,
45.5,0,0,0,
46,0,0,0,
46.5,0,0,0,
47,0,0,0,
47.5,0,0,0,
48,0,0,0,H-0-10-5:
48.5,0,0,0,H-0-10-5:
49,0,0,0,H-0-10-5:
49.5,0,0,0,H-0-10-5:
50,0,0,0,H-0-10-5:
50.5,0,0,0,H-0-10-5:
51,0,0,0,H-0-10-5:
51.5,0,0,0,H-0-10-5:
52,0,0,0,H-0-10-5:
52.5,0,0,0,H-0-10-5:
53,0,0,0,H-0-10-5:
53.5,0,0,0,H-0-10-5:
54,0,0,0,
54.5,0,0,0,
55,0,0,0,
55.5,0,0,0,
56,0,0,0,
56.5,0,0,0,H-0-10-5:
57,0,0,0,H-0-10-5:
57.5,0,0,0,H-0-10-5:
58,0,0,0,H-0-10-5:
58.5,0,0,0,H-0-10-5:
59,0,0,0,H-0-10-5:
59.5,0,0,0,
60,0,0,0,
60.5,0,0,0,
61,0,0,0,
61.5,0,0,0,
62,0,0,0,H-1-10-5:
62.5,0,0,0,H-1-10-5:
63,0,0,0,H-1-10-5:
63.5,0,0,0,H-1-10-5:
64,0,0,0,H-1-10-5:
64.5,0,0,0,H-3-5-2:B
65,0,0,0,H-3-5-2:B
65.5,0,0,0,H-3-5-2:B
66,0,0,0,H-3-5-2:B
66.5,0,0,0,L
67,0,0,0,L
67.5,0,0,0,
68,0,0,0,
68.5,0,0,0,
69,0,0,0,
69.5,0,0,0,
70,0,0,0,
70.5,0,0,0,
71,0,0,0,
71.5,0,0,0,H-2-12-2.586772:
72,0,0,0,H-2-12-2.586772:
72.5,0,0,0,H-1-8-5.280313:
73,0,0,0,H-1-8-5.280313:
73.5,0,0,0,H-1-8-5.280313:
74,0,0,0,H-0-10-4.079215:C
74.5,0,0,0,H-0-10-4.079215:C
75,0,0,0,H-3-20-5.616731:C
75.5,0,0,0,H-3-20-5.616731:C
76,0,0,0,H-3-20-5.616731:C
76.5,0,0,0,H-0-11-5.295524:
77,0,0,0,H-0-11-5.295524:
77.5,0,0,0,H-2-7-2.54219:P1
78,0,0,0,H-2-7-2.54219:P1
78.5,0,0,0,H-2-7-2.54219:P1
79,0,0,0,H-0-14-3.974894:
79.5,0,0,0,H-0-14-3.974894:
80,0,0,0,N
80.5,0,0,0,N
81,0,0,0,N
81.5,0,0,0,H-3-3.814487-5.005319:
82,0,0,0,H-3-3.814487-5.005319:
82.5,0,0,0,H-3-3.814487-5.005319:
83,0,0,0,H-3-6.927451-3.706234:C
83.5,0,0,0,H-3-6.927451-3.706234:C
84,0,0,0,H-2-2.310606-3.400946:
84.5,0,0,0,H-2-2.310606-3.400946:
85,0,0,0,H-2-2.310606-3.400946:
85.5,0,0,0,H-0-5.933479-4.376184:
86,0,0,0,H-0-5.933479-4.376184:
86.5,0,0,0,H-2-8.405492-2.998149:
87,0,0,0,H-2-8.405492-2.998149:
87.5,0,0,0,H-2-8.405492-2.998149:
88,0,0,0,H-0-11.72336-5.777194:
88.5,0,0,0,H-0-11.72336-5.777194:
89,0,0,0,H-3-15.97677-4.019841:
89.5,0,0,0,H-3-15.97677-4.019841:
90,0,0,0,H-3-15.97677-4.019841:
90.5,0,0,0,H-3-16.84326-3.309733:
91,0,0,0,H-3-16.84326-3.309733:
91.5,0,0,0,H-0-11.26239-4.319807:P3
92,0,0,0,H-0-11.26239-4.319807:P3
92.5,0,0,0,H-0-11.26239-4.319807:P3
93,0,0,0,H-2-7.443055-3.099222:P2
93.5,0,0,0,H-2-7.443055-3.099222:P2
94,0,0,0,X
94.5,0,0,0,X
95,0,0,0,X
95.5,0,0,0,H-2-16-2.63283:
96,0,0,0,H-2-16-2.63283:
96.5,0,0,0,H-1-16-5.65505:
97,0,0,0,H-1-16-5.65505:
97.5,0,0,0,H-1-16-5.65505:
98,0,0,0,H-2-10-3.126848:
98.5,0,0,0,H-2-10-3.126848:
99,0,0,0,H-0-15-3.533933:BC
99.5,0,0,0,H-0-15-3.533933:BC
100,0,0,0,H-0-15-3.533933:BC
100.5,0,0,0,H-2-10-3.178716:
101,0,0,0,H-2-10-3.178716:
101.5,0,0,0,H-1-14-4.638009:P3
102,0,0,0,H-1-14-4.638009:P3
102.5,0,0,0,H-1-14-4.638009:P3
103,0,0,0,H-1-12-4.61155:
103.5,0,0,0,H-1-12-4.61155:
104,0,0,0,H-1-16-2.391651:
104.5,0,0,0,H-1-16-2.391651:
105,0,0,0,H-1-16-2.391651:
105.5,0,0,0,H-0-10-4.107682:C
106,0,0,0,H-1-11-5.561873:
106.5,0,0,0,H-1-11-5.561873:
107,0,0,0,H-1-11-5.561873:
107.5,0,0,0,N
108,0,0,0,N
108.5,0,0,0,H-1-11-5.561873:
109,0,0,0,H-1-11-5.561873:
109.5,0,0,0,H-1-11-5.561873:
110,0,0,0,H-1-11-5.561873:
110.5,0,0,0,H-1-11-5.561873:
111,0,0,0,H-1-11-5.561873:
111.5,0,0,0,H-1-11-5.561873:
112,0,0,0,H-1-11-5.561873:
112.5,0,0,0,H-1-11-5.561873:
113,0,0,0,H-1-11-5.561873:
113.5,0,0,0,H-1-11-5.561873:
114,0,0,0,H-1-11-5.561873:
114.5,0,0,0,H-0-10-4.107682:C
115,0,0,0,H-0-10-4.107682:C
115.5,0,0,0,H-0-10-4.107682:C
116,0,0,0,H-0-10-4.107682:C
116.5,0,0,0,H-1-11-5.561873:
117,0,0,0,H-1-11-5.561873:
117.5,0,0,0,N
118,0,0,0,N
118.5,0,0,0,N
119,0,0,0,H-2-10.17705-3.21148:
119.5,0,0,0,H-2-10.17705-3.21148:
120,0,0,0,H-1-5.32843-4.168207:
120.5,0,0,0,H-1-5.32843-4.168207:
121,0,0,0,H-1-5.32843-4.168207:
121.5,0,0,0,H-3-17.69233-3.765409:P1
122,0,0,0,H-3-17.69233-3.765409:P1
