Elapsed Time (s),Speed,Heart Rate,Resistance,Block
0.5,0,0,0,C
1,0,0,0,C
1.5,0,0,0,C
2,0,0,0,C
2.5,0,0,0,C
3,0,0,0,C
3.5,0,0,0,C
4,0,0,0,P1
4.5,0,0,0,P1
5,0,0,0,P1
5.5,0,0,0,P1
6,0,0,0,P1
6.5,0,0,0,P1
7,0,0,0,
7.5,0,0,0,
8,0,0,0,
8.5,0,0,0,
9,0,0,0,
9.5,0,0,0,
10,0,0,0,
10.5,0,0,0,
11,0,0,0,
11.5,0,0,0,
12,0,0,0,
12.5,0,0,0,P1
13,0,0,0,P1
13.5,0,0,0,P1
14,0,0,0,C
14.5,0,0,0,C
15,0,0,0,
15.5,0,0,0,
16,0,0,0,
16.5,0,0,0,H-0-10-5:
17,0,0,0,H-0-10-5:
17.5,0,0,0,
18,0,0,0,
18.5,0,0,0,
19,0,0,0,H-1-10-5:
19.5,0,0,0,H-1-10-5:
20,0,0,0,H-3-5-2:B
20.5,0,0,0,H-3-5-2:B
21,0,0,0,H-3-5-2:B
21.5,0,0,0,L
22,0,0,0,L
22.5,0,0,0,L
23,0,0,0,
23.5,0,0,0,
24,0,0,0,
24.5,0,0,0,
25,0,0,0,
25.5,0,0,0,H-3-20-5.448537:
26,0,0,0,H-3-20-5.448537:
26.5,0,0,0,H-3-20-5.47722:P2
27,0,0,0,H-3-20-5.47722:P2
27.5,0,0,0,H-3-20-5.47722:P2
28,0,0,0,H-0-9-5.028311:BP3
28.5,0,0,0,H-0-9-5.028311:BP3
29,0,0,0,H-1-8-4.532829:
29.5,0,0,0,H-1-8-4.532829:
30,0,0,0,H-1-8-4.532829:
30.5,0,0,0,H-2-14-3.343832:C
31,0,0,0,H-2-14-3.343832:C
31.5,0,0,0,H-2-12-3.090345:
32,0,0,0,H-2-12-3.090345:
32.5,0,0,0,H-2-12-3.090345:
33,0,0,0,H-3-20-2.955385:
33.5,0,0,0,H-3-20-2.955385:
34,0,0,0,H-0-8-2.682513:C
34.5,0,0,0,H-0-8-2.682513:C
35,0,0,0,H-0-8-2.682513:C
35.5,0,0,0,N
36,0,0,0,N
36.5,0,0,0,H-0-12.37502-5.044275:P3
37,0,0,0,H-0-12.37502-5.044275:P3
37.5,0,0,0,H-0-12.37502-5.044275:P3
38,0,0,0,H-0-14.73306-3.841304:
38.5,0,0,0,H-0-14.73306-3.841304:
39,0,0,0,H-0-14.98435-2.671019:P2
39.5,0,0,0,H-0-14.98435-2.671019:P2
40,0,0,0,H-0-14.98435-2.671019:P2
40.5,0,0,0,H-1-13.6494-5.997584:
41,0,0,0,H-1-13.6494-5.997584:
41.5,0,0,0,H-2-9.165191-3.484073:P1
42,0,0,0,H-2-9.165191-3.484073:P1
42.5,0,0,0,H-2-9.165191-3.484073:P1
43,0,0,0,H-2-6.387248-2.745376:P1
43.5,0,0,0,H-2-6.387248-2.745376:P1
44,0,0,0,H-1-5.118258-4.848842:
44.5,0,0,0,H-1-5.118258-4.848842:
45,0,0,0,H-1-5.118258-4.848842:
45.5,0,0,0,H-0-12.70555-2.710211:P2
46,0,0,0,H-0-12.70555-2.710211:P2
46.5,0,0,0,H-2-11.21391-3.379778:
47,0,0,0,H-2-11.21391-3.379778:
47.5,0,0,0,
48,0,0,0,
48.5,0,0,0,
49,0,0,0,X
49.5,0,0,0,X
50,0,0,0,X
50.5,0,0,0,H-1-11-5.584204:
51,0,0,0,H-1-11-5.584204:
51.5,0,0,0,H-1-11-5.584204:
52,0,0,0,H-1-11-5.584204:
52.5,0,0,0,H-1-11-5.584204:
53,0,0,0,H-1-11-5.584204:
53.5,0,0,0,H-1-11-5.584204:
54,0,0,0,H-1-11-5.584204:
54.5,0,0,0,H-1-11-5.584204:
55,0,0,0,H-1-11-5.584204:
55.5,0,0,0,H-1-11-5.584204:
56,0,0,0,H-1-11-5.584204:
56.5,0,0,0,H-1-11-5.584204:
57,0,0,0,H-1-11-5.584204:
57.5,0,0,0,H-1-11-5.584204:
58,0,0,0,H-1-11-5.584204:
58.5,0,0,0,H-1-11-5.584204:
59,0,0,0,H-1-11-5.584204:
59.5,0,0,0,H-1-11-5.584204:
60,0,0,0,H-1-11-5.584204:
60.5,0,0,0,H-1-11-5.584204:
61,0,0,0,H-1-15-4.599196:
61.5,0,0,0,H-1-15-4.599196:
62,0,0,0,H-1-15-4.599196:
62.5,0,0,0,H-1-15-4.599196:
63,0,0,0,H-1-15-4.599196:
63.5,0,0,0,H-1-15-4.599196:
64,0,0,0,H-1-15-4.599196:
64.5,0,0,0,H-1-15-4.599196:
65,0,0,0,H-1-15-4.599196:
65.5,0,0,0,H-1-15-4.599196:
66,0,0,0,H-1-15-4.599196:
66.5,0,0,0,H-1-15-4.599196:
67,0,0,0,H-1-15-4.599196:
67.5,0,0,0,H-1-15-4.599196:
68,0,0,0,H-1-15-4.599196:
68.5,0,0,0,H-1-15-4.599196:
69,0,0,0,H-1-15-4.599196:
69.5,0,0,0,H-1-15-4.599196:
70,0,0,0,H-1-15-4.599196:
70.5,0,0,0,H-1-15-4.599196:
71,0,0,0,H-1-15-4.599196:
71.5,0,0,0,H-1-15-4.599196:
72,0,0,0,H-3-20-2.378039:
72.5,0,0,0,H-3-20-2.378039:
73,0,0,0,H-3-20-2.378039:
73.5,0,0,0,H-3-20-2.378039:
74,0,0,0,H-3-20-2.378039:
74.5,0,0,0,H-3-20-2.378039:
75,0,0,0,H-1-11-4.413601:C
75.5,0,0,0,H-1-11-4.413601:C
76,0,0,0,H-1-11-4.413601:C
76.5,0,0,0,H-1-11-4.413601:C
77,0,0,0,H-1-11-4.413601:C
77.5,0,0,0,H-3-20-5.717257:
78,0,0,0,H-3-20-5.717257:
78.5,0,0,0,H-2-7-3.256117:
79,0,0,0,H-2-7-3.256117:
79.5,0,0,0,H-2-7-3.256117:
80,0,0,0,H-3-20-2.019131:
80.5,0,0,0,H-3-20-2.019131:
81,0,0,0,P1
81.5,0,0,0,P1
82,0,0,0,P1
82.5,0,0,0,H-3-20-2.763298:
83,0,0,0,H-3-20-2.763298:
83.5,0,0,0,H-1-9-4.50864:
84,0,0,0,H-1-9-4.50864:
84.5,0,0,0,H-1-9-4.50864:
85,0,0,0,N
85.5,0,0,0,N
86,0,0,0,H-1-4.733078-2.21139:
86.5,0,0,0,H-1-4.733078-2.21139:
87,0,0,0,H-1-4.733078-2.21139:
87.5,0,0,0,H-3-2.047056-5.023375:C
88,0,0,0,H-3-2.047056-5.023375:C
88.5,0,0,0,H-3-12.04408-5.833647:
89,0,0,0,H-3-12.04408-5.833647:
89.5,0,0,0,H-3-12.04408-5.833647:
90,0,0,0,H-3-6.202916-3.552054:
90.5,0,0,0,H-3-6.202916-3.552054:
91,0,0,0,H-1-12.00574-3.38117:P3
91.5,0,0,0,H-1-12.00574-3.38117:P3
92,0,0,0,H-1-12.00574-3.38117:P3
92.5,0,0,0,H-1-2.605516-3.328004:C
93,0,0,0,H-1-2.605516-3.328004:C
93.5,0,0,0,H-1-2.605516-3.328004:C
94,0,0,0,H-3-16.52269-5.491418:
94.5,0,0,0,H-3-16.52269-5.491418:
95,0,0,0,H-2-4.960808-3.236993:C
95.5,0,0,0,H-2-4.960808-3.236993:C
96,0,0,0,H-2-4.960808-3.236993:C
96.5,0,0,0,H-0-2.815361-2.912678:C
97,0,0,0,H-0-2.815361-2.912678:C
97.5,0,0,0,H-3-6.421891-4.476721:C
98,0,0,0,H-3-6.421891-4.476721:C
98.5,0,0,0,H-3-6.421891-4.476721:C
99,0,0,0,X
99.5,0,0,0,X
100,0,0,0,H-0-14-4.817466:
100.5,0,0,0,H-0-14-4.817466:
101,0,0,0,H-0-14-4.817466:
101.5,0,0,0,H-2-10-3.203018:
102,0,0,0,H-2-10-3.203018:
